PassageID,Title,Author,Total termFreq,termFreq(author),termFreq(bridg),termFreq(carriag),termFreq(cart),termFreq(cattl),termFreq(chair),termFreq(chais),termFreq(charg),termFreq(chariot),termFreq(coach),termFreq(collector),termFreq(counti),termFreq(cross),termFreq(duti),termFreq(forfeit),termFreq(gate),termFreq(good),termFreq(highwai),termFreq(hors),termFreq(hous),termFreq(market),termFreq(monei),termFreq(pai),termFreq(parish),termFreq(pass),termFreq(repair),termFreq(road),termFreq(surveyor),termFreq(ticket),termFreq(toll),termFreq(town),termFreq(truste),termFreq(turnpik),termFreq(wagon),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpts
0349000106_000324,"The statutes at large, passed in the Parliaments held in Ireland: from the third year of Edward the Second, ...",Ireland,106,2,0,2,3,1,2,2,2,1,3,3,5,1,9,4,5,2,4,3,0,0,1,4,1,3,3,4,0,6,14,3,5,6,2,1786,6,21,"Dublin : printed by George Grierson, 1786-1804.",Dublin,901,unknown,,,FALSE,"A. D. they refpecively stall forfeit and pay the sum of five shillings 1739 for each of the two days fulch person or persons keeping a team, Chap. I. cart , car, or other carriage , (hall make default; and if any la ind onper sons charge bourer or other"
0596900106_000333,"The statutes at large, passed in the Parliaments held in Ireland: from the third year of Edward the Second, A. D. 1310, to the first year of George the Third, A.D. 1761 inclusive. With marginal notes, and a compleat index to the whole. Published by authority. In eight volumes.",Ireland,109,1,0,2,3,1,1,1,1,1,1,3,2,1,9,4,4,2,7,2,0,0,0,4,8,1,7,5,9,8,11,3,2,4,1,1765,6,8,"Dublin : printed by Boulter Grierson, Printer to the King's Most Excellent Majesty, MDCCLXV. [1765].",Dublin,901,unknown,,,FALSE,"by the surveyor or surveyors for the time being ap this ad of personss pointed by virtue of this ad, give a list or an account in writing chargeable, under his or their hands of the name or names of all and every person or persons in the said refpetive"
0349000105_000328,"The statutes at large, passed in the Parliaments held in Ireland: from the third year of Edward the Second, ...",Ireland,105,3,0,2,2,1,2,2,4,1,3,2,3,0,13,1,4,2,3,1,0,0,4,3,0,3,1,4,6,7,14,1,5,6,2,1786,5,21,"Dublin : printed by George Grierson, 1786-1804.",Dublin,668,unknown,,,FALSE,"or refuse to scour or cleanse such watercourses, and to make fucll ditches so Chap. 17 deep, and in such manner, as dile surveyor or surveyors Shall adjudge proper and va'.. convenient, after ten days notice thall be given for that purpose by such surveyor or surveyors to be appointed,"
0596900106_000146,"The statutes at large, passed in the Parliaments held in Ireland: from the third year of Edward the Second, A. D. 1310, to the first year of George the Third, A.D. 1761 inclusive. With marginal notes, and a compleat index to the whole. Published by authority. In eight volumes.",Ireland,107,1,0,4,3,1,1,1,2,1,1,1,5,1,8,4,5,2,6,1,0,0,0,6,3,2,6,5,8,8,10,3,3,4,1,1765,6,8,"Dublin : printed by Boulter Grierson, Printer to the King's Most Excellent Majesty, MDCCLXV. [1765].",Dublin,901,unknown,,,FALSE,"towards the same to the surveyor or surveyors , 1735 appointed or to appointed by virtue of this adt; and that the Chap. i4, said surveyor or surveyors of the said parishes Shall, within three N j and in three days next after notice given by the said surveyor or"
0596900106_000092,"The statutes at large, passed in the Parliaments held in Ireland: from the third year of Edward the Second, A. D. 1310, to the first year of George the Third, A.D. 1761 inclusive. With marginal notes, and a compleat index to the whole. Published by authority. In eight volumes.",Ireland,115,3,0,2,2,1,2,2,3,1,4,4,3,0,13,1,4,0,2,3,0,0,5,4,2,3,2,7,0,8,17,1,7,7,2,1765,6,8,"Dublin : printed by Boulter Grierson, Printer to the King's Most Excellent Majesty, MDCCLXV. [1765].",Dublin,901,unknown,,,FALSE,"the said owner or occupier, after all charges paid. 9 trustees IX And forasmuch as the moneys , so to be colleted by such rc y assign the ceipt of the toll , will not at present be sufficient for the speedy ty for money repairing of the said highways"
0596900105_000353,"The statutes at large, passed in the Parliaments held in Ireland: from the third year of Edward the Second, A. D. 1310, to the first year of George the Third, A.D. 1761 inclusive. With marginal notes, and a compleat index to the whole. Published by authority. In eight volumes.",Ireland,112,3,0,2,3,1,2,2,2,1,3,3,3,0,14,1,4,0,2,3,0,0,4,3,2,3,2,7,0,7,18,1,6,7,3,1765,5,8,"Dublin : printed by Boulter Grierson, Printer to the King's Most Excellent Majesty, MDCCLXV. [1765].",Dublin,666,unknown,,,FALSE,"to be collected by such re toall as fecur ceipt of the said toll will not at present be sufficient for the speedy ty for money repairing of the said highways or roads : be it further enacted by the borrowed for fpeedyrepair, authority aforesaid, That the laid trustees ,"
0596900106_000218,"The statutes at large, passed in the Parliaments held in Ireland: from the third year of Edward the Second, A. D. 1310, to the first year of George the Third, A.D. 1761 inclusive. With marginal notes, and a compleat index to the whole. Published by authority. In eight volumes.",Ireland,105,1,0,3,3,1,1,1,1,1,1,3,4,0,9,5,4,2,5,2,0,0,0,7,2,2,6,5,5,9,10,3,4,4,1,1765,6,8,"Dublin : printed by Boulter Grierson, Printer to the King's Most Excellent Majesty, MDCCLXV. [1765].",Dublin,901,unknown,,,FALSE,"be appointed by virtue of this ad; and that the surveyor or surveyors of the said pariflles stall and in three days; ntr : o within three .i.ys next after notice given by the said surveyor or iso ar). srn: filrveyors, appointed by this ad, of the time when, and"
0349100110_000297,"The statutes at large, passed in the Parliaments held in Ireland: from the third year of Edward the Second, ...",Ireland,122,4,0,5,6,2,2,2,1,2,3,2,3,0,14,1,3,0,2,7,0,0,1,3,2,5,4,6,0,8,15,0,4,9,6,1786,10,21,"Dublin : printed by George Grierson, 1786-1804.",Dublin,962,unknown,,,FALSE,"or duty at the first gate or turnpike , through which such person or persons fiall pass , and producing a note or ticket that the said toll or duty was paid (which note or ticket the said receiver or receivers, collector or collecors, is and are hereby required to"
0349000106_000169,"The statutes at large, passed in the Parliaments held in Ireland: from the third year of Edward the Second, ...",Ireland,104,2,0,3,3,1,1,1,1,1,2,4,5,1,9,5,4,2,6,2,0,0,0,6,1,2,4,3,1,9,14,2,4,4,1,1786,6,21,"Dublin : printed by George Grierson, 1786-1804.",Dublin,901,unknown,,,FALSE,"the said person or pcrlons tl chargeable as aforesaid; and if fruit forfeit any surveyor or firveyors of the laid parilies rcfpccively shall neglct or refute to do, as they arc hereby directed and required, he or they for every offlnce shall forfeit and pay the limn of forty Ihillings;"
0349100110_000392,"The statutes at large, passed in the Parliaments held in Ireland: from the third year of Edward the Second, ...",Ireland,121,3,0,6,7,2,2,2,1,1,3,4,4,0,12,1,2,0,2,8,0,0,1,3,2,5,4,6,0,7,16,0,3,7,7,1786,10,21,"Dublin : printed by George Grierson, 1786-1804.",Dublin,962,unknown,,,FALSE,"which note or ticket the'faid receiver or receivers, collector or collectors ,. is and are hereby required to give gratis, shall be liable to pay any toll or duty at any other of the said gates or turnpikes upon the said highway or road , such person or persons delivering"
1203500400_000002,"A bill for widening and repairing the high road leading from Hering-Syke, which divides the counties of Lancaster and Westmoreland, ... to Emont-Bridge in the said county of Westmoreland.",Great Britain. Parliament,108,4,0,3,3,3,2,3,6,3,3,2,2,1,5,2,4,3,1,5,2,0,2,6,0,2,5,6,2,0,9,0,8,8,3,1753,1,1,"[London, 1753].",London,22,unknown,,,FALSE,"thereof, the Trustees and Toll for repairing the said Roads directed to be amended, or ai y or more houses to be firt paid. of them, shall in the first Place pay , and difchar: : e all the Expenses and Charges of procuring and paflling this Act of Parliament,"
0596900105_000264,"The statutes at large, passed in the Parliaments held in Ireland: from the third year of Edward the Second, A. D. 1310, to the first year of George the Third, A.D. 1761 inclusive. With marginal notes, and a compleat index to the whole. Published by authority. In eight volumes.",Ireland,109,2,0,2,3,1,2,2,3,1,3,2,4,1,14,1,4,0,2,2,0,0,3,4,4,4,2,6,0,7,16,1,3,7,3,1765,5,8,"Dublin : printed by Boulter Grierson, Printer to the King's Most Excellent Majesty, MDCCLXV. [1765].",Dublin,666,unknown,,,FALSE,"or more of them, <' Nine trulee3 shall and may, and are hereby empowered from time to time by may anlign writing under their respective hands and seals to assign over the ther'tolas e fid toll or duty hereby granted, or any part thereof, the coils and nvy borrowed charges"
0349000106_000155,"The statutes at large, passed in the Parliaments held in Ireland: from the third year of Edward the Second, ...",Ireland,109,4,4,1,1,1,1,1,6,1,1,4,5,2,6,1,4,3,2,1,4,0,3,4,0,2,2,7,5,0,14,2,8,8,1,1786,6,21,"Dublin : printed by George Grierson, 1786-1804.",Dublin,901,unknown,,,FALSE,"sich toll or duty with the reasonable charges of such diflraining or keeping, shall be paid; and it fiall and may be lawful to and for the person or persons so distraining, after the space of five days after saa ale lilch distress made and taken, to sell the goods"
0596900106_000291,"The statutes at large, passed in the Parliaments held in Ireland: from the third year of Edward the Second, A. D. 1310, to the first year of George the Third, A.D. 1761 inclusive. With marginal notes, and a compleat index to the whole. Published by authority. In eight volumes.",Ireland,121,3,0,7,7,2,2,2,1,1,3,2,3,0,13,1,2,0,2,8,0,0,1,3,2,6,4,5,0,7,15,0,4,8,7,1765,6,8,"Dublin : printed by Boulter Grierson, Printer to the King's Most Excellent Majesty, MDCCLXV. [1765].",Dublin,901,unknown,,,FALSE,"said toll or duty was paid (which note or ticket the receiver or receivers, collector or collecors, is and are hereby required to give gratis) shall be liable to pay any toll or duty at any other of the said gates or turnpikes upon the said highways or roads ,"
0349000105_000249,"The statutes at large, passed in the Parliaments held in Ireland: from the third year of Edward the Second, ...",Ireland,105,3,1,2,2,1,2,2,3,1,3,2,3,1,13,1,4,1,3,2,0,0,3,4,0,3,3,6,0,7,16,1,4,6,2,1786,5,21,"Dublin : printed by George Grierson, 1786-1804.",Dublin,668,unknown,,,FALSE,"her, or their goods and chattels, rendering the overplus (if any be) to the said owner or occupier after all charges paid. Ninletrur IX And forasmuch as the money , so to be colleced by such t'iesnlayfig receipt of the toll , will not at present be fufficient.for the fpeedv"
1203701300_000002,"An act for repairing the road from Spittlegate-Hill, near Grantham, in the county of Lincoln, to Little Drayton, in the county of Nottingham.",Great Britain. Parliament,103,3,0,4,4,3,4,4,3,4,5,1,2,1,7,0,2,5,3,7,0,0,4,4,0,1,2,5,4,0,9,0,3,5,4,1726,1,1,"[London, 1726].",London,9,unknown,,,FALSE,"as aforesaid, by Distress of any Horse or Horses , or other Cattle or Goods , upon which fu.h Toll or Duty is by this Alt imposed, or upon any other of the Goods and Chattels of such leer. son or Persons, who ought to pay the same, and may"
1247200600_000022,"Laws relating to the turnpike roads. I. The General Turnpike Road Act. II. Acts relating to Colnbrook Turnpike. With a Plan of the Road from Cranford-Bridge, in Middlesex, to Maidenhead-Bridge, in Bucks.",Great Britain,113,1,1,2,4,2,1,1,2,1,1,2,1,2,12,1,4,0,2,3,1,0,1,4,8,4,7,11,0,5,14,0,1,10,4,1772,1,1,"Eton : printed by J. Pote, MDCCLXXII. [1772].",Eton,220,unknown,,,FALSE,"not exceeding Five Pounds per Centurn per Annum; which said Money so borrowed, shall be applied, in the first Place, to pay off and discharge the Charges and Expenses of obtaining this Ac of Parliament, and then shall be applied and disposed of as the said Toll or Duty is"
0349000106_000160,"The statutes at large, passed in the Parliaments held in Ireland: from the third year of Edward the Second, ...",Ireland,100,1,2,3,3,1,1,0,1,1,1,1,2,1,9,4,4,2,7,1,0,0,0,5,3,1,6,4,8,8,11,1,3,4,1,1786,6,21,"Dublin : printed by George Grierson, 1786-1804.",Dublin,901,unknown,,,FALSE,"parishes , who are by the laws now in force lilft of persons and siith chargeable towards the repairing of the highways of the said what chargeable, respective parishes , and what he or they is or are chargeable with respectively for and towards the same, to the surveyor or"
0349000106_000151,"The statutes at large, passed in the Parliaments held in Ireland: from the third year of Edward the Second, ...",Ireland,117,3,0,5,6,1,2,1,2,1,3,3,4,0,14,1,3,0,2,5,0,0,1,3,1,6,3,5,0,7,17,2,2,9,5,1786,6,21,"Dublin : printed by George Grierson, 1786-1804.",Dublin,901,unknown,,,FALSE,"the towns of Ballymenagh and Ballymoney in the said county , and to the town of Coleraine in the county of Londonderry, no person or persons having paid the toll or duty at the first gate or turnpike , through which such person or persons hall pals, and producing a"
0041301800_000004,"An Act for repairing and widening the road leading from the East side of Barnsley Common, .. to White Cross.",Great Britain,110,2,2,5,4,3,1,2,1,2,2,0,1,1,6,1,3,0,3,5,0,0,2,6,3,4,9,15,4,0,9,0,4,6,4,1759,1,1,"London : printed by Thomas Baskett; and by the assigns of Robert Baskett, 1759.",London,102,unknown,,,FALSE,"4 pay pay the Toll or Duty more than Once at the same toll gates or Turnpikes on the said Road . Prcifo. h1osioea altiapg, and be it furtler enaftc, That no Turnpike shall be ereeted, or Tolls col leted by virtue of this At, upon Coin Bridge , or"
0596900106_000160,"The statutes at large, passed in the Parliaments held in Ireland: from the third year of Edward the Second, A. D. 1310, to the first year of George the Third, A.D. 1761 inclusive. With marginal notes, and a compleat index to the whole. Published by authority. In eight volumes.",Ireland,96,3,4,1,1,1,1,1,3,1,1,3,5,1,4,1,4,2,3,1,4,0,4,4,0,2,2,7,5,0,11,2,8,5,1,1765,6,8,"Dublin : printed by Boulter Grierson, Printer to the King's Most Excellent Majesty, MDCCLXV. [1765].",Dublin,901,unknown,,,FALSE,"such toll house or toll houses ; and frora cv- -- after such charges and expenses shall be fully satisfied and paid, that then and from thenceforth the profits arising, and the toll to be colleced, at any turnpike or turnpikes to be ereced or set up on the road"
0596900105_000373,"The statutes at large, passed in the Parliaments held in Ireland: from the third year of Edward the Second, A. D. 1310, to the first year of George the Third, A.D. 1761 inclusive. With marginal notes, and a compleat index to the whole. Published by authority. In eight volumes.",Ireland,101,2,0,1,1,1,1,1,4,1,1,1,3,1,12,2,4,2,4,2,0,0,4,4,0,2,2,7,5,9,14,1,4,4,1,1765,5,8,"Dublin : printed by Boulter Grierson, Printer to the King's Most Excellent Majesty, MDCCLXV. [1765].",Dublin,666,unknown,,,FALSE,"cut, or on which any such arch or arches shall be made, for the damages which he or they llall or may thereby sustain, as shall be assessed afieffed, on and adjudged by the next going judge or judges of assize, or by the afzieor fe justices of the peace,"
0349000105_000348,"The statutes at large, passed in the Parliaments held in Ireland: from the third year of Edward the Second, ...",Ireland,126,2,0,6,7,2,2,2,1,1,3,2,4,0,13,0,4,0,2,7,0,0,1,4,2,7,3,6,0,9,16,0,3,10,7,1786,5,21,"Dublin : printed by George Grierson, 1786-1804.",Dublin,668,unknown,,,FALSE,"to no other use, intent, or purpose whatsoever. Persons de X Provided always, That in cafe there shall be more than livering ticket of payment one gate or turnpike in, across, or on the fide of the said high at one ate, ways or roads between the said city of"
0349000106_000089,"The statutes at large, passed in the Parliaments held in Ireland: from the third year of Edward the Second, ...",Ireland,106,3,0,1,1,1,1,1,4,1,2,3,3,0,12,1,5,2,3,2,0,0,4,4,0,3,1,5,7,9,16,1,5,4,1,1786,6,21,"Dublin : printed by George Grierson, 1786-1804.",Dublin,901,unknown,,,FALSE,"concerning the same; and if any Surveyors , owner or occupier of any watercourses, ditch or ditches, ad after 8 diys notice, to the joining to the said highways or roads shall neglect or refuse to owner my cleanre, rer scour or cleanse such watercourses, and to make such ditches"
0596900106_000081,"The statutes at large, passed in the Parliaments held in Ireland: from the third year of Edward the Second, A. D. 1310, to the first year of George the Third, A.D. 1761 inclusive. With marginal notes, and a compleat index to the whole. Published by authority. In eight volumes.",Ireland,109,4,2,1,1,2,1,1,6,1,1,1,7,1,5,1,4,5,2,3,4,0,3,4,0,2,3,7,3,0,13,5,7,8,1,1765,6,8,"Dublin : printed by Boulter Grierson, Printer to the King's Most Excellent Majesty, MDCCLXV. [1765].",Dublin,901,unknown,,,FALSE,"the laid truf nay, after ds tees, or any five or more of them, are hereby empowered by mand, levy by themselves, or any person or persons by them, or any five or more of them, under their hands and seals thereunto authorised, to levy the toll or duty hereby"
0349000106_000070,"The statutes at large, passed in the Parliaments held in Ireland: from the third year of Edward the Second, ...",Ireland,110,5,4,1,1,1,1,1,4,1,1,2,8,1,5,1,7,2,1,1,4,0,3,4,0,3,5,7,3,0,13,4,6,9,1,1786,6,21,"Dublin : printed by George Grierson, 1786-1804.",Dublin,901,unknown,,,FALSE,"returning the .overplus (if any be) upon demand to the owner thereof, after such toll , duty , and reasonable charges for distraining and keeping the same shall be deducted and paid. 11 And whereas there are two roads from the town of Lift., o raiss fri,, Lif,, tr, burn"
0349000107_000132,"The statutes at large, passed in the Parliaments held in Ireland: from the third year of Edward the Second, ...",Ireland,114,4,2,1,1,1,1,1,4,1,1,2,11,1,5,1,4,3,3,1,4,0,3,4,0,0,3,7,5,0,15,8,8,8,1,1786,7,21,"Dublin : printed by George Grierson, 1786-1804.",Dublin,948,unknown,,,FALSE,"sell the goods distrained, returning the overplus (if any be) upon demand to chargesfirit the owner thereof, after such toll , duty , and reasonable charges to be laid for distraining and keeping the same, shall be paid. Then the II And be it further enacted by the authority aforesaid,"
1201900500_000005,"An act for repairing the road from Leeds to Sheffield, in the county of York.",Great Britain. Parliament,115,2,0,2,2,2,2,2,2,2,2,3,0,1,12,1,9,2,1,2,0,0,1,3,0,3,2,9,0,7,19,3,6,11,2,1758,1,1,"[London, 1758].",London,28,unknown,,,FALSE,"the Borough of Leeds, within their several Jurifditions, shall respectively forfeit and pay to the Trustees authorised to put this Aft in Execution, or to their Treasurer or Treasurers for the Time being, the Sum of Twenty Shillings, to be levied by Distress and Sale of the Offender's Goods ,"
0596900106_000174,"The statutes at large, passed in the Parliaments held in Ireland: from the third year of Edward the Second, A. D. 1310, to the first year of George the Third, A.D. 1761 inclusive. With marginal notes, and a compleat index to the whole. Published by authority. In eight volumes.",Ireland,102,2,0,2,1,1,3,1,2,1,3,1,5,1,10,3,5,2,4,1,0,0,1,4,1,4,3,3,0,7,14,2,6,7,2,1765,6,8,"Dublin : printed by Boulter Grierson, Printer to the King's Most Excellent Majesty, MDCCLXV. [1765].",Dublin,901,unknown,,,FALSE,"repairing the highways of the said parishes shall lorey at any time neglec or refute, after such summons or public notice ci a. each given as aforesaid, to do and perform the said two days work in the day said highway , by this act intended to be repaired ,"
0349000106_000342,"The statutes at large, passed in the Parliaments held in Ireland: from the third year of Edward the Second, ...",Ireland,104,2,0,2,2,1,1,1,1,1,2,1,5,1,9,4,4,2,6,3,0,0,0,6,1,3,6,6,0,7,14,4,4,4,1,1786,6,21,"Dublin : printed by George Grierson, 1786-1804.",Dublin,901,unknown,,,FALSE,"of the highways as aforesaid, flhall neglec or refute to do and perform the said two days work in the said highway , by this at intended to be re and on per paired, after such summons or public notice stall be given as afore sons keepin a faidl he"
0596900105_000366,"The statutes at large, passed in the Parliaments held in Ireland: from the third year of Edward the Second, A. D. 1310, to the first year of George the Third, A.D. 1761 inclusive. With marginal notes, and a compleat index to the whole. Published by authority. In eight volumes.",Ireland,102,2,0,1,1,1,1,1,4,1,1,3,2,1,12,2,5,2,4,1,0,0,3,5,0,2,0,6,6,8,15,2,5,4,1,1765,5,8,"Dublin : printed by Boulter Grierson, Printer to the King's Most Excellent Majesty, MDCCLXV. [1765].",Dublin,666,unknown,,,FALSE,"he or they shall or may thereby sustain, as fllall be dirensc assessed and adjudged by the next going judge or judges of afiize, fettled at as or thejuftices of the peace, or the major part of them, at the ner: t sizes or fefi general assizes or quarter feffions"
0349000106_000333,"The statutes at large, passed in the Parliaments held in Ireland: from the third year of Edward the Second, ...",Ireland,102,2,0,2,2,1,2,2,2,1,3,1,6,1,10,3,5,2,3,3,0,0,1,4,0,2,3,3,0,8,14,2,5,7,2,1786,6,21,"Dublin : printed by George Grierson, 1786-1804.",Dublin,901,unknown,,,FALSE,"aforesaid, to do and perform the said two days work in the said highway by this ac intended to be repaired , he or they shall refpeaively forfeit the film of one lhilling for each of the laid two days such labourer or other person or persons stall make default;"
0596900106_000328,"The statutes at large, passed in the Parliaments held in Ireland: from the third year of Edward the Second, A. D. 1310, to the first year of George the Third, A.D. 1761 inclusive. With marginal notes, and a compleat index to the whole. Published by authority. In eight volumes.",Ireland,111,5,0,1,1,1,1,1,4,1,1,4,5,1,3,1,4,3,2,1,4,0,5,4,1,0,4,11,3,0,12,6,8,12,1,1765,6,8,"Dublin : printed by Boulter Grierson, Printer to the King's Most Excellent Majesty, MDCCLXV. [1765].",Dublin,901,unknown,,,FALSE,"goods distrained, returning the overplus (if any be) upon demand to the owner, after lich toll , duty , and reasonable charges for diflraining and keeping the same, shall be deduted and paid. II And be it further enacted by the authority aforesaid, That the profits, out of the first"
0349000106_000204,"The statutes at large, passed in the Parliaments held in Ireland: from the third year of Edward the Second, ...",Ireland,101,2,0,4,4,1,2,1,1,1,2,2,7,1,9,4,4,2,6,2,0,0,1,6,0,2,5,3,0,5,11,4,4,4,1,1786,6,21,"Dublin : printed by George Grierson, 1786-1804.",Dublin,901,unknown,,,FALSE,"offence (hall forfeit and pay the sum of forty, billings; and if any person or persons keeping a team, cart , carr, or other carriage , and chargeable towards the repairing of highways as aforesaid, (hall neglec or refuse to do and perform the said two days work in the"
1203500800_000003,"A bill for repairing, and widening, the road from the town of Tadcaster, ... to the town of Otley, in the West-Riding of the county of York.",Great Britain. Parliament,117,1,0,3,3,3,4,3,2,3,4,2,1,3,12,1,9,0,0,3,0,0,0,3,1,3,3,8,0,5,17,2,1,14,3,1753,1,1,"[London, 1753].",London,24,unknown,,,FALSE,"lawful to and for the said Trustees , or any or more of them, or such Person or Persons as they, or any or more of them, respectively, shall appoint or direct, as aforesaid, to erect, or cause to be erected, One or more Gate or Gates , Turnpike or"
