PassageID,Title,Author,Total termFreq,termFreq(abandon),termFreq(advantag),termFreq(appetit),termFreq(bosom),termFreq(charact),termFreq(convinc),termFreq(debauch),termFreq(debaucheri),termFreq(design),termFreq(desir),termFreq(despic),termFreq(diabol),termFreq(dissolut),termFreq(evil),termFreq(fear),termFreq(folli),termFreq(gai),termFreq(gaieti),termFreq(glori),termFreq(gratif),termFreq(guilt),termFreq(honour),termFreq(impur),termFreq(infami),termFreq(innoc),termFreq(libertin),termFreq(libidin),termFreq(lost),termFreq(love),termFreq(mortif),termFreq(night),termFreq(passion),termFreq(pleasur),termFreq(plot),termFreq(power),termFreq(pretenc),termFreq(proflig),termFreq(rake),termFreq(rank),termFreq(rape),termFreq(regard),termFreq(render),termFreq(reput),termFreq(ruin),termFreq(sacrific),termFreq(scandal),termFreq(seduc),termFreq(sensual),termFreq(sensualist),termFreq(sex),termFreq(shame),termFreq(sin),termFreq(subterfug),termFreq(subtl),termFreq(vice),termFreq(viciou),termFreq(vile),termFreq(virtu),termFreq(wick),termFreq(wicked),termFreq(woman),termFreq(worst),termFreq(wretch),termFreq(young),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpts
0592000602_000027,"Sermons to young men. In three volumes. By William Dodd, L L. D. Prebendary of Brecon, and Chaplain in Ordinary to His Majesty.",William Dodd,49,2,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,3,2,1,1,1,0,0,0,0,1,1,9,0,0,0,2,0,0,0,0,0,1,2,0,0,1,1,0,1,1,2,0,1,2,0,0,0,0,0,0,0,1,6,1772,2,3,"London : printed for J. Knox, and T. Cadell, in the Strand, MDCCLXXII. [1772].",London,313,male,1729,1777,FALSE,"the observation too often, how much and how fatally men are apt to deceive both themselves and others, through FALSE names, and palliating appellations; by which Vice is taught to assume a specious garb, and under that garb often gains admifflion, where, in her own native and deformed appearance, fly"
0592000602_000029,"Sermons to young men. In three volumes. By William Dodd, L L. D. Prebendary of Brecon, and Chaplain in Ordinary to His Majesty.",William Dodd,57,3,0,3,1,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,2,0,2,0,1,5,0,0,0,0,0,0,5,1,0,0,0,3,0,0,0,0,0,1,7,0,1,1,2,0,2,0,0,0,0,2,0,0,4,0,0,0,0,3,4,1772,2,3,"London : printed for J. Knox, and T. Cadell, in the Strand, MDCCLXXII. [1772].",London,313,male,1729,1777,FALSE,"one peculiar and aggravating circumrtance of malignity in this Vice , ."" that the perpetration of it involves the ruin of two souls !"" You cannot be singly guilty! While then you are expecting criminal pleasure from the object of your passion , Oh think that you are not *"
0107500201_000005,"Essays moral and literary. By Vicesimus Knox, M. A. Late Fellow of St. John's College, Oxford. ...",Vicesimus Knox,44,0,0,0,1,2,0,0,1,0,1,0,0,0,1,1,1,1,0,2,1,0,0,1,0,0,2,0,0,2,1,0,5,0,0,3,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,2,0,0,1,0,3,0,2,2,0,1,0,0,3,1800,1,3,"Basil : printed and sold by James Decker. Strasburgh: sold by F. G. Levrault, 1800.",Basel,379,male,1752,1821,TRUE,": ""'"" 1 2 I will then suppose a young man present who has passed through the forms of a liberal education at school, and who is just entering. on the stage of life, to at' his part according to his own judgement. I will address him with all the"
0386000501_000005,"Essays moral and literary. By Vicesimus Knox, M.A.",Vicesimus Knox,45,0,0,0,1,2,0,0,1,0,1,0,0,0,1,1,0,1,0,2,1,0,0,1,0,1,2,0,0,2,1,0,6,2,0,2,0,0,1,0,0,0,1,0,2,1,0,0,0,0,0,2,0,0,1,0,3,0,0,2,0,1,0,0,3,1784,1,2,"London : printed for Charles Dilly, 1784.",London,372,male,1752,1821,TRUE,"been called an age of literary luxury; nor let it blush at the appellation. The passion for letters is attended with the sweetest satisfactions; and the indulgence of it tends to silence the importunity of many other passions , which, as they are less innocent , can seldom he gratified"
0557200101_000005,"Essays moral and literary. By Vicesimus Knox, ... In three volumes. ...",Vicesimus Knox,43,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,1,1,0,2,1,0,0,1,0,0,2,0,0,3,1,0,5,1,0,2,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,2,0,0,1,0,3,0,2,2,0,1,0,0,3,1793,1,3,"London : printed for Charles Dilly, 1793.",London,501,male,1752,1821,TRUE,"a picture. But But youth possesses sensibility in perfeetion'; and unless education has been totally neglcted, or erroneously pursued, its habits are usually virtuous. Furnished with a natural susceptibility, and free from any acquired impediment, the mind is then in the most favourable slate for the admission of infprudion, and"
1253900400_000002,"The cause and cure of national distress. A sermon, preached in the new English church of Edinburgh, on Sunday, August 22. 1779. By the Rev. Andrew Greenfield, M.A. Prebendary of Raphoe, and Chaplain to the Countess Dowager of Moray.","[Greenfield, Andrew, Rev.]",54,1,1,3,0,1,0,0,1,0,0,0,0,0,0,2,1,0,0,0,2,2,2,0,1,2,0,0,0,8,0,0,0,9,0,0,0,2,0,1,0,2,1,0,2,1,0,0,2,0,0,1,1,0,0,1,1,0,2,0,0,0,0,1,0,1779,1,1,"Edinburgh : printed for William Creech, M,DCC,LXXIX. [1779].",Edinburgh,25,unknown,,,FALSE,"that the love of PLEASURE , and the SPIRIT of FACTION, two mortal enemies to public welfare, have erected their itandards in these kingdoms, and are followed by a train too numerous to be thought of, without a melancholy presage of"" wrath to come ?"" I. The love of pleafire"
1346900100_000021,"The boarding school; or, Lessons of a preceptress to her pupils: consisting of information, instruction, and advice, calculated to improve the manners, and form the character of young ladies. To which is added, a collection of letters, written by the pupils, to their instructor, their friends, and each other. By a lady of Massachusetts; author of The coquette.; Published according to act of Congress.","Butler, Samuel",49,1,0,0,0,1,0,1,1,1,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,2,3,0,0,5,0,0,1,0,0,0,0,0,2,0,0,3,5,1,1,1,0,1,0,0,3,0,0,0,0,3,1,0,4,0,0,1,0,1,1,1798,1,1,"Printed at Boston : by I. Thomas and E.T. Andrews. Sold by them, by C. Bingham, and the other booksellers in Boston; By I. Thomas, Worcester; by Thomas, Andrews & Penniman, Albany; and by Thomas, Andrews & Butler, Baltimore, June, 1798.",Boston|Worcester.|Albany.|Baltimore.,252,male,1765,1827,FALSE,"a variety of cares and duties, hitherto unknown. Ad, therefore, with deliberation, and resolve with caution: but, when once you have come to a choice, behave with undeviating rectitude and sincerity. ""Avarice is not commonly a ruling pafion in young persons of our sex . Yet some there are, sordid"
0591800902_000029,"Sermons to young men. In three volumes. By William Dodd, L L. D. Prebendary of Brecon, and Chaplain in Ordinary to His Majesty.",William Dodd,50,3,0,3,0,0,0,1,0,0,1,0,0,1,1,2,0,0,0,0,2,0,1,0,1,5,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,1,5,0,1,1,2,0,2,0,0,0,0,1,0,0,3,0,0,0,0,3,3,1771,2,3,"London : printed for J. Knox, and T. Cadell, in the Strand, MDCCLXXI. [1771].",London,310,male,1729,1777,FALSE,"p. i40. In a let of Serrmoil en concupi(cence, I have treated this subjea at Iarge: And perhaps they may hereafter appear before the public. only endangering your own salvation, but, .with strange perverseness, fubjeting to the same fearful hazard that objec also; and all for a momentary delight! Is"
0841100400_000004,"The choice of company. A Lecture and Sermon Delivered before his Grace The Earl of Leven and Melvill, His Majesty's Lord High Commissioner to the General Assembly of the Church of Scotland, On the 29th day of May 1785, Within the High Church of Edinburgh. By Samuel Martin, Minister of Monimail.","Martin, Samuel",53,2,0,0,0,3,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,2,1,1,0,0,2,2,0,0,2,3,0,2,0,0,0,0,0,1,0,0,2,0,0,1,2,0,0,2,1,0,0,4,0,0,1,9,1,3,0,0,1,1785,1,1,"Edinburgh : printed for William Creech, M,DCC,LXXXV. [1785].",Edinburgh,57,male,1740,1829,FALSE,"For her house  inclineth unto death, and her paths unto  the dead; none that go into her return C again, neither take they hold of the paths  of life.' Those who are enticed and ensnared by the company of wicked men, are easily prevailed with to join"
0124900301_000025,"Sermons on various subjects. By the Reverend John Garnons, Late Curate and Lecturer of Allhallows, Barking, & London-Wall. In Two Volumes. ... . Published for the Benefit of his Widow and Children.","Garnons, John           1751 or 2",46,1,5,1,0,1,0,1,0,1,1,0,0,2,1,0,0,0,1,2,0,0,0,0,1,1,0,0,1,1,0,0,2,3,0,1,0,1,0,2,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,1,2,0,3,0,0,0,1,0,4,1792,1,2,"London : printed by Sammells and Ritchie, Albion Buildings, Bartholomew Close, MDCCXCII. [1792].",London,283,unknown,,,FALSE,"time we have to remain here, and begin the new year with resolutions of amendment. Let us exert ourselves in this most important of all things, and pray to God for the assistance of his Spirit, that we may finish our work before we finish our course. 0 were we"
1452700200_000045,"The pleasing moralist: or, Polite philosopher. Consisting of essays, poems, histories, and dialogues, serious and comic. By R. Lewis, corrector of the press, author of the Candid Philosopher. In two volumes.","Lewis, Richard, corrector of the press",40,1,1,1,0,1,0,1,1,1,0,1,0,0,1,1,0,0,0,0,0,2,3,0,0,1,0,0,1,0,0,0,1,2,0,0,0,1,0,0,0,1,1,0,0,0,0,3,0,0,4,1,0,0,0,0,1,0,3,1,0,0,0,2,2,1780,1,1,"Dublin : printed for the author, at No. 22, Bride-Street; and sold by all the booksellers, [1780?].",Dublin,494,unknown,,,FALSE,"the moss so. He proceeds gradually; he advances flbwly, as miners do in their work; and every itep he takes, every artifice he uses, his reason and his conscience revolt against; nay, it is reason that is perverted from her fair office, to inflru& him to accomplish things wicked and"
0142400800_000004,"The pernicious effects of an intemperate indulgence in sensual pleasures. A sermon preached before the University of Oxford, at St. Mary's, on Sunday, March 13, 1747-8. By John Tottie, M. A. Fellow of Worcester College, Archdeacon of Worcester, and Chaplain in Ordinary to his Majesty. Publish'd at the Request of Mr. Vice-Chancellor and the Heads of Houses.","Tottie, John",46,0,0,4,0,0,0,1,1,0,1,0,0,0,3,1,1,0,0,1,2,0,1,1,0,2,0,0,1,0,0,0,1,9,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,1,1,7,0,0,0,1,0,0,1748,1,1,"Oxford : printed at the Theatre for Mary Fletcher Bookseller in the High-Street; and sold by J. and J. Rivington in St. Paul's Church-Yard; W. Sanby in Fleet-Street, London; and J. Mountfort at Worcester, [1748].",Oxford,31,male,1711,1774,FALSE,"of Wit, which enliven the Conversation of the Men of Plea. sure, beyond all that Temperance and Sobriety can pretend to? Does this argue the Want or Decay of Parts; is it not rather a proof of their Energy and Vivacity? Be it To. But alas! all this boasted Fire"
1133400301_000005,"Essays moral and literary. By Vicesimus Knox, M.A. A new edition. In two volumes. ...",Vicesimus Knox,42,0,0,0,1,3,0,0,1,0,1,0,0,0,1,2,1,1,0,2,1,0,1,1,0,0,2,0,0,3,1,0,2,1,0,2,0,0,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,1,0,2,0,2,2,0,1,0,0,2,1786,1,2,"Dublin : printed for R. Marchbank, 1786.",Dublin,368,male,1752,1821,TRUE,"following manner: ""You have violent piftions implanted in you by ""Nature for the acconipliflimnnt of her puipofes. *"" r r da not conclude as iiiany have (lone to their ruin , that bccaule they are viole. t, !.ev are irsr fislible. The same Nature which gave you palions, gave you"
0784100202_000012,"Lectures on the Catechism of the Church of England: with a discourse on confirmation. By Thomas Secker, L L. D. Late Lord Archbishop of Canterbury. Published from the original manuscripts by Beilby Porteus, D.D. and George Stinton, D.D. His Grace's Chaplains. ...",Thomas Secker,41,4,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,2,1,0,1,4,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,1,0,0,0,0,0,2,1,0,1,1,4,0,0,0,1,2,1,1,2,1,0,1,2,1770,2,2,"Dublin : printed for J. Exshaw and J. Williams, Booksellers, M,DCC,LXX. [1770].",Dublin,190,male,1693,1768,FALSE,"other Evil will; too likely to produce effeas equally grievous, and therefore to be considered as equally forbidden. But now, from the mutual Fidelity required of married Persons, I proceed, secondly, to the Chastity and Modesty required of all Persons. Supposing that only such as live single were to be"
0124600600_000052,"Sermons, chiefly intended to promote faith, hope, and charity. By Vicesimus Knox, D. D.",Vicesimus Knox,40,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,1,0,1,0,0,0,2,0,0,2,3,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,3,5,0,0,2,1,0,1,5,2,0,0,0,0,1793,1,1,"London : printed for Charles Dilly, MDCCXCIII. [1793].",London,562,male,1752,1821,TRUE,"in the aggregate, means the wicked part of the world, which appears unhappily to constitute so large a part, that, by a very natural figure of speech, it is put for the whole. It is evident then, without any refinement, cafuifiry, or sophistry, that nothing can be more reasonable than"
1088600201_000055,"Practical discourses on moral subjects. ... . On Gratitude. Humility. Veracity. Chastity. Temperance. Contentment. Industry. By William Dodwell, M. A. Rector of Shottesbrook, Berks.",William Dodwell,42,1,0,0,0,1,0,0,0,2,1,0,0,1,1,0,0,0,0,0,1,5,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,3,1,1,1,1,3,0,0,3,0,0,2,2,3,0,0,0,0,1748,1,2,"London : printed for Sam. Birt , in Ave Mary-Lane ; and sold by R. Clements, J. Fletcher, and J. Barrett, in Oxford, MDCCXLVIII. [1748].",London,505,male,1709,1785,FALSE,"withdrawing of His Grace on His, we are left to the Sin and Misery of our own corrupt Hearts, without any the least Foundation for Piety or Felicity, for Virtue or Delight. But secondly, The Violation of this Duty of Chafiity is prejudicial to Man, considered not only as a"
0591800902_000034,"Sermons to young men. In three volumes. By William Dodd, L L. D. Prebendary of Brecon, and Chaplain in Ordinary to His Majesty.",William Dodd,47,1,0,0,1,0,0,0,1,0,0,1,1,0,3,2,0,0,0,0,0,1,2,0,1,4,1,0,0,0,0,1,1,1,0,1,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,1,4,1,1,3,0,1,6,1771,2,3,"London : printed for J. Knox, and T. Cadell, in the Strand, MDCCLXXI. [1771].",London,310,male,1729,1777,FALSE,"his answer! ""Behold, my Master wotteth : not what is dwith me in the house, and he hath committed all that he hath to my hand: There is none greater in this house than I, neither .ath he kept back anything from me, but .thee, .because thou art his wife."
0476601003_000011,"Sermons on the following subjects, viz. The religion of Christ. Christian Morality. Excellence of Christ's Doctrines The Possibility of Miracles. Character of Christ and his Apostles. Design of their Miracles. Certainty of the Miracles. Resurrection of Christ; and Consequences of it. His not appearing to all the People. Of Christ's Ascension. The Descent of the Holy Spirit. The Doctrine of a Resurrection explained. The Change made by in the Saints. Objections against a resurrection answered. By the late reverend Samuel Chandler, D. D. and F. R. and A. S. S. Published from his Manuscript. with a preface, Giving a Brief Account of the Life, Character and Writings of the Author, by Thomas Amory, D. D. ...",Samuel Chandler,48,1,1,3,0,3,0,1,0,0,0,1,0,0,0,0,2,0,0,0,2,0,2,0,1,0,0,0,1,5,0,0,2,8,0,2,0,1,0,0,0,1,2,0,1,1,1,0,1,0,0,0,0,0,0,1,0,1,2,0,0,0,0,1,0,1759,3,4,"London : printed for J. Buckland, in Pater-Noster-Row ; and E. and C. Dilly, in the Poultry, M,DCCLXIX. 1759-[1769].",London,444,male,1693,1766,FALSE,"his pleasures , and minister to his vilest passions and inclinations. Your men ofpleafire, in conversation, are the moil empty and unfurnished creatures in the world, D a or or the most offensive and shocking. They want ideas to bear a part in the solid entertainments of men of sense"
0958001101_000005,"Essays moral and literary, by Vicesimus Knox, M.A.",Vicesimus Knox,37,0,0,0,1,2,0,0,1,0,0,0,0,0,1,1,1,1,0,1,1,0,1,1,0,0,2,0,0,3,1,0,1,1,0,2,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,3,0,2,2,0,1,0,0,2,1783,1,2,"Dublin : printed by R. Marchbank, No. 2, Cork-Hill, M,DCC,LXXXIII. [1783].",Dublin,371,male,1752,1821,TRUE,"and a love of order. Religion.,. added to the light of Nature and the experience of mankind, has concurred in eftablifling it as an unquestionable truth, that the irregular or intemperate ""indulgence of the paflibns is always attended with "" pain in Tome mode. or.other, which greatly exceeds; its pleasure"
0452100208_000045,"The english preacher: or, sermons on the principal subjects of religion and morality, selected, revised, and abridged from various authors. ...",,37,1,0,1,0,3,0,3,2,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,2,0,0,2,0,0,0,2,0,0,1,0,0,0,4,0,1,2,0,0,0,1,0,1,1773,8,9,"London : printed for J. Johnson, St. Paul's Church-Yard, MDCCLXXIII. [1773]-74.",London,332,unknown,,,FALSE,"ach, you readily consent to endure some pain, that your grievance may be removed; and will you bear nothing in order to be cured, when your mind labours under a most malignant and dangerous distemper? The pains of reformation will soon be over, and when once it is accomplished, the"
0666600600_000014,"The surry cottage. By James Penn, Vicar of Clavering cum Langley, Essex; Chaplain to the Right Hon. Earl Gower, and Lecturer of St. Ann's, Aldersgate.",James Penn,44,1,0,1,0,1,0,1,1,0,1,0,0,0,0,2,3,1,0,0,1,2,3,0,1,2,2,0,3,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,3,0,0,4,0,1,0,0,0,0,0,3,0,0,2,0,1,0,1779,1,1,"London : printed for, and sold by the author in Wilderness Row, Goswell Street, and Mr. Bladon in Paternoster-Row, MDCCLXXIX. [1779].",London,270,male,1727,1800,FALSE,"appetites . His lust, if tnot satiated, muff through necessity be at an end; for, however considerable the fortune is, it could not support a licentious and uncontrolled gratificationd Vin( () A Vindication of the Unfortunate Fair. Hear me, Sirs, with patience and candour a few words, not injultification of"
1583500101_000085,"The Weekly entertainer; or Agreeable and instructive repository. Containing a collection of select pieces, both in prose and verse; curious anecdotes, instructive tales, and ingenious essays on different subjects.",,39,0,0,0,1,1,0,0,1,0,1,0,0,0,1,1,1,1,0,1,1,0,0,1,0,0,2,0,1,2,0,0,4,1,0,2,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,1,0,2,0,2,2,0,1,0,0,3,1783,1,59,"Sherborne [Dorset, England] : printed by R. Goadby and Co., M.DCC.LXXXIII. [1783]-1819.",Sherborne,630,unknown,,,FALSE,"perception is blunted by long and reiterated collision. To him who has lost the finer sensibilities, it is no less fruitless to address a moral discourse, than to represent to the deaf the charms of melody, or to the blind the beauties of a picture. But youth possesses sensibility in"
