PassageID,Title,Author,Total termFreq,termFreq(air),termFreq(alon),termFreq(appear),termFreq(arm),termFreq(art),termFreq(beauti),termFreq(care),termFreq(charm),termFreq(death),termFreq(earth),termFreq(face),termFreq(fall),termFreq(fate),termFreq(fear),termFreq(fight),termFreq(flow),termFreq(form),termFreq(foul),termFreq(friend),termFreq(glori),termFreq(god),termFreq(grace),termFreq(hand),termFreq(happi),termFreq(head),termFreq(hear),termFreq(heart),termFreq(heaven),termFreq(hope),termFreq(hour),termFreq(joi),termFreq(king),termFreq(know),termFreq(life),termFreq(light),termFreq(live),termFreq(love),termFreq(mind),termFreq(natur),termFreq(night),termFreq(onc),termFreq(pain),termFreq(peac),termFreq(plain),termFreq(power),termFreq(prais),termFreq(ring),termFreq(round),termFreq(song),termFreq(sweet),termFreq(tear),termFreq(thought),termFreq(turn),termFreq(vain),termFreq(view),termFreq(virtu),termFreq(voic),termFreq(world),termFreq(youth),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpts
0568901300_000005,"Miscellanies in prose and verse, original and translated. By the Rev. William Rayner, B. A. Of Caius College, Cambridge, And Curate of Worlingworth in Suffolk.","Rayner, William",104,0,3,0,1,0,1,6,1,0,4,0,0,5,0,0,4,2,0,3,1,0,2,3,3,2,1,1,5,1,2,4,0,2,5,0,0,0,4,1,1,2,2,2,1,0,3,0,0,2,1,3,7,0,4,2,2,0,2,3,1767,1,1,"Ipswich : printed for the author, by E. Craighton and W. Jackson, MDCCLXVII. [1767].",Ipswich,162,male,1741,1800,FALSE,"day, and robs the night of rest; Makes all Creation's numerous beauties vain , And leaves my heart a prey to anxious pain : To you these solitary thoughts I send, That where I err, your Wisdom may amend.. Hard tis to pracice philosophic rules,, The wise result or folly"
0264100400_000034,"The conquest of Canäan; a poem, in eleven books.",Timothy Dwight IV,109,0,4,0,5,0,1,2,2,3,3,1,0,0,1,0,1,1,0,2,1,1,3,5,0,1,1,2,2,3,0,5,1,3,1,2,3,8,5,1,2,0,4,2,1,1,1,0,2,0,2,3,2,0,0,3,3,5,1,3,1788,1,1,"[London] : Hartford, New-England: printed MDCCLXXXV. London: reprinted for J. Johnson, No 72, St. Paul's Church-Yard, 1788.",London,363,male,1752,1817,FALSE,"Heaven ? From infant years, thy lovely form to raise, To lure thy mind to all that merits praise ; Gainit fatal (nares thy youthful heart to arm , With truth illumine, and with virtue warm, 50o Ten thousand sighs I breathed, ten thousand prayers, Watched countless nights , and"
0089402500_000025,"The masque: a new and select collection of the best English, Scotch, and Irish songs, catches, duets, and cantatas; In the true Spirit and Taste of the Three different Nations. Collected from all the numerous Books of this Kind that have been published, from the first Appearance of such Works to the present Time; including every celebrated Song that has been sung at the Public Gardens and Theatres, either the last or any preceding Season. With a great Number of Valuable Originals. Being an Attempt to improve upon others in the true Spirit of Social Mirth and Good Fellowship, without forgetting the Respect that is due to the Public. To which is added, A complete Collection of the various Toasts, Sentiments, and Hob Nobs, now in vogue.",,98,3,0,0,1,4,3,1,6,0,1,1,1,2,0,0,1,1,0,0,2,0,3,0,6,2,1,1,1,0,2,4,0,1,3,0,1,8,2,4,1,0,0,1,1,0,3,0,1,9,4,0,1,1,3,2,1,2,1,1,1780,1,1,"London : printed for Richardson and Urquhart, under the Royal Exchange, [1780?].",London,388,unknown,,,FALSE,"him I live ; O may the shepherd be sincere! Through' the shady groves I'll wander, Silent as the.bird of night ; Near the brink of yonder fountain First Leander blessed my sight; Witness. [ 94 ] Witness, ye groves and falls of water, Echoes, repeat the vows he swore:"
1133700101_000069,"The lady's poetical magazine; or, beauties of British poetry. ...",,100,1,0,1,3,0,6,1,4,0,3,0,1,0,1,0,1,3,0,0,0,0,2,2,1,1,1,3,1,1,1,5,0,2,3,2,1,9,3,1,3,2,3,2,2,4,1,0,1,0,1,3,3,1,2,2,0,2,0,4,1791,1,2,"London : printed for Harrison and Co. No. 18, Paternoster-Row, 1791.",London,490,unknown,,,FALSE,"from me, Invoked, thy unpropitious deity? Or dooms, on racks of wildell Fancy torn, In dreams, my agonising soul to mourn? Why am I oft on angry billows tossed, Now in some wide and dreary desert lost? Why yet in life infernal tortures feel, Bound by fierce demons to tome"
0321600700_000003,Sorrows. sacred to the memory of Penelope.,"Sir Brooke Boothby, 6th Baronet",97,1,1,4,0,2,5,1,3,2,1,2,1,1,1,0,4,3,0,0,0,0,4,1,0,0,0,3,1,2,2,5,0,1,2,3,1,6,1,5,3,3,2,0,1,1,0,0,0,1,2,5,1,0,1,0,0,1,4,3,1796,1,1,"London : printed by W. Bulmer and Co. and sold by Messrs Cadell and Davies, Strand; Edwards, Pall-Mall; and Johnson, St. Paul's Church-Yard, 1796.",London,86,male,1744,1824,FALSE,"towering day star, smiling, points the way To glorious regions, bright with cloudless ray! SONNET XVII Bright, crisped threads of pure, translucent gold! Ye, who were wont with Zephyr's breath to play; Over the warm cheek, and ivory forehead stray; Or clasp her neck in many an amorous fold; Now,"
0646801300_000060,"The warbling muses, or treasure of lyric poetry: containing seven hundred and thirty-one songs, on all Sorts of Subjects, and in every Measure of Verse; a great Many of them from Manuscripts, and scarce any found in the Collections. Compiled for the Use of Musical Composers; as likewise for the Entertainment of Youth in our polite Schools. By Benjamin Wakefield, Esq; Being the first Attempt of this Kind.",,109,4,2,2,1,6,2,6,4,0,0,2,1,1,3,0,1,1,0,0,2,0,1,1,0,1,0,6,1,2,0,8,0,0,1,0,1,7,1,1,1,0,1,0,1,0,1,0,2,18,1,3,2,2,1,1,1,1,1,3,1749,1,1,"London : printed for G. Woodfall at the King's-Arms, near Craig's Court, Charing-Cross, MDCCXLIX. [1749].",London,311,unknown,,,FALSE,"Desire.. t. pbyllij my Reason moves and Awe, And Cupid Shot me, when he saw. SONG DCLXXXIL O N yonder Bed, supinely laid, Behold thy loved , expecting Maid; In rremor, Blushes, half in Tears , Much, much she wishes; more the fears . Take, take her to thy faithful"
0184200100_000011,"A collection of original poems. By the Rev. Mr Blacklock, and other Scotch gentlemen.",,109,0,2,2,0,0,6,5,6,1,1,2,1,4,1,0,2,0,0,0,6,1,2,3,4,0,1,2,1,0,1,5,0,0,2,0,2,6,2,1,0,3,3,0,3,3,0,0,3,1,9,1,0,0,1,2,4,0,0,4,1760,1,1,"Edinburgh : printed for A. Donaldson, at Pope's Head; and sold by R. and J. Dodsley in Pall-Mall, and J. Richardson in Pater-Noster-Row, London, MDCCLX. [1760].",Edinburgh,238,unknown,,,FALSE,"flouribh once again below. £ f·ieahcav'na5 [ 50 3 Hlcav'n's Sovereign, powerful , sife, andgracious iliil, Educes perfect good from partial ill: To him I lowly bend the suppliant lnee, And bless the hand that sent me far from thee; Far from the banks of Forth, the lovely plains ,"
0380700900_000007,The poetical works of John Scott Esq.,John Scott,101,1,2,0,0,3,1,0,2,2,3,1,1,0,0,0,0,4,0,2,1,0,0,2,0,1,2,2,3,2,3,2,0,0,5,2,0,9,3,2,1,3,4,1,2,0,0,0,2,2,3,2,3,0,6,5,2,1,2,1,1782,1,1,"London : printed for J. Buckland, MDCCLXXXII. [1782].",London,351,male,1730,1783,FALSE,"remains, I read inquiry in thy anxious eye, Why my pale cheek the frequent teat diftains, Why from my bosom burfs the frequent sigh. Long fdomn these scenes detairi'd in distant fields, My mournful tale perchance escape thy ear:. Fresh grief to me the repetition yields; Thy kind attention gives"
1042700801_000031,"A collection of poems, mostly original, by several hands.","Edkins, Joshua",94,1,0,0,0,1,5,4,3,4,4,1,1,1,2,0,2,1,0,0,0,1,1,1,0,0,2,4,0,3,3,4,0,2,3,0,3,2,1,0,0,0,0,2,3,3,1,1,2,1,3,2,2,1,9,1,1,1,0,1,1789,1,2,"Dublin : printed for the editor, by M. Graisberry, MDCCLXXXIX. [1789].",Dublin,360,unknown,,,FALSE,"And seeps, at last, his kindred bones among! Vain , very vain ! the swelling blast of praise , Acquired in senates, or the tented field! Vain , very vain ! the public's eager gaze, And vain the joys that hoarded riches yield! And vain , on earth , to"
0290001000_000116,"Principles of elocution, and suitable exercises; or, elegant extracts, in prose and verse. Compehending Numerous Examples of Narration, Description, Instruction, and the Different Species of Eloquence. Intermixed with Remarks on the Various Kinds of Composition, and Rules for Reading and Reciting them. By John Wilson, Teacher of Elocution, South Bridge, Edinburgh.","Wilson, John, teacher of elocution, Edinburgh",97,3,2,1,0,4,3,2,4,3,1,2,2,1,3,1,1,0,0,2,0,1,1,1,0,0,0,2,2,3,1,1,0,0,5,1,0,4,2,8,1,3,2,1,1,4,1,0,4,0,0,0,2,0,3,2,3,1,1,1,1798,1,1,"Edinburgh : printed by Ja. Pillans & Sons, and sold by the author, P. Hill, J. Guthrie, J. M'leish, and W. Dickson, Edinburgh; G. Peattie, Leith; Cameron and Murdoch, Glasgow; A. Forsyth, Ayr; and T. Hill, Perth, 1798.",Edinburgh,427,unknown,,,FALSE,"soul! Say why, difirufiful fill, Thy thoughts with vain impatience roll Over scenes of future ill? Y z Though Though griefs unnumbered throng thee round , Still in thy God confide, whose finger marks the seas their bound, And curbs the lieadlong tide.' Mer,;. 2 a1 tilunder STORM at MIDNIGHT."
0356301100_000054,"The lyric works of Horace, translated into English verse: to which are added, a number of original poems. By a native of America. [Two lines of Latin quotation].","Parke, John, MWA BI",84,2,3,0,0,0,4,4,2,4,1,1,1,1,0,0,1,0,1,2,1,0,3,0,4,1,3,2,3,3,0,3,0,0,0,1,1,8,1,3,1,1,1,1,2,0,1,0,1,1,2,3,1,0,0,0,1,2,1,1,1786,1,1,"Philadelphia : Printed by Eleazer Oswald, at the Coffee-House, M,DCC,LXXXVI. [1786].",Philadelphia|Philadelphia.,390,male,1754,1789,FALSE,"And brand his name, till world's shall be no more. Camp at Perkioming, 1777. E L E G Y 3 PASTORAL ELEGY, On the death of M NELLY MONTGOMERY, Addreed to Miss KITTY M'CALL, Both of Philadelphia. TP AWAS when the spangled curtains of the night , Had veiled Heaven's"
1244600700_000029,"Friendship in death; in twenty letters from the dead to the living. To which are added, letters moral and entertaining. In prose and verse. In three parts. By Mrs. Elizabeth Rowe. With the Author's Life prefixt; And other additions.",Elizabeth Rowe,101,0,0,0,1,2,1,2,5,1,1,1,1,2,0,0,1,2,0,1,1,6,4,2,1,1,3,2,5,5,5,5,0,0,7,0,1,2,2,2,0,0,1,2,0,0,4,0,1,1,0,2,2,0,2,1,6,2,1,1,1752,1,1,"Dublin : printed for John Exshaw, at the Bible on Cork-Hill, MDCCLII. [1752].",Dublin,439,female,1674,1737,TRUE,"a husband's tomb; Kind, wife and good, snatched from thy widowed arms In all the blooming pride of manly charms ; What bosom bleeds not at thy moving strains? What eye the tributary tear refrains? Or if thy muse, warmed with diviner flame, Scorn mortal themes, and sing th' Almighty's"
0821600302_000039,A collection of poems in two volumes. By several hands.,"Pearch, G.",85,2,0,1,1,2,0,1,3,2,2,0,0,3,1,0,2,1,0,0,1,0,2,1,1,1,0,3,4,2,2,6,0,0,3,1,1,3,1,3,1,0,2,2,0,4,1,0,2,2,3,3,0,0,3,2,1,2,0,1,1768,2,2,"London : printed for G. Pearch, No. 12, Cheapside, MDCCLXVIII. [1768].",London,322,unknown,,,FALSE,"Stygian fiend! III 3 With holy dread, ye guardians of her frore, Fulfil your charge, not too profuse of praise Embalm, with her immortal lays, The carrion corps of pride, or power !' Let dullness her vain favours shed On smiling folly's kindred head ; Or ( 211) Or vice,"
0154201600_000060,"The conquest of Canäan; a poem, in eleven books. By Timothy Dwight. [Two lines from Pope].","Babcock, Elisha",115,1,3,0,3,2,1,3,3,3,5,3,0,1,2,0,1,1,0,8,3,0,3,4,0,0,1,3,6,4,0,2,0,1,7,2,2,4,4,2,0,0,4,4,1,2,0,0,2,0,4,2,1,0,0,2,1,0,4,0,1785,1,1,"Hartford : Printed by Elisha Babcock, M,DCC,LXXXV. [1785].",Hartford|Hartford.,323,male,1753,1821,FALSE,"mourn; this lat relief bestow, And yield my bofoqn to the peace of woe. 160 Oppressed with grief, the feeling fire rejoined -- - Sweet , lovely charmer of thy father's mind ! From earth , from friends , thy hope can never slow; Too poor, to yield the balm"
0590000400_000034,Love tales and elegies: interspersed with pastorals and other curious poems. Selected from the best authors. With several valuable originals.,,98,2,2,1,1,2,2,1,3,0,3,2,3,1,0,0,1,1,0,0,3,2,4,0,0,4,3,6,1,1,3,1,0,0,4,2,2,9,0,2,2,1,1,0,2,1,3,0,1,0,0,5,0,4,1,2,1,0,2,0,1775,1,1,"London : printed for J. Wenman, No 144, Fleet-Street, MDCCLXXV. [1775].",London,193,unknown,,,FALSE,"loved and seared. And where, along the rising sky, Her god in brighter glory burned, Still there her fond, observant eye, And there her golden breast she turned . When calling from their weary height, On western waves his beams to rest, Still there she sought the parting sight, And"
0590000400_000023,Love tales and elegies: interspersed with pastorals and other curious poems. Selected from the best authors. With several valuable originals.,,116,0,0,0,4,0,3,1,3,2,4,0,0,0,1,0,2,3,0,0,0,0,2,5,2,2,2,5,5,1,3,2,0,1,3,0,1,14,2,2,1,3,4,2,2,4,0,0,3,0,1,6,1,0,5,0,1,3,1,4,1775,1,1,"London : printed for J. Wenman, No 144, Fleet-Street, MDCCLXXV. [1775].",London,193,unknown,,,FALSE,"dark suspicion free, I sailed with transport on life's summer sea; The gay attendants of my happy state, The Smiles, the Graces , round were seen to wait, And all the moments, as they swiftly flew, Showered down soft joy , and pleasures ever new. How changed this fleeting image"
0560001100_000020,"Poems on several occasions. By Thomas Blacklock, Student of Philosophy in the University of Edinburgh.",Thomas Blacklock,94,0,1,1,0,2,0,0,4,3,2,0,1,5,0,0,1,2,0,2,1,1,2,1,1,0,1,4,6,1,1,5,0,1,1,3,1,1,2,7,1,0,2,1,0,1,1,0,0,1,2,4,1,0,4,3,4,2,2,1,1754,1,1,"Edinburgh : printed by Hamilton, Balfour and Neill, M,DCC,LIV. [1754].",Edinburgh,195,male,1721,1791,FALSE,"desire, And teach my dear URANIA to be kind. For her, black sadness clouds my brightest day For her, in tears the midnight vigils roll For her, cold horrors melt my powers away, And chill the living vigour of my soul. Beneath her scorn each youthful ardour dies, Its joys"
0258800800_000004,"Poems, by M. Mitchell.","Mitchell, M.           1796",98,1,0,3,1,1,0,1,9,3,1,1,1,4,2,1,1,4,0,1,0,0,0,2,2,0,0,1,1,2,1,6,1,0,6,1,0,6,1,0,0,1,1,4,1,1,0,0,2,1,5,3,0,1,0,4,2,1,1,5,1796,1,1,"Yarmouth : printed by I. D. Downes, 1796.",Great Yarmouth,113,unknown,,,FALSE,"worlds shall call, When life's pure current shall begin to ebb, And death , with icy hand , unbars the tomb, Short be thy passage to the realms of bliss, And soft the stream which wafts thy soul to heaven ! May kindred spirits hail thy glad return, And angels"
