PassageID,Title,Author,Total termFreq,termFreq(accord),termFreq(anim),termFreq(appear),termFreq(author),termFreq(bodi),termFreq(cafe),termFreq(caus),termFreq(christ),termFreq(common),termFreq(confid),termFreq(creatur),termFreq(death),termFreq(degre),termFreq(differ),termFreq(divin),termFreq(end),termFreq(evil),termFreq(father),termFreq(form),termFreq(gener),termFreq(god),termFreq(holi),termFreq(human),termFreq(idea),termFreq(kind),termFreq(know),termFreq(knowledg),termFreq(law),termFreq(life),termFreq(light),termFreq(live),termFreq(love),termFreq(mankind),termFreq(manner),termFreq(matter),termFreq(mean),termFreq(mind),termFreq(moral),termFreq(natur),termFreq(noth),termFreq(observ),termFreq(order),termFreq(origin),termFreq(particular),termFreq(person),termFreq(power),termFreq(principl),termFreq(proper),termFreq(reason),termFreq(religion),termFreq(sens),termFreq(spirit),termFreq(state),termFreq(think),termFreq(true),termFreq(virtu),termFreq(word),termFreq(work),termFreq(world),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpts
1487600100_000068,"Discourses on the evidence of revealed religion. By Joseph Priestley, LL.D. F.R.S. &c. [Two lines from Acts].","Spotswood, William",102,2,0,0,3,0,0,1,4,0,0,1,0,1,1,3,0,1,1,0,1,13,0,1,0,0,0,3,1,5,1,0,1,6,2,0,1,3,3,8,1,1,3,1,0,5,1,1,1,1,4,1,0,2,0,3,2,0,1,7,1795,1,1,"Boston : Printed and sold by William Spotswood, no. 55 Marlborough-Street, 1795.",Boston,288,male,1753,1805,FALSE,"our ways, our minds would be liable to be disturbed and unhinged by the events of s3 life , and we should more especially find ourselves destitute of power to carry us through severe trials and sufferings in the cause of truth and a good conscience. But an habitual refpe"
0028500100_000041,"The life of John Buncle, Esq; containing various observations and reflections, made in several parts of the world; and many extraordinary relations.","Amory, Thomas",112,0,0,2,1,0,0,0,2,0,2,0,0,1,3,7,0,1,1,0,0,12,3,1,0,0,0,1,6,3,1,3,2,2,2,1,0,3,3,8,0,1,3,0,1,1,2,1,0,6,8,0,3,1,2,3,1,0,3,5,1756,1,1,"London : printed for J. Noon, at the White Hart in Cheapside, near the Poultry, MDCCLVI. [1756].",London,527,unknown,1691,,FALSE,"for they were as guilty as the Gentiles were in transgressing the law of nature . Neither of them had any legal title tojulification.. They were all very great transgressors. The throat of yew and Gentile an open; fepul cre: their tongues, deceit: the poison of asps under their lips:"
0973301002_000004,"Sermons on the following subjects, viz. Of the universal sense of good and evil. ... By James Foster.",James Foster,92,3,1,0,0,2,1,4,0,0,1,1,3,6,4,2,1,3,0,1,5,5,0,2,1,0,0,1,1,0,0,0,0,3,0,0,0,1,5,5,2,0,3,1,1,0,2,2,2,7,1,0,0,1,2,1,1,1,1,2,1737,2,2,"[Dublin] : Printed by R. Reilly, on Cork-Hill, for G. Risk, G. Ewing: W. Smith, and A. Bradley, 1735.",Dublin,271,male,1697,1753,FALSE,"God , but against his wisdom only, in taking the most proper methods to promote the general happiness, are attempts to argue where we have no principles to proceed upon; and muit therefore be extremely rash and arrogant. So that this short view of the cafe is sufficient to convince"
0280800102_000095,"The advantage and necessity of the Christian revelation, shewn from the state of religion in the antient heathen world: ... To which is prefixed, a preliminary discourse on natural and revealed religion. In two volumes. By John Leland, ...",John Leland,80,1,2,1,1,1,0,1,0,1,2,2,0,0,2,4,1,2,0,2,1,0,0,2,1,1,0,1,0,6,1,2,0,1,1,4,0,1,3,6,2,0,0,0,0,0,1,1,1,5,2,1,0,5,2,1,2,0,0,3,1764,2,2,"London : printed by W. Richardson and S. Clark; for R. and J. Dodsley, and T. Longman, 1764.",London,526,male,1691,1766,FALSE,"religion , and to the cause of virtue in the world , whether there be life to come, in which men fiall be rewarded or punifled, according to their behaviour in this present slate; or whether this present life be the whole of our existence, beyond which there is nothing"
1407601100_000005,"Two discourses, delivered in the public assemblies of the people called Quakers. By Thomas Story. Taken in short-hand; and, after being transcribed at length, examined by the said T. Story, and published by his permission.","Carter, John",119,3,1,3,0,2,0,1,6,0,1,0,1,4,0,8,0,2,0,0,0,12,5,2,0,1,2,3,3,6,4,0,2,4,1,0,1,11,1,2,1,0,0,0,0,0,3,0,2,2,0,0,8,0,2,2,2,2,0,3,1769,1,1,"[Providence] : London, printed. Providence, re-printed and sold by John Carter, at Shakespear's Head, M.DCC.LXIX. [1769].",Providence,44,male,1745,1814,FALSE,"by which he might come near unto mankind , in our own nature and likeness, under the character and name of Jesus Christ , who in the holy scripture is called the wisdom of God ; and the power of God ; and by John;, the evangelist, is called the"
0129200600_000008,"A panegyrick on the Newtonian philosophy. Shewing the nature and dignity of the science, and Its absolute Necessity to the Perfection of Human Nature; the Improvement of Arts and Sciences, the Promotion of true Religion, the Increase of Wealth and Honour, and the Completion of Human Felicity. By B. Martin.",Benjamin Martin,100,1,14,1,0,5,0,3,0,0,2,0,0,1,1,2,1,0,0,1,2,2,0,2,1,1,1,3,3,3,0,1,0,2,2,4,2,2,1,12,0,2,0,3,1,0,3,1,1,1,0,1,2,0,1,2,1,0,4,1,1749,1,1,"London : printed for W. Owen, near Temple-Bar, and J. Leake, and J. Frederick, at Bath, MDCCLXIX MDCCLXIX [1749].",London,65,male,1705,1782,TRUE,"the Nature and ofau, Struaure Bcdies. ( 32) stru&ure of animal Bodies , and the Uses of the several Parts. By this Science we are taught the divine Laws of animal Mechanism; not in the low nonsensical Notion of the Cartef ans, who confider Aimals as mere Machines, devoid of"
0451800100_000117,"Memoirs of the Rev. Isaac Watts, D.D. By Thomas Gibbons, D.D.",Thomas Gibbons,83,2,1,2,0,3,0,1,7,2,0,1,1,0,1,5,0,1,0,0,1,6,1,5,2,1,0,4,2,3,1,0,0,1,1,0,0,1,3,5,0,1,0,0,0,0,2,2,1,1,2,0,4,2,0,1,1,0,1,1,1780,1,1,"London : printed for James Buckland in Pater-Noster-Row; and Thomas Gibbons at No. 2, in Norton-Falgate, near Bishopsgate-Street, MDCCLXXX. [1780].",London,511,male,1720,1785,FALSE,"Sentiments. i2. The rational Foundation of a Christian Church, and the Terms of Christian Communion; to which are added Three Discourses, namely, namely, A Pattern for a Dissenting Preacher; the Office of Deacons; and Invitations to church fellowfhip. 22 Useful and important Questions concerning Jesus the Son freely proposed; with"
1752500200_000008,Practical discourses on the following subjects: I. Man's original state. II. The fall of Adam. III. Jesus Christ as a saviour. IV. Justification by faith. V. The spirit and its fruits. By Nicholas Manners. ...,"Manners, Nicholas",111,1,3,0,1,4,0,3,0,0,0,1,0,0,2,1,3,1,0,1,0,19,5,0,0,1,1,3,0,1,1,1,6,0,0,4,1,2,4,7,1,1,0,2,1,0,3,1,1,3,1,4,9,2,0,0,0,0,1,4,1777,1,1,"Leeds : printed for the author, by J. Bowling, and sold by J. Binns; and R. Spence, York, 1777.",Leeds,155,unknown,,,FALSE,"or no quality, a mere rasa tabula, to be impressed by things extrinfical to it, without any underitanding and choice of its own: Both which were foreign to the primitive state of man. For, every fubitance having a quality, and it being highly derogatory to God , to suppose that"
0177600102_000027,"Discourses on various subjects, by the late Reverend John Leland, D.D. With a preface, giving some account of the life, character, and writings of the author. In four volumes. ...",John Leland,100,0,1,1,0,1,1,1,0,0,3,4,0,0,2,2,0,2,0,1,2,8,0,3,0,4,0,1,5,0,0,0,2,3,2,0,0,3,6,12,1,2,0,0,1,2,2,1,3,7,0,2,1,1,1,1,2,2,0,1,1769,2,4,"London : printed for W. Johnston; and J. Dodsley, 1769.",London,513,male,1691,1766,FALSE,"other other Classes of Beings here on Earth are subservient and subordinate? Surely we ilave great Reason to think that the most wise and powerful and benevolent Lord and Parent of the Universe, whose Kingdom ruleth over all, doth in a special Manner exercise his Government and Care towards the"
1147401001_000043,"An estimate of human life. In a series of discourses. By Geo. Marriott, Rector of Alphamstone, in Essex, Lecturer of St. Luke, Middlesex. And Late Chaplain of the Factory in Sweden. Volume the first.","Marriott, George           1793",73,0,0,1,1,0,0,0,3,1,0,0,1,1,2,3,1,1,0,1,1,2,2,1,1,0,0,3,1,4,0,0,1,2,0,1,0,5,5,2,1,4,1,1,1,1,0,1,1,0,2,1,1,1,3,1,3,0,0,3,1774,1,1,"London : printed for the author, and sold by W. Flexney, opposite Gray's-Inn Gate, Holborn, MDCCLXXIV. [1774].",London,425,unknown,,,FALSE,"much delicacy by those who disapprove them and with their abolifllment. Intemperate oppositions bring on unnecefl'hy bloodihed, and frnifh the worst part of mankind , the interested du vourcrs vourers of the Fruit of Imposture, with an opportunity of inspiring the rabble of Devotees with the rage of Persecution. External"
0431400300_000158,"The dignity of human nature. Or, a brief account of the certain and established means for attaining the true end of our existence. In four books. I. Of prudence. II. Of knowledge. III. Of virtue. IV. Of revealed religion. By J.B. Master of an academy at Newington-Green, Middlesex.",James Burgh,77,0,2,2,1,1,1,0,0,0,1,1,1,1,1,2,0,0,1,0,3,1,0,3,1,1,3,6,1,1,2,1,0,5,1,1,0,1,1,1,0,0,0,2,1,2,1,0,0,4,4,1,0,3,2,1,3,1,1,3,1754,1,1,"London : printed by W. B. and sold by J. and P. Knapton, in Ludgate-Street; J. Ward, in Cornhill; J. Whiston and B. White, in Fleet-Street; A. Millar, in the Strand; and R. and J. Dodsley, in Pall-Mall, MDCCLIV. MDCCLIV. [1754].",London,446,male,1714,1775,FALSE,"know the TRUE virtues of the water of life ; that is, he must, to know the religion of the Scriptures, go directly to the Scriptures, and study them more than all the fyfsems or bodies of divinity in the world . There is no greater hindrance to the candid"
0973301001_000071,"Sermons on the following subjects, viz. Of the universal sense of good and evil. ... By James Foster.",James Foster,99,0,1,2,0,0,1,0,0,1,2,1,0,1,3,1,4,1,0,2,4,4,0,1,1,2,1,0,10,1,2,0,1,1,1,4,1,0,4,9,3,2,0,0,2,0,0,5,1,7,2,0,0,3,0,2,1,0,0,4,1735,1,2,"[Dublin] : Printed by R. Reilly, on Cork-Hill, for G. Risk, G. Ewing: W. Smith, and A. Bradley, 1735.",Dublin,287,male,1697,1753,FALSE,"that the principle itfdbf is ivwrg, but may justly incline us to si/pee, it; or, at tq4 least, S E R M. least, bhould make us proceed with deliberation and XV caution, before we venture to determine in a matter of so great consequence, and not susser us to be"
0459000202_000009,"Miscellanies: in two volumes. By the Rev. Richard Shepherd, B. D. Late Fellow of C. C. C. Oxford. ...","Shepherd, Richard",93,3,1,3,0,2,2,0,1,0,0,0,1,1,1,1,0,6,0,2,9,1,0,3,1,1,1,1,3,1,1,0,0,1,0,2,2,5,4,5,0,2,0,2,1,0,0,2,0,2,0,1,0,1,0,3,12,1,0,1,1776,2,2,"Oxford : printed for W. Flexney, in Holborn, London; J. Fletcher and S. Parker, in Oxford, MDCCLXXVI. [1776].",Oxford,278,male,1732,1809,FALSE,"he would find it a very difficult matter to give a tolerable reason . Paradoxical: as this may appear , there are fats in the natural world , such as are the immediate objets of our senses , that operate no less unaccountably. Who, for infrance, has told us what"
0167900100_000049,"An essay on regimen. Together with five discourses, medical, moral, and philosophical: serving to illustrate the principles and theory of philosophical medicin, And point out Some of its Moral Consequences. By Geo. Cheyne, M.D.C.R. Ed. S. and F. R. S.",George Cheyne,109,1,1,1,1,3,0,0,0,0,0,1,1,2,1,2,0,4,1,0,5,3,0,2,1,1,1,11,3,5,1,2,2,0,1,0,8,0,2,15,1,2,1,2,1,2,2,1,1,0,0,1,9,0,0,2,0,1,1,0,1742,1,1,"London : printed for Geo. Strahan, at the Golden Ball in Cornhill, and John and Paul Knapton, at the Crown in Ludgate-Street, M.DCC.XLII. [1742].",London,436,male,1671,1743,FALSE,"the Ideas meant by these K 3 Tcrmsi. Terms; and this is the TRUE and only Mean of natural Knowledge about Bodies and their natural Qualities and Laws . In spiritual Truths, imperceptible and immaterial Beings, (ziz.) about their Nature , Qualities and Ranks, can know nothing naturally and humanly,"
0255800700_000072,"Dæmoniacs. An enquiry into the heathen and the Scripture doctrine of dæmons. In which the hypotheses of the Rev. Mr. Farmer, ... are particularly considered. By John Fell.","Fell, John",106,2,0,1,1,0,6,3,0,2,0,0,7,0,1,4,0,8,0,0,1,4,2,6,3,0,2,1,0,0,1,0,0,4,0,1,0,2,7,8,2,0,0,4,2,2,2,3,1,2,2,0,1,2,0,0,0,0,0,6,1779,1,1,"London : printed for Charles Dilly, 1779.",London,447,male,1735,1797,FALSE,"account of their ideas , concerning the entrance of sin and death into this world , and to let us know , whether they ascribe it to the agency of the devil or not; for till this is done, those arguments that have been advanced against the received opinion, on"
0384600800_000049,"An essay on regimen. Together with five discourses, medical, moral, and philosophical: serving to illustrate the principles and theory of philosophical medicine, And point out Some of its Moral Consequences. By George Cheyne, M. D. Fellow of the Royal Society.",George Cheyne,102,1,1,1,0,3,0,0,0,0,1,1,0,2,3,2,0,1,0,1,6,2,0,2,2,1,1,12,3,1,0,0,2,0,1,0,7,1,2,10,1,6,1,0,1,2,1,2,3,1,0,1,4,3,1,2,0,2,1,0,1753,1,1,"London : printed for Dan. Browne, without Temple-Bar; R. Manby, on Ludgate-Hill; J. Whiston and B. White, in Fleet-Street; and A. Strahan, in Cornhill, MDCCLIII. [1753].",London,438,male,1671,1743,FALSE,"advance that Step; and when we K 2 come come into the proper Disposition of Body and Mind , to benefit by the just and precise Knowledge of thcl mentioned and fuch likc Divine Truths, (though absolute prec/i'on be inconliftcnt withinitude) we hall admire and adore the Wisdom of our"
0763400400_000097,"A review of the principal questions in morals. Particularly those respecting the origin of our ideas of virtue, its Nature, Relation to the deity, Obligation, Subject-Matter, and Sanctions. The third edition corrected, and enlarged by an appendix, containing additional notes, and a dissertation On the Being and Attributes of the Deity. By Richard Price, D.D. F.R.S.",Richard Price,82,1,0,0,0,0,2,1,1,0,2,1,3,1,1,3,1,2,0,0,2,3,0,1,3,1,3,0,0,2,0,0,1,1,3,0,3,2,1,5,1,1,3,0,4,2,3,3,0,3,1,1,0,2,1,1,3,1,1,1,1787,1,1,"London : printed for T. Cadell in the Strand, MDCCLXXXVII. [1787].",London,520,male,1723,1791,TRUE,"to some lower place in God's family, but to all those privileges of a son which he had forfeited, break the whole connexion between sin and punishment, and issue in full favour and everlasting glory through that great MAESSIAH wvho loved us and gave hin; elf for us. To this"
0039300102_000020,"The protestant system: containing discourses on the principal doctrines of natural and revealed religion. Compiled from the works of the following Protestant dissenters, viz. Abernethy, Amory, Baker, Benson, Bulkeley, Chandler, Doddridge, Duchal, Emlyn, Fordyce, Foster, Grove, Holland, Leechman, Mason, Morris, Newman, &c. &c. To which are added, Four Discourses never before printed. In two volumes, ...",,79,1,1,1,0,1,2,0,1,0,0,1,0,1,1,4,0,1,1,0,1,1,0,2,1,0,0,1,0,1,4,1,0,1,1,0,3,2,4,5,1,1,0,1,2,0,1,8,1,4,2,0,7,0,1,1,4,0,1,0,1758,2,2,"London : printed for R. Griffiths, at the Dunciad, in Pater-Noster Row, MDCCLVIII. [1758].",London,586,unknown,,,FALSE,"whole is still the same. For the fruit of Light can be nothing different from theffruit of the Spirit , mentioned tioned in the parallel text above cited. And on the other hand, those who are born of the Spirit are, in the scripture phraie, the children of light :"
0393100700_000042,An essay on the nature and conduct of the passions and affections. With illustrations on the moral sense.,Francis Hutcheson,99,1,3,4,2,1,1,2,0,1,2,1,1,1,1,5,2,0,0,3,3,0,0,1,4,2,0,1,3,1,0,1,1,2,1,0,0,7,1,11,0,5,5,0,3,0,3,0,0,3,2,5,0,1,0,1,1,0,0,0,1742,1,1,"London : printed for A. Ward, J. and P. Knapton, T. Longman, S. Birt, C. Hitch, L. Gilliver, T. Astley, S. Austen, and J. Rivington, MDCCXLII. [1742].",London,362,male,1694,1746,TRUE,"Pursuits of Virtue and Humanity . CONCERNING all there Pleasures of the Imagination, let us confider also "" how little support they can give Men under any ""of the Calamities of Life ,"" such as the Treachery or Baseness of a Friend, a Wife, a Child, or the perplexing Intricacies"
0247602400_000033,"Discourses on St. Paul's description of death, and its consequences. By Edward Harwood, D.D.",Edward Harwood,84,2,0,2,0,3,0,1,0,0,1,1,0,0,2,2,1,1,1,1,2,7,1,4,0,2,2,1,1,3,0,1,1,1,1,1,0,1,3,2,0,2,1,0,0,0,2,6,0,0,4,1,1,3,1,4,3,1,1,2,1790,1,1,"London : printed for Dr: Harwood, and sold by J. Johnson, St. Paul's Church Yard, M.DCC.XC. [1790].",London,331,male,1729,1794,FALSE,"the Father bej.owed upon us, that we Should be called the Jfns of God . We know not what wejhall be, but when he Shall appear , we shall be like him. Who will change these vile bodies of our humiliation, andfaj7fion them like unto his glorious body . Since"
