PassageID,Title,Author,Total termFreq,termFreq(agreeabl),termFreq(answer),termFreq(attent),termFreq(ball),termFreq(believ),termFreq(better),termFreq(brother),termFreq(certainli),termFreq(convers),termFreq(cri),termFreq(dai),termFreq(danc),termFreq(daughter),termFreq(even),termFreq(famili),termFreq(feel),termFreq(felt),termFreq(friend),termFreq(girl),termFreq(happi),termFreq(have),termFreq(hear),termFreq(heard),termFreq(herself),termFreq(hope),termFreq(hous),termFreq(ill),termFreq(know),termFreq(ladi),termFreq(leav),termFreq(littl),termFreq(long),termFreq(love),termFreq(manner),termFreq(mean),termFreq(miss),termFreq(mother),termFreq(parti),termFreq(pleasur),termFreq(pride),termFreq(quit),termFreq(realli),termFreq(repli),termFreq(room),termFreq(saw),termFreq(sir),termFreq(sister),termFreq(speak),termFreq(sure),termFreq(think),termFreq(thought),termFreq(time),termFreq(wish),termFreq(woman),termFreq(world),termFreq(young),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpts
1009700201_000026,The history of Mrs. Drayton and her two daughters. In three volumes. ...,,85,5,1,1,0,0,0,0,2,2,0,2,0,1,1,2,0,0,5,2,0,6,0,1,0,1,1,0,3,5,0,3,2,0,1,2,2,2,0,1,0,1,2,3,0,4,1,3,0,3,6,2,1,1,1,1,2,1767,1,3,"London : printed for F. Noble; and J. Noble, 1767.",London,242,unknown,,,FALSE,"alarmed at it, I assure you, it is a very innocent one, though probably it will throw your filter into a fine fuss, and make her not a little wonder how you come to know anything about the Colonel."" ""Why really , Sir , said Clara, I confess that I"
0940700802_000032,"The old manor house. A novel, in four volumes. By Charlotte Smith.",Charlotte Turner Smith,91,0,1,0,0,1,1,3,1,1,4,0,10,2,0,0,0,0,1,0,2,6,0,1,1,2,0,1,1,8,0,3,1,2,0,1,7,0,1,3,0,2,0,3,2,1,4,2,0,0,2,0,4,1,0,0,5,1793,2,4,"London : printed for J. Bell, 1793.",London,317,female,1749,1806,TRUE,"accustomed to study the fair, perceived this immediately. He perceived too, that Orlando disliked her as much as fle seemed charmed with him, and that therefore this rich heiress would not be the means of preventing the plar they had in agitation from taking effect. He therefore ventured to say"
1605900901_000022,"Orwell Manor. A novel, by Mary Elizabeth Parker, in three volumes, ...",Mary Elizabeth Parker,90,0,0,2,1,0,1,1,0,2,0,2,4,1,4,2,0,4,1,3,0,2,0,1,3,1,1,1,0,16,0,4,2,3,1,1,2,4,3,0,0,0,0,0,5,0,0,1,0,1,1,2,2,0,1,1,3,1795,1,3,"London : printed for the author, at the Minerva Press, Leadenhall-Street, M.DCC.XCV. [1795].",London,280,female,,,FALSE,"far yielded, as to consent to stay two days longer; but she declared ihe would not go to the rooms . "" Will you allow your daughters to go,"" said his Lordflip, "" with my mother ? If you will, my sister shall wait upon them tomorrow, -- and I"
0496800702_000022,Anna; or memoirs of a Welch heiress. Interspersed with anecdotes of a nabob. In four volumes. ...,Anna Maria Bennett,76,0,2,0,0,1,1,1,0,0,2,1,0,3,0,0,1,0,2,1,1,4,0,1,2,2,1,0,0,3,5,1,0,3,1,1,6,2,0,1,1,1,0,1,4,1,4,2,1,3,3,1,0,0,5,0,0,1785,2,4,"London : printed for William Lane, 1785.",London,268,female,1760,1808,FALSE,"in her looks. Mordant diretly applied to her for her interest with her lovely friend she was surprised, could not divine who he meant who could he mean but the charming Miss manfel ihe had no influence. Anna begged he would spare her as well as the company; Ihe assured"
1122700202_000027,"Constantia Neville; or, the West Indian. A novel. In three volumes. By Helena Wells, Author of ``the Step-Mother,'' &c. ...",Helena Wells,82,0,1,1,1,0,1,1,0,2,0,1,7,2,4,1,1,0,1,0,1,8,2,0,2,1,0,0,1,5,3,2,0,0,0,0,9,2,2,0,0,1,0,0,4,1,7,3,0,0,1,1,0,1,0,0,1,1800,2,3,"London : printed by C. Whittingham, Dean-Street, Fetter-Lane, for T. Cadell, jun. and W. Davies, Strand ; and W. Creech, Edinburgh, 1800.",London,382,female,,,FALSE,"for him to solicit the honour of her hand in the dance , her mother having quitted the room but an instant before the arrival of the two ladies . Wrapped up in her fancied importance, Miss Mansell condescended not ( 164) to pay those attentions which politeness enjoins from"
0653501103_000031,"Ethelinde, or the recluse of the lake. By Charlotte Smith. In five volumes. ...",Charlotte Turner Smith,89,0,3,2,0,1,1,5,0,0,1,2,0,2,0,3,0,1,2,2,0,9,1,0,4,1,0,1,2,9,2,4,0,1,0,2,2,2,0,1,0,2,2,1,1,1,2,0,1,3,3,1,1,2,0,1,2,1789,3,5,"London : printed for T. Cadell, 1789.",London,284,female,1749,1806,TRUE,"and wishes "" "" that may have been, my Lord,"" said Montgomery, who by no means liked the inclination he observed to censure rather than to serve, "" I persuade nlyfelf you will not susser your brother to quit the world without having the cohfo lation of feeing you and"
1143600503_000032,"Arpasia; or, the wanderer. A novel. By the author of The nabob. In three volumes. ...",Author of The nabob,80,0,2,1,0,2,1,1,0,0,1,1,0,0,0,2,0,5,5,2,4,2,1,1,0,3,1,1,0,2,1,3,1,5,0,2,3,1,1,1,0,1,0,0,4,2,5,3,0,0,0,0,3,2,2,1,1,1786,3,3,"London : printed for William Lane, Leadenhall-Street, MDCCLXXXVI. [1786].",London,235,unknown,,,FALSE,"her excellent heart !"" Such, he said, were his reflecions when Brandon met him at Paris. HE felt a pleasure in talking over the tranfaaions of the Lodge during the Easter recess, and earneitly inquired after the lovely Caroline, who he grieved to hear had fallen into ill health, and"
0629100403_000018,"Evelina, or, the history of a young lady's entrance into the world.",Frances Burney,75,0,2,1,0,1,0,3,0,0,5,1,3,1,3,2,2,0,2,0,1,4,1,2,0,0,2,1,1,6,2,0,0,1,0,1,3,1,1,0,1,1,0,0,2,0,4,3,3,1,2,0,1,1,0,0,3,1783,3,3,"London : printed for T. and W. Lowndes, No 77, in Fleet-Street, M.DCC.LXXXIII. [1783].",London,266,female,1752,1840,TRUE,"of the other, we reached the house in a moment. Lord Merton, disordered as he was, attempted not to stop us. As soon as we entered the house , I withdrew my arm, and courtfied my thanks, for my heart was too full for speech. Lady Louisa, evidently hurt at"
0110800101_000016,Louisa Mathews. By an eminent lady. in Three Volumes. ...,Eminent lady,85,0,0,0,1,1,0,1,1,1,0,0,9,2,3,0,1,1,1,1,1,3,1,1,1,1,0,0,1,8,0,3,1,0,0,3,8,1,0,1,1,0,0,4,1,3,6,0,0,0,2,4,1,3,1,1,1,1793,1,3,"London : printed for J. Lackington, No. 46 & 47, Chiswell-Street, Finsbury-Square, Moorfields, 1793.",London,234,female,,,FALSE,"such. I give you no merit for your unbounded attractions. You cannot be otherwise."" She now thought that the wine had circulated pretty freely; and, joining Miss Montague, was beckoned by Charlotte from the opposite fide of the room , who perceived the eyes of the Marquis to be fixed"
0024300103_000033,"The voluntary exile, in five volumes, by Mrs. Parsons, author of Lucy, &c. &c. ...",Eliza Parsons,78,0,0,0,2,0,1,3,0,2,1,2,0,2,3,0,0,0,4,2,1,3,1,3,0,0,1,0,1,7,1,2,0,0,1,1,1,4,0,1,1,1,0,0,1,7,1,2,3,0,0,2,2,0,5,0,3,1795,3,5,"London : printed for William Lane, at the Minerva Press, Leadenhall-Street, M.DCC.XCV. [1795].",London,251,female,1738,1811,TRUE,"in consequence of which permission from him, he thought it necessary to say, "" that those friends , nearly connected, would do right to set off without delay."" I was extremely concerned in what manner to break this painful intelligence to our friends , and at length left it to"
0710400104_000015,The pavilion. A novel. In four volumes. ...,"De Crespigny, Mary",93,0,2,0,0,3,1,1,0,1,4,0,0,1,3,1,2,1,0,0,1,6,1,0,2,1,1,2,5,17,0,1,1,0,1,0,6,3,1,0,0,4,1,4,2,0,4,1,0,4,1,0,1,1,1,0,0,1796,4,4,"London : printed for William Lane, at the Minerva Press, Leadenhall-Street, M.DCC.XC.VI. [1796].",London,214,female,,,FALSE,"opinion of her to be sure , and thinking her less deserving than Ihe had done."" ""Wa. s * Was that the cafe,"" cried the Duke: - ""Are you sure there was no other reason ?"" ""What other should there be,"" answered Lady Cecilia; oris there were, how should I"
0027900201_000017,"Simple facts; or, the history of an orphan. In two volumes. By Mrs. Mathews. ...","Mathews, Charles, Mrs",101,0,3,0,5,1,1,4,0,0,0,0,2,0,1,2,1,1,0,2,0,9,2,0,4,1,0,0,3,5,1,4,2,0,1,1,14,0,1,3,0,2,2,2,3,3,4,0,0,1,5,1,2,2,0,0,0,1793,1,2,"London : printed by S. Low, Great Portland Street for the author: and sold by Mr. Richardson, Royal-Exchange; Messrs. Hookham & Carpenter, Old and New Bond Street; and Messrs. Scatcherd & Whitaker, Ave-Maria Lane, 1793.",London,216,female,,,FALSE,"to judge, it was alto"" "" excellent, but file could not but ""acknowledge, she was most pleated with the "" character of Maria, as the other ladies of ""the piece were entirely without sentiment."" Sir Richard applauded the justness and delicacy of her talfe. He then inquired if the ladies"
0101000600_000003,"The english nun. A novel Here, in the shelter of this calm retreat, Did sorrow find a save and tranquil home; Did meek-ey'd resignation take her seat, And bow submission to her Maker's doom.",Catherine Selden,79,2,1,1,0,4,1,0,2,2,1,0,0,2,0,2,2,0,2,1,1,5,1,0,0,2,0,0,1,11,0,2,1,1,2,3,3,1,0,0,0,1,2,2,2,1,0,1,0,0,7,1,2,1,0,0,2,1797,1,1,"London : printed for William Lane, At The Minerva-Press, Leadenhall-Street, MDCCXCVII. [1797].",London,218,female,,,FALSE,"me to decide, lest I hlould inadvertently offend that on which you set most value. But I thould think the language of compli ment.was sufficiently familiar to you, for you to understand it."" ""Its fincerity,"" added Mrs.  illoulghlby; C o who cbferved a sort ofarchnefs lurking in the countenance"
0016200201_000007,"Seymour Castle, or the history of Julia & Cecilia, an entertaining and interesting novel. In two volumes. ...",,81,3,1,0,1,1,0,0,1,1,1,1,5,1,0,1,1,0,3,1,0,6,0,2,0,0,0,1,3,8,2,0,0,1,1,0,1,3,1,1,0,2,1,1,0,5,6,1,1,0,5,2,3,1,1,0,0,1789,1,2,"London : printed for H.D. Symonds, Paternoster-Row, M.DCC.LXXXIX. [1789].",London,223,unknown,,,FALSE,"do not take you to be either dear, blind or insensible. Come girls , says Lady Seymour, it is time to return to the company, ard make some apology for our absence, you will be ready my Lord to attend us at iupder, moit'certainly madam, says he, for the time"
0206900201_000020,Celestina. A novel. In four volumes. By Charlotte Smith. ...,Charlotte Turner Smith,67,1,2,0,0,1,1,3,1,1,2,2,0,2,1,1,2,0,3,0,1,6,1,1,3,0,1,0,0,2,2,1,1,0,0,0,1,2,0,0,0,2,0,2,3,2,1,2,0,1,3,1,2,1,1,1,0,1791,1,4,"London : printed for T. Cadell, in the Strand, M.DCC.XCI. [1791].",London,275,female,1749,1806,TRUE,"executed. executed. She now therefore intended to leave a letter of thanks, and to take leave of Mrs. Molineux as if it was only till the next day . But when the moment approached in which she was in reality to bid adieu per haps for ever to the friend"
0380500305_000018,"Cecilia, or memoirs of an heiress. By the author of Evelina. ...",Frances Burney,75,0,2,0,0,1,0,2,0,3,2,1,0,0,3,1,1,1,0,1,1,4,3,2,3,1,2,3,1,2,4,1,1,2,0,2,1,5,0,1,1,3,0,0,1,0,0,1,2,1,0,2,1,3,1,0,2,1783,5,5,"London : printed for T. Payne and Son at the Mews-Gate, and T. Cadell in the Strand, MDCCLXXXIII. [1783].",London,321,female,1752,1840,TRUE,"more spirit, ""to explain, in presence of those who can best testify my veracity, the real circumstances -"" ""I would by no means occasion you such unnecessary trouble, ma'am,"" answered he, with an air at once exulting and pompous, "" the situation in which I see you abundantly satisfies my"
0440300104_000017,"Woman as she should be; or, memoirs of Mrs. Menville. A novel. In four volumes. By Mrs. Parsons, ...",Eliza Parsons,88,1,3,1,0,1,0,4,2,0,0,1,0,0,0,2,1,0,7,1,3,7,1,0,1,4,1,0,1,4,1,0,0,4,1,0,7,1,0,1,0,0,0,0,1,1,2,2,1,3,4,2,1,6,3,0,1,1793,4,4,"London : printed for William Lane, at the Minerva, and sold by E. Harlow, 1793.",London,226,female,1738,1811,TRUE,"taking you to Wentworth Park, as I know , in her situation, I Should have done exactly the same thing. Pray give me credit for my candour, when it militates against my own wishes . I had been visiting round the neighbourhood, within ten miles of us, to search for"
0507500801_000007,Seymour castle: or the history of Miss St. Leger. In two volumes. ...,,85,3,3,0,0,1,0,0,1,1,1,1,5,1,0,1,1,0,3,0,1,8,0,0,0,1,0,1,4,6,2,1,0,1,1,0,2,6,1,1,0,2,0,1,2,3,7,2,0,0,5,1,2,1,1,0,0,1789,1,2,"Dublin : printed by H. Colbert, No. 136, Capel-Street, M.DCC.LXXXIX. [1789].",Dublin,217,unknown,,,FALSE,"at the same time she asked Sir George if he did not think Lord Henry the handsomest man he ever saw .. Sir George who was no way delighted with this conversation , answered he must be the criterion of beauty; since we approved him, adding, you know that ladies"
0048500301_000008,The posthumous daughter: a novel. In two volumes. ...,,80,1,0,0,0,3,1,0,1,1,1,5,1,2,1,2,0,0,2,2,1,12,0,1,0,0,2,3,2,3,0,2,1,1,0,0,4,1,1,0,0,2,0,1,3,0,1,4,2,3,0,0,3,2,0,2,0,1797,1,2,"London : printed and published by G. Cawthorn, British Library, 132, Strand, 1797.",London,274,unknown,,,FALSE,"deny a truth. I trust that the reply to this note was proper for Sir James Saville's daughter to have written, expressive of your wish to avoid any secrets in which your family were not to bear a part: con - so far as to say, you certainly would not"
1215400501_000015,History of the Honourable Edward Mortimer. By a lady. ...,"Gwynn, Albinia",82,1,0,1,4,0,0,2,0,0,0,2,3,5,0,2,0,1,0,6,1,5,0,0,1,2,1,2,0,4,1,5,0,3,1,0,3,0,4,1,0,0,0,1,0,1,6,1,0,0,1,3,3,2,0,0,3,1785,1,2,"London : printed for C. Dilly, Poultry; G. Wilkie, ST. Paul's Church-Yard; and T. Hookham, Bond-Street, MDCCLXXXV. [1785].",London,179,female,,,FALSE,"had scarce seen my brother officers.  Lady Caftlecary repeated her in junosions not to fall in love with a girl without a shilling. The regiment was then in Scotland. My I 4 father father had prejudices .against the Scotch, which were both illiberal and unjust. I found them sensible,"
1023700300_000010,"Letters and conversations between several young ladies, on interesting and improving subjects. Translated from the Dutch of Madame de Cambon, with alterations and improvements.","Cambon, Madame de (Maria Geertruida van de Werken)",83,1,2,2,0,0,0,0,2,1,0,1,0,0,1,0,1,1,2,4,2,8,0,2,2,1,3,3,2,3,1,3,3,1,0,0,2,7,0,1,0,1,0,0,4,2,0,3,0,0,0,2,2,0,1,2,4,1793,1,1,"Dublin : printed for W. Jones. NO. 86, Dame-Street, 1793.",Dublin,357,female,,,FALSE,"obligation to duty. And asto my mother in law, since I must acknowledge her to be the wife of my father, I ought to re fpe& her as such."" I could not sufficiently commend the virtuous; Julia. Yet it is no small trial for oppressed innocence to bear; when a"
0720100101_000134,"The history of Sir Charles Grandison. In a series of letters published from the originals, by the editor of Pamela and Clarissa. In six volumes. To the Last of which is added, An Historical and Characteristical Index. As also, A Brief History, authenticated by Original Letters, of the Treatment which the Editor has met with from certain Booksellers and Printers in Dublin. Including Observations on Mr. Faulkner's Defence of Himself, published in his Irish News-Paper of Nov. 3. 1753. Vol. I.",Samuel Richardson,96,1,2,1,0,2,0,3,0,0,0,0,0,2,0,1,0,0,1,1,2,3,1,1,0,1,0,0,8,11,2,3,3,5,1,0,10,1,0,1,0,0,0,0,0,0,2,5,2,2,6,1,3,2,3,1,2,1753,1,6,"London : printed for S. Richardson; and sold by C. Hitch and L. Hawes, in Pater-Noster Row; by J. and J. Rivington, in St. Paul's Church-Yard; by Andrew Millar, in the Strand; by R. and J. Dodsley, in Pall-Mall; and by J. Leake, at Bath; And By R. Main, in Dublin, [1753]- M.DCC.LIV. [1754].",London,427,male,1689,1761,TRUE,"sharp lookout; and did I not say I would upon myself? Surely I said truth: Surely you will think so, when you see such little silly things as there do not escape me. But when you think me too trifling, my dear, don't expose me. Don't read it out in"
0019100302_000014,"Eugenius: or, anecdotes of the golden vale: an embellished narrative of real facts. ...",Richard Graves,99,1,3,1,0,0,0,0,2,3,2,1,0,0,1,1,0,0,5,0,2,6,0,2,1,2,1,0,3,8,1,2,1,1,1,0,13,3,0,1,0,0,0,1,2,0,8,2,0,0,3,1,2,2,3,1,6,1785,2,2,"London : printed for J. Dodsley, Pall-Mall, M.DCC.LXXXV. [1785].",London,195,male,1715,1804,FALSE,"and hew your lady the Golden Vale,"" continued lhe."" My lady !"" cries Sir Charles, "" if.i ever have a lady , it shall be one that has lived there ieven years in the Golden Vale."" ""Come, come, Sir Charles,"" replied Miss Hamilton, "" every one knows your connexion with"
0023900101_000022,"The liberal American. A novel, in a series of letters, By a lady. In two volumes. ...",Lady,85,2,1,2,0,4,0,3,0,1,0,1,0,1,4,2,1,1,3,1,4,7,1,2,0,4,1,0,3,2,1,0,2,2,0,0,7,0,2,1,0,0,3,0,0,1,5,1,1,0,3,0,2,2,0,1,0,1785,1,2,"London : printed for William Lane, Leadenhall-Street, M.DCC.LXXXV. [1785].",London,201,female,,,FALSE,"the makes a very rapid progress. I wish he may not be endeavouring to inftruet her in a more refined art,. for I often think their eyes very eloquent;, and you know , if it should be folie will not be the irft tutor who has felt the powerful effects"
0036400101_000006,"The way to lose him; or, the history of Miss Wyndham. By the author of The way to please him.",Author of The way to please him,79,0,2,0,0,1,1,0,0,1,1,1,0,2,1,2,1,0,1,1,1,9,0,1,1,2,0,0,0,2,0,0,0,5,2,1,4,2,0,2,0,2,1,2,0,0,6,2,1,0,4,1,1,3,5,3,1,1773,1,2,"London : printed for F. and J. Noble, at their respective circulating libraries, near Middle Row, Holborn, and Saint Mary's Court, near Leicester Square, MDCCLXXIII. [1773].",London,239,unknown,,,FALSE,"make an eligible wife, according to. the matrimonial.ideas of ..... Your sincere E. DEERHURSTO "",. ......... ........... ............ ..*. LETTER X Miss FANNY HUME to. Miss HUI me. F T ER having paid. my first duty to my dearest mother , my next is to my dear sister , .to"
0961501002_000009,Hermione: or the orphan sisters. A novel. In two volumes.,Charlotte Lennox,75,1,1,2,0,2,0,1,0,3,3,0,1,1,2,0,2,1,2,0,2,8,0,2,1,1,0,0,2,3,0,2,0,1,1,2,8,0,0,0,1,1,1,2,1,1,0,0,1,2,2,2,0,0,2,1,3,1791,2,2,"Dublin : printed by John Exshaw, 1791.",Dublin,308,female,1729,1804,TRUE,"I found some consolation, however, in observing that he seemed to give her his attention witn constraint, and that he often cart his eyes with anxiety around, as if but little intere'led in what he heard . During this interval Miss Farnford and another young lady detained me in an"
0265800901_000005,The favourite. A moral tale. Written by a lady of quality. In two volumes. ...,Lady of quality,79,2,1,1,0,1,2,0,3,1,0,0,0,4,1,1,0,0,0,1,1,11,0,0,0,0,1,2,1,3,1,2,0,0,3,0,7,5,0,2,1,1,0,1,2,0,5,3,0,0,2,2,0,1,1,1,2,1771,1,2,"London : printed for R. Baldwin, 1771.",London,211,female,,,FALSE,"h ns! Sir James, I should never have thought of your attempting to bring me acquainted with people who keep but one maid. retired indeed yes; I never knew any people retire, but those who are aihamed .to show their faces."" ""Indeed, ""Indeed, child,"" said Sir James, ""you are quite"
0127702900_000159,"The life of Pamela. Being a full and particular relation of the birth and advancement of that fortunate and beautiful young damsel, who, from the lowest Degree of Rural Life, came to be the Mistress of a most splendid House and Fortune, by her steady Adherence to the Principles of Virtue and Honour. Shewing The various Arts that were used to seduce and betray her; and in what Manner she triumph'd in her Innocence and Chastity: With what Decency and Propriety she supported the exalted Station to which she was raised; and with what exemplary Piety she finished a Life that was attended with so many hazardous Attacks upon her Constancy and Virtue. Illustrated with a great Number of Copper-Plates describing her in the different Stations of Life.",Samuel Richardson,95,1,2,0,0,0,1,17,0,0,1,1,0,5,0,0,1,0,0,1,3,11,0,0,2,1,2,0,2,5,1,0,0,4,1,1,5,0,0,1,0,1,1,3,0,1,2,4,0,1,7,1,1,0,1,0,3,1741,1,1,"London : printed for C. Whitefield, in White Fryers, MDCCXLI. [1741].",London,508,male,1689,1761,TRUE,"his younger Son, and cut off the eldelr with a bare Shilling: Within a Fortnight after this Will was made, which, it is very likely, he would have cancelled, when the Heat of his Resent: : was over, the old Man broke his Neck in a lvo; Chase. o0 :"
