PassageID,Title,Author,Total termFreq,termFreq(account),termFreq(allow),termFreq(annuiti),termFreq(appear),termFreq(appoint),termFreq(author),termFreq(bank),termFreq(book),termFreq(cafe),termFreq(capit),termFreq(carri),termFreq(cent),termFreq(charg),termFreq(charter),termFreq(clive),termFreq(committe),termFreq(compani),termFreq(council),termFreq(court),termFreq(debt),termFreq(duti),termFreq(east),termFreq(england),termFreq(follow),termFreq(form),termFreq(fund),termFreq(gener),termFreq(govern),termFreq(governor),termFreq(grant),termFreq(hall),termFreq(hous),termFreq(india),termFreq(king),termFreq(laid),termFreq(law),termFreq(letter),termFreq(manner),termFreq(mean),termFreq(monei),termFreq(nabob),termFreq(offic),termFreq(order),termFreq(paid),termFreq(parliament),termFreq(payment),termFreq(person),termFreq(pound),termFreq(power),termFreq(present),termFreq(properti),termFreq(public),termFreq(receiv),termFreq(sea),termFreq(servic),termFreq(sever),termFreq(ship),termFreq(south),termFreq(stock),termFreq(taken),termFreq(trade),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpts
1286001100_000086,"The historical register, containing an impartial relation of all transactions, ... Volume II. For the year 1717. ...",,97,1,2,2,0,1,1,2,0,0,4,0,0,3,0,0,2,10,0,2,6,3,0,1,1,0,5,3,1,3,1,1,5,0,1,1,0,1,2,2,0,0,0,1,2,4,3,0,0,0,9,0,1,0,2,1,3,0,1,2,0,1,1718,1,1,"London : printed, and sold by H. Meree [sic, for Meere], 1718.",London,509,unknown,,,FALSE,"s I d. 4 to be applyl'dtovards the Debt of the Navy, as it flood the 3ifi of .De. cember 1716 These Resolutions being, the next Day, reported, were agreed to by the House ; after which it was resolve to address his Majefiy to give Directions to the Commiliioner"
1211501000_000005,"The true and exact schemes of the South-Sea Company and the Bank of England, as propos'd to the Parliament, for the reducing of the national debts.",,119,1,1,8,0,0,0,7,0,3,5,1,1,1,0,0,3,10,0,3,3,3,0,5,1,0,6,3,0,8,1,4,2,0,0,0,0,0,0,2,0,0,0,4,1,1,0,0,8,2,2,0,2,0,2,0,4,0,1,8,2,0,1721,1,1,"London : printed for W. Castle, near the Royal-Exchange, MDCCXXI. [1721].",London,31,unknown,,,FALSE,"00, 1 is at te rate of half percent. which amounts to 4oo000 1 per Ann. VIII It is Proposed, That the said Governor and Company may have an Increase of a proportionable Allowance for Charges and Management. IX It is Proposed, That the said new Additional Stock , as"
1019700200_000073,"An account of the constitution and present state of Great Britain, together with a view of its trade, policy, and interest, respecting other nations, & of the (principal Curiosities Of Great Britain and Ireland adorn'd with Cuts.",,104,1,0,4,0,1,0,15,1,0,5,1,3,1,1,0,10,10,0,2,1,2,0,2,0,0,0,1,5,2,1,1,1,0,3,0,3,0,0,0,5,0,1,1,1,3,1,2,0,2,0,0,0,1,0,0,2,1,0,4,0,3,1770,1,1,"London : printed for Newbery and Carnan, No. 65 the North side of St Pauls Church Yard, [1770?].",London,300,unknown,,,FALSE,"chairman, and deputy chairman, who may be re eleaed for four years succes,, The chairman has a salary of 200 I. a year, and each of the directors 15o0. The meetings or courts of directors, are to be held atleaft once a week; but are commonly oftener, being summoned as"
1203100112_000505,"The statutes at large, from Magna Charta, to the twenty-fifth year of the reign of King George the Third, inclusive. With a copious index, and appendix, consisting of obsolete and curious acts, some of which were never before printed. By Owen Ruffhead, Esq. A new edition, in ten volumes, revised, corrected, and continued, by Charles Runnington, Esq. Barrister at Law.",Owen Ruffhead,117,5,3,3,0,1,1,11,1,2,4,1,0,0,0,0,0,11,0,2,1,0,0,5,1,2,3,0,0,5,0,9,1,0,0,5,3,0,1,1,4,0,0,0,8,5,3,1,1,0,0,2,2,0,1,1,0,0,0,6,0,1,1794,12,14,"London : printed by Charles Eyre and Andrew Strahan, printers to the king's most excellent majesty; and by William Woodfall and Andrew Strahan, law printers to the king's most excellent majesty, MDCCLXXXVI. [1786].",London,712,male,1723,1769,FALSE,"that the said Capital Stock of Annuities , or so much thereof as (hail then remain, shall be and be deemed the Property of the Public . CXVI And be it further enacted, That, from and after any Money shall be paid by the said United Company , to the"
0471500400_000129,"A compendious digest of the Statute Law, comprising the substance and effect of all the public acts of Parliament in force, from Magna Charta in the ninth year of King Henry III. to the twenty-seventh year of His present Majesty King George III. inclusive. By T. W. Williams, Barrister at Law.",Thomas Walter Williams,128,8,0,7,0,1,0,10,0,1,1,5,0,3,0,0,0,3,0,0,2,8,1,0,0,0,13,1,0,2,2,6,2,1,1,1,0,0,1,0,10,0,6,1,7,3,6,0,2,0,0,0,5,1,1,0,2,0,2,2,0,0,1787,1,1,"London : printed by his Majesty's law printers, for G. Kearsley, No. 46, Fleet-Street, M.DCC.LXXXVII. [1787].",London,689,male,1763,1833,FALSE,"of the capital stock of the bank , the south - sea , and Ealf India companies . By 9 Geo. i. C 5 the moneys arising by thefinking fund Thall be appropriated for discharging principal and interest of national debts . By 26 Geo. 3 C 31 25o, ooo000."
0414500200_000093,"Lex mercatoria: or, the merchant's companion. Containing all the laws and statutes relating to merchandize. Wherein Our Trade with Foreign Nations, and Trade in General amongst our selves, with what belongs to particular Companies, and all Maritime Affairs, in the Way of Traffick, are illustrated and concisely treated of; under the Heads of Merchants, and Owners of Ships, Masters, Mariners, Pilots, Freight, and Charter-Parties of Affreightment, Insurance, Bottomry, Customs, Wrecks, Factors, Planters and Plantations, Letters of Marque and Reprisal, Privateers, Piracy, Treaties of Commerce, Exchange, &c. With An Introduction, setting forth the Laws of Nature and of Nations, Dominion of the Sea, &c. Some curious and useful History, and Variety of Special Cases and Determinations interspers'd thro' the Whole. To which are added, in proper Places, The best adapted Precedents of Instruments and Writings made Use of in all Cases relating to Trade. The second edition corrected, with the addition of three entire new chapters. And also a merchant's dictionary, of Words and Terms, &c.",Giles Jacob,128,1,1,5,0,0,0,1,0,0,4,0,0,0,1,0,0,16,0,2,0,1,0,1,0,0,6,2,1,3,1,3,0,0,0,1,1,0,1,0,9,0,2,1,4,2,4,1,0,1,0,0,8,1,8,1,0,1,5,19,4,5,1729,1,1,"[London] : In the Savoy: printed by E. and R. Nutt, and R. Gosling, (assigns of Edward Sayer, Esq;) for B. Motte at the Middle Temple Gate, J. Clarke under the Royal Exchange, J. Lacy at the Ship, T. Wotton at the Queen's Head and three Daggers and J. Shuckburgh in Fleet-Street, 1729.",London,426,male,1686,1744,FALSE,"the Corn pany to make Laws for the better Government of the Trade to the South seas : And there shall be no Embargo on any of the Company's Ships , unless particularly named. The Stat. Anaii, C 19 enacts, That the Treasurers of the Navy and Ordnance, and the"
0172500402_000042,"A general treatise of naval trade and commerce, as founded on the laws and statutes of this realm. ...",,137,3,1,10,0,1,0,9,3,0,11,0,0,5,1,0,0,27,0,0,1,1,1,2,1,0,3,1,0,0,0,2,0,3,1,1,0,0,0,0,3,0,0,0,2,3,2,1,0,2,0,1,2,0,10,0,3,0,8,11,1,0,1738,2,2,"[London] : In the Savoy: printed by E. and R. Nutt, and R. Gosling (assigns of Edw. Sayer, Esq;) for E. Symon; and J. Crokatt, 1738-39.",London,497,unknown,,,FALSE,"the said Shares and Annuities stall be free and clear of and from the Payment of any Part of the 4, X 6, 3o61. si d. c. to be paid by the South - sea Company into the Exchequer for the Use of the Public ; and from all Debts"
1229900100_000759,"Journals of the House of Commons. From November the 26th, 1782, In the Twenty-Third Year of the Reign of King George the Third, to March the 24th, 1784, In the Twenty-Fourth Year of the Reign of King George the Third.",Great Britain. Parliament. House of Commons,127,8,0,16,1,1,0,4,0,0,4,1,0,0,0,0,0,9,0,0,1,1,1,2,0,0,1,0,7,1,1,0,0,1,0,0,0,0,0,1,2,0,9,0,3,0,6,2,3,2,2,1,10,1,9,1,0,0,8,6,0,1,1785,1,1,"[London] : Printed [by Henry Hughs] by order of the House of Commons, [1785?].",London,1088,unknown,,,FALSE,"simple in its. Nature, and guarded in its Execution, is not, as appears to us, operi to Abuse; nor the Public Money issued for this Service liable to Misapplication; we are of Opinion, that the Public derives no Benefit whatever fi-om the Examination of the Bank and South Sea Annuities"
0084700107_000026,"A new collection of voyages, discoveries and travels: containing whatever is worthy of notice, in Europe, Asia, Africa and America: In Respect to The Situation and Extent of Empires, Kingdoms, and Provinces; their Climates, Soil, Produce, &c. with The Manners and Customs of the several Inhabitants; their Government, Religion, Arts, Sciences, Manufactures, and Commerce. The whole consisting of such English and foreign authors as are in most esteem; including the Discriptions and Remarks of some late celebrated Travellers, not to be found in any other Collection. Illustrated with a variety of accurate maps, plans, an elegant engravings. In seven volumes. ...",,121,2,2,3,1,0,0,5,0,2,2,4,0,0,0,0,0,22,0,4,3,0,2,0,1,1,1,4,4,6,1,0,0,2,0,0,0,0,1,3,9,0,2,1,2,2,1,0,0,1,0,0,1,4,6,0,0,0,7,3,0,6,1767,7,7,"London : printed for J. Knox, near Southampton-Street, in the Strand, MDCCLXVII. [1767].",London,474,unknown,,,FALSE,"obligation to do at the end of the year. By this means the bank obtains all the purposes of keeping a million of money by them; and though the subscribers, if no call is made upon them (which is in general the cafe ) receive 6 - percent. for the"
0041301700_000042,"The englishman's manual: containing a general view of the constitution, laws, government, revenue, Ecclesiastical, Civil, Military, and Naval Establishments of England. Designed as an introduction to the knowledge of those important studies. By J. Price.","Price, John, of Worcester",110,1,0,0,1,2,1,5,0,0,4,1,0,0,10,0,0,19,0,0,2,0,2,3,1,0,2,1,11,1,3,1,0,3,2,0,4,1,0,0,1,0,3,0,2,2,1,1,0,2,2,1,1,0,2,1,1,0,2,0,0,7,1797,1,1,"London : printed for G. Sael, No. 192, Strand, 1797.",London,251,unknown,,,FALSE,"of the commerce of his subjects. The powers he is invested with by law on this head have been already seen; it now remains to see how he executes them. To protect the privileges of the nation and its commerce in foreign parts, he appoints a number of consuls to"
1212600301_000002,"The merchant's lawyer: or, the law of trade in general. ... To which is added a complete book of rates. The second edition corrected, with additions, ... by T. Cunningham, ...",Timothy Cunningham,142,0,2,26,0,0,0,8,1,0,9,0,0,2,0,0,0,15,0,2,2,2,1,1,0,0,3,1,2,4,0,0,0,4,0,0,0,1,1,0,4,0,2,0,5,0,3,1,0,0,0,0,1,1,13,0,2,1,10,4,1,7,1768,1,2,"London : printed for Robinson and Roberts, 1768.",London,531,male,,1789,FALSE,"company referred to Lord Godolphin  13 Penalty for procuring commissions from foreign princes for fafr India trade , and further regulations for securing an exclusive right thereto 14 They may lend money on bottomry ib. What sums the company may borrow under their feal ib. They shall not discount"
0445800400_000040,"The annals of King George, year the fifth. Containing not only the affairs of Great-Britain, but also the most important transactions of Europe, Both Civil and Ecclesiastical. With The Remarkable Occurrences during that Time. Digested into a Method more Convenient and Useful than heretofore. To be continued Annually.",,120,1,3,6,0,0,0,2,0,1,12,1,0,2,0,0,1,13,0,1,8,0,0,2,2,0,2,1,1,2,0,1,7,0,1,0,0,0,0,0,0,0,0,2,0,4,2,1,3,0,3,0,10,0,5,1,2,0,5,5,5,2,1720,1,1,"London : printed for A. Bell at the Bible and Cross Keys in Cornhil; W. Taylor at the Ship in Pater Noster Row; and J. Osborn at the Oxford Arms in Lombard Street, 1720.",London,347,unknown,,,FALSE,"then, and in such Cafe , a proportionable Part of the said Stock Shall be annihilated. By Order of the General Court of the Go vernor nd Comnpany of the Ban. .an. 27th, of England . 7t19. David Le Gros, Secretary. On the 8thl of j.tani av, many more Petitions"
0703500102_000037,"A general treatise of naval trade and commerce, as founded on the laws, and statutes of this realm, in which those relating to his Majesty's Customs, ... &c. are particularly considered ... The second edition, with many considerable additions, and a new preface. In two volumes. ...",,118,1,0,4,0,1,0,0,1,3,2,2,0,2,4,0,0,18,0,2,4,3,0,1,0,0,4,6,0,1,3,1,0,2,0,2,1,0,1,0,7,0,0,0,3,1,3,6,0,0,1,0,0,1,1,0,2,1,0,8,0,15,1753,2,2,"[London] : In the Savoy: printed by Henry Lintot; for J. Brotherton, J. Walthoe, S. Birt, C. Osborn, [and 9 others in London], 1753.",London,513,unknown,,,FALSE,"les than 2000l. subscribed in their own Right. And after the Charter is passed, the yearly Sum of x6o, ooo/. arising by the Duties on Salt imported, and made in Great Britain, and on ftamp'd Paper, c. granted by this A, Shall be paid to the general Society, or their"
1278900101_000001,"The merchant's lawyer: or, the law of trade in general. viz. of The East-India Company, The Bank of England, The South-Sea Company, And Annuities; The Law relative to Bankrupts, Including the Statutes and Cases determined thereon; An Abridgment of All the Statutes concerning Money and Coinage; The Law of Awards, with all necessary Precedents; The Statutes and an Abridgment of all the Cases determined relative to Bills of Exchange, Promissory Notes, Bank Notes, and Insurances; The Law of Owners and Masters of Ships, Principals and Factors; and An Abridgment of the Statutes relative to the Customs. To which is added a complete book of rates. By a gentleman of the Middle Temple. In two volumes. ...",Timothy Cunningham,138,0,1,16,0,0,0,1,2,2,11,0,0,3,3,0,0,18,0,1,2,2,2,1,0,1,2,2,6,2,3,1,0,3,0,0,4,0,0,0,3,0,0,0,5,0,1,1,0,0,0,0,1,0,11,0,0,3,12,1,1,10,1761,1,2,"London : printed for G. Kearsly, at the Golden-Lion in Ludgate-Street, MDCCLXI. [1761].",London,526,male,,1789,FALSE,"THE MERCHANT's LAWYER: 0 R, The Law of Trade in General . V I Z. OF The eaf indiacompany, I The south seacompany, The Bank of England , And Annuities ; The Law relative to Bankrupts, Including the Statutes and Cafes determined thereon; An ABRIDGMENT of All the Statutes concerning"
0839100100_000041,"The statutes at large, from the twenty-sixth year of the reign of King George the third, to the twenty-ninth year of the reign of King George the third, inclusive. To which is prefixed, A table of the titles of all the Publick and Private Statutes during that Time. With a copious index. Being an eleventh volume to Mr. Runnington's edition, and a fifteenth to Mr. Ruffhead's.",Great Britain,134,6,0,13,0,2,3,6,2,1,1,0,0,8,0,0,0,7,0,0,3,5,0,5,1,0,2,0,0,6,12,10,0,0,3,3,2,0,4,0,7,0,3,0,4,0,1,0,0,0,0,0,2,2,1,3,1,0,1,2,0,2,1789,1,1,"London : printed by Charles Eyre and Andrew Strahan, Printers to the King's Most Excellent Majesty; and by Andrew Strahan and William Woodfall, Law Printers to the King's Most Excellent Majesty, MDCCLXXXIX. [1789].",London,711,unknown,,,FALSE,"any Year computed .s a: orci.id, eithcl' fr tle I ayment of the p.s.'! q, ritlviy, S: i: m or twos hlndii: d and fifty thoulf nd Poutlids due at t the r od of such Qiaer, or of ay Part thereof, or' fr, i n: ali; k: ggood !such"
1093300200_000161,"A new geographical, historical, and commercial grammar: and present state of the several Kingdoms of the World. Containing I. The Figures, Motions, and Distances of the Planets, according to the latest Observations. II. A general View of the Earth considered as a Planet; with several useful Geographical Definitions and Problems. III. The grand Divisions of the Globe into Land and Water, Continents and Islands. IV. The Situation and Extent of Empires, Kingdoms, States, Provinces, and Colonies. V. Their Climate, Air, Soil, vegetable Productions, Metals, Minerals, Curiosities, Seas, Rivers, &c. VI. The Birds and Beasts peculiar to each Country. Vii. Observations on the Changes that have been any where observed upon the Face of Nature, since the most early Periods of History. Viii. The History and Origin of Nations; their Forms of Government, Religion, Laws, Revenues, and Taxes. IX. The Genius, Manners, Customs, and Habits of the People. X. Their Language, Learning, Arts, Sciences, Manufactures, and Commerce. XI. The chief Cities, Structures, Ruins, and artificial Curiosities. XII. The Longitude, Latitude Bearings, and Distances of principal Places from London. To which are added, I. A geographical index, with the names of Places alphabetically arranged. II. A Table of the Coins of all Nations, and their Value in English Money. III. A Chronological Table of remarkable Events from the Creation to the present Time. By William Guthrie, Esq. To Which Have Been Added The late Discoveries of Dr. Herschell, and other eminent Astronomers. Illustrated with a correct set of maps.",William Guthrie,110,2,2,2,1,0,0,8,0,2,1,3,1,0,0,0,0,19,0,3,2,0,1,0,1,1,1,3,4,6,1,0,0,2,0,0,0,0,1,3,10,0,2,1,2,2,1,1,0,0,0,0,1,5,3,0,0,0,4,3,0,5,1799,1,1,"Montrose : printed for Da. Buchanan, & Jas. Morison, sold by them, J. Fairbairn, A. Constable, Edinburgh; W. Coke, Leith; J. Gillies, & J. Duncan, Glasgow and the booksellers of Dundee, Aberdeen, &c, M,DCC,XCIX. [1799].",Montrose,1120,male,1708,1770,FALSE,"method which they chose, and which fully answers their end, was as follows : They opened a subscription, which they renew annually, for a million of money ; wherein the subscribers advance o percent. and enter into a contracto pay the remainder, or any part thereof, whenever the Bank Ihalfcall"
