PassageID,Title,Author,Total termFreq,termFreq(accord),termFreq(account),termFreq(appear),termFreq(author),termFreq(believ),termFreq(book),termFreq(build),termFreq(carri),termFreq(christ),termFreq(church),termFreq(death),termFreq(earth),termFreq(end),termFreq(faith),termFreq(father),termFreq(feet),termFreq(follow),termFreq(foot),termFreq(form),termFreq(gener),termFreq(glori),termFreq(god),termFreq(grace),termFreq(half),termFreq(hall),termFreq(hand),termFreq(heart),termFreq(holi),termFreq(hous),termFreq(kind),termFreq(king),termFreq(know),termFreq(labour),termFreq(laid),termFreq(law),termFreq(life),termFreq(littl),termFreq(live),termFreq(love),termFreq(manner),termFreq(mean),termFreq(natur),termFreq(neat),termFreq(nothig),termFreq(observ),termFreq(order),termFreq(peopl),termFreq(person),termFreq(piec),termFreq(power),termFreq(reason),termFreq(receiv),termFreq(set),termFreq(sever),termFreq(spirit),termFreq(think),termFreq(water),termFreq(word),termFreq(work),termFreq(world),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpts
1561201200_000004,"Prayer to the Lord of the harvest for the mission of labourers into his harvest. A sermon preached in the Old South Meeting-House in Boston, August 9. 1727. At the ordination of the Reverend Ebenezer Pemberton M.A. Pastor of the Presbyterian Church in the city of New-York. By Benjamin Colman. [Two lines from Corinthians].",Daniel Henchman,84,1,0,0,0,3,0,0,1,5,9,4,4,2,2,0,1,0,0,1,4,0,6,0,0,1,1,0,3,0,0,0,1,8,0,1,1,1,3,2,1,0,1,0,0,0,0,2,1,0,1,2,0,1,0,2,1,1,2,2,2,1727,1,1,"Boston, N.E. : Printed by Gamaliel Rogers in Long-Lane, for Daniel Henchman over-against the Old Brick Meeting-House in Cornhill, 1727.",Boston,22,male,1689,1761,FALSE,"thy will be done on earth as it is in heaven. That it may be so Christ has instituted his Ministry in his church ; & therefore do we owe it to Him to pray for his sending forth ministers. Again, the prayer looks to the fulfilling of the whole"
1124500300_000080,"A journal of the life of Thomas Story: containing, an account of his remarkable convincement of, and embracing the principles of truth, as held by the people called Quakers; And also, of his Travels and Labours in the Service of the Gospel: With many other Occurrences and Observations.",Thomas Story,81,0,1,0,0,2,0,1,0,6,3,1,3,1,2,2,0,0,0,0,3,3,6,1,1,2,1,0,2,0,0,0,0,3,0,5,2,0,0,1,1,0,3,0,0,1,0,1,1,0,8,0,2,1,0,4,1,0,0,1,5,1747,1,1,"Newcastle upon Tyne : printed by Isaac Thompson and Company, at the New Printing-Office on the Side, MDCCXLVII. [1747].",Newcastle upon Tyne,782,male,1662,1742,FALSE,"God , through ejus Christ , our Lord: And further adds, there is therefore now no Condemnation to them which are in Christ yefus, who walk not after the leah, but after the Spirit ; for the Law of the Spirit of Life in Chrijit efus, hath made me free"
0814800400_000003,"The coal-Heaver's confession; intended as a supplement to ""the rule and the riddle.""",William Huntington,112,0,0,0,2,12,0,2,1,5,3,2,1,0,1,0,1,0,2,1,0,0,11,0,0,0,0,2,2,2,0,0,0,1,1,16,13,0,1,4,0,1,0,0,0,0,1,1,0,0,4,0,0,3,1,7,0,0,1,4,3,1788,1,1,"London : printed by T. Chapman, Nevil's Court: sold by G. Terry, Paternoster-Row ; J. Chalmers, No. 210, White-Cross-Street, near Moor fields ; J. Davidson, No. 7, Postern-Row, Tower-Hill ; Mr. Baker, No. 226, Oxford-Street ; Mrs. Hawes, No. 15, Charles-Street Middlesex Hospital ; at Monkwell-Street chapel every Tuesday evening ; at Providence Chapel, Titchfield-Street ; by Mr. Mantle, Lewes, Sussex; Mr. Fenley, Broad Mead, Bristol; and by Mr. Chalmers, Portsmouth Common, MDCCLXXXVIII. [1788].",London,27,male,1745,1813,FALSE,"by Belial, an idolator by Moloch; the word influenza implies all these; yea, it reaches to everything which influences the bodies or souls of men, whether in heaven, earth , or hell, for they are all under some influence. The saints are under the law of the spirit of life"
0719100100_000075,"An account of the life and travels in the work of the ministry, of John Fothergill. To which are added, divers epistles to Friends in Great Britain and America, on various occasions.",John Fothergill,64,1,1,1,1,1,0,1,0,2,2,0,2,2,2,2,0,2,0,0,1,2,2,0,0,0,0,2,4,0,0,0,2,2,1,0,4,1,4,3,0,1,0,0,0,0,1,2,1,0,0,1,1,0,2,1,2,1,0,2,1,1773,1,1,"London : printed and sold by Mary Hinde, at No 2, in George-Yard, Lombard-Street, 1773.",London,371,male,1676,1744,FALSE,"which have hurt many inwardly, if not fain and laid waste Multitudes. % But oh! to humble, clean and enlivened Hearts , the fresh feeling of the Life of Truth revives Faith under Difficulties and Discouragements, and gives both Beauty, Authority · and Room, and never fails to render People"
0631900900_000027,"The bishop of London's third pastoral letter to the people of his diocese; particularly, to those of the two great cities of London and Westminster. Occasion'd by the suggestions of infidels against the writings of the New Testament, consider'd as a divine rule of faith and manners.",Church of England. Diocese of London. Bishop (1723-1748 : Gibson),94,2,0,0,0,3,0,1,1,10,4,3,3,2,8,1,0,0,0,0,1,1,7,1,0,0,1,0,4,0,1,0,0,0,2,1,4,0,3,1,0,0,3,0,0,0,3,2,0,0,2,0,2,0,4,6,1,0,0,3,3,1731,1,1,"London : printed by Sam. Buckley in Amen-Corner, [1731].",London,91,male,,,FALSE,"Sacrifice, Ministry, and Laws of Christ , beyond those of the Mofaical Dispensation: The Efficacy of the Death of Christ and of the whole Gospel Dispensation, for obtaining Pardon of Sin, Reconciliation to God , and Eternal Life : The Union of the divine and human Nature in Christ :"
0508600200_000011,"A clear and comprehensive view of the Gospel ministry, calculated for the use, improvement and edification of the Christian world in general, and young ministers in particular; carefully taken from the Sacred Scriptures of the Old and New Testament, And humbly recommended to the candid and attentive Perusal of all the Churches and Ministers of Christ of every Denomination. By the late Revd. John Eades, Minister of the Gospel.","Eades, John, Revd",88,2,1,0,0,1,0,2,1,8,5,0,1,1,1,2,0,1,0,0,0,3,7,0,0,0,1,4,4,1,1,0,2,1,0,0,0,0,1,5,0,3,1,0,0,1,0,1,0,0,2,1,0,0,0,10,1,2,5,3,2,1787,1,1,"London : printed for and sold by V. Eades, No. 1, Helmet-Row, St. Luke's, Old-Street, M.DCC.LXXXVII. [1787].",London,448,unknown,,,FALSE,"by my Spirit , saith the LORD of Hoffs."" Not only the outward revelation of the Word , as already' shown, but the inward revelation of it upon the heart , is expressly ascribed to the HOLY SPIRIT ; Ezek. XXXVI 25 -- 38 -- "" Now we have received.not"
0844901200_000003,An essay towards making the knowledge of religion easy to the meanest capacity. Being a short and plain account of the doctrines and rules of Christianity. By his Grace Edward Lord Archbishop of Tuam.,Edward Synge,106,1,1,4,1,2,0,0,0,6,5,3,0,1,3,2,0,0,0,0,0,1,12,1,0,0,1,1,14,0,0,2,1,0,0,2,3,0,2,0,1,2,3,0,0,0,3,4,3,0,2,3,1,0,1,4,1,0,1,4,4,1734,1,1,"London : printed for R. Williamson, near Gray's-Inn Gate in Holborn, [1734].",London,35,male,1659,1741,FALSE,"for Sinners. This is the and wretched Condition which all Mankind by Nature are in, ever since the Sin of our first Parents. But notwithstanding that Man had thus brought himself into this evil State; yet God in his infinite Mercy would not presently forsake, or wholly cast him off:"
1018900600_000027,"The bishop of London's Third pastoral letter to the people of his diocese; particularly, to those of the two great cities of London and Westminster. Occasion'd by the suggestions of infidels against the writings of the New Testament, consider'd as a divine rule of faith and manners.",Edmund Gibson,102,2,0,0,0,3,0,1,0,13,4,3,3,4,9,1,0,1,0,0,2,1,7,1,0,0,1,0,5,0,1,0,0,0,1,5,1,0,3,1,0,0,4,0,0,0,3,1,0,0,2,0,2,0,2,6,1,0,0,3,5,1731,1,1,"London : printed by Sam. Buckley in Amen-Corner, [1731].",London,91,male,1669,1748,FALSE,"Dispensation, whether it be further Explanations of what is more generally delivered in the Gospels and aets of the Apostles, or Additions to them; it is what they were empowered by Christ and enabled by the Holy Ghost to deliver to the World , and so became a Rule of"
0815800200_000080,"A brief account of the gracious dealings of God, with a poor, sinful, unworthy creature, in three parts. Relating to Part I. The Work of Divine Grace on the Heart, in a Saving Conversion to Christ, and to some Establishment in Him. Part II. A Train of Special Providences attending Life, by which the Work of Faith was carried on with Power. Part III. Some particular Experiences of the Lord's Goodness in bringing out several little Tracts, to the Furtherance and Joy of Faith. With an appendix. And a letter prefixed, on the lawfulness of a woman's appearing in print. By A.D.",Anne Dutton,87,1,2,2,0,2,4,0,1,7,2,2,1,0,1,0,0,0,0,0,0,4,8,4,0,1,0,4,0,0,2,0,0,3,1,1,1,5,1,3,1,0,0,0,0,0,1,3,2,3,1,0,2,1,0,0,0,0,4,6,0,1750,1,1,"London : printed by J. Hart in Popping's-Court, Fleet-Street. and sold by J. Lewis, in Pater-Noster-Row, near Cheapside, 1750.",London,428,female,1692,1765,FALSE,"barren amongst them, Song VI 6 Here our dear Lord, the Bridegroom of the Church , commends the beautiful, useful Teeth of his Spouse. By which her llini Jters, clothed with his Beauty and Strength, which prepare her Food, for their Usefulness and Profitableness to the Church , may be"
0081100105_000223,"An exposition of the New Testament, both doctrinal and practical: in which is Inserted I. A correct Copy of the Sacred Text, and the Genuine Sense thereof given; II. The Truths of the Christian Religion are set in a plain and clear Light; III. Difficult Places explained; IV. Seeming Contradictions reconciled; and V. Whatever is Material in the Various Readings, and the several Oriental Versions, is Observed. The whole Illustrated and Confirmed from the most Ancient Jewish Writings. By John Gill, D.D. ...",John Gill,97,0,1,0,1,1,0,4,0,9,4,0,1,0,1,0,0,0,0,0,0,2,13,5,0,0,1,0,4,2,1,1,1,0,2,2,9,0,7,2,1,1,3,0,0,0,0,3,1,0,1,0,1,3,0,3,0,0,1,4,1,1774,5,5,"London : printed for George Keith, in Gracechurch-Street, MDCCLXXIV. [1774]-76.",London,694,male,1697,1771,FALSE,"the riches of his t as the Melliah and stone of Israel, refused him as grace : and whereas, such as have truly tailed of a foundation flone, and left him out of the build his grace , cannot but desire to have more, and ing; and laid another foundation,"
1379700101_000159,"Meditations upon various and important subjects; and short players annexed. With a preface by the Reverend Mr. Hervey, author of Meditations among the tombs, &c. &c. To which is now added, Submission to the righteousness of God. Or, The necessity of trusting to a better righteousness than our own, opened and defended, in a plain, practical discourse on the epistle to the Romans, chap. x. ver. 3. In two volumes. By Benjamin Jenks, late rector of Harley in Shropshire, and chaplain to the Right Honourable the Earl of Bradford.",Benjamin Jenks,69,0,0,0,0,1,0,1,1,3,1,0,0,2,2,0,0,1,1,0,0,2,7,4,0,0,3,5,2,0,0,0,5,1,1,0,4,0,2,5,1,1,0,0,1,0,0,0,0,0,1,0,1,3,0,0,1,1,1,3,1,1793,1,2,"London : Printed for J. Matthews, Strand; T. Vernor, Birchin-Lane; and Ogilvy & Speare, Holborn, M.DCC.XCIII. [1793].",London,479,male,1646,1724,FALSE,"he wvill give his theep eternal life , and they thall never perish, nor any pluck them out of his hands ; that when I am so mutable, and prone to fall away, and spoil myself, his love , which is an everlasting love , will not lose me so,"
1018801200_000027,"The bishop of London's third pastoral letter to the people of his diocese; Particularly, to those of the two great Cities of London and Westminster. Occasion'd by the suggestions of infidels against the writings of the New Testament, consider'd as a divine rule of faith and manners.",Church of England. Diocese of London. Bishop (1723-1748 : Gibson),99,2,0,0,0,3,0,1,0,13,4,3,3,4,8,1,0,1,0,0,2,1,7,1,0,0,1,0,5,0,1,0,0,0,1,5,1,0,3,1,0,0,4,0,0,0,3,1,0,0,2,0,2,0,1,6,1,0,0,3,4,1731,1,1,"London : printed by Sam. Buckley in Amen-Corner, [1731].",London,92,male,,,FALSE,"c. were enabled and empowered to add all such p. 120 things as were necejfary to fill up and complete the Chritian Doirine. Whatever therefore we find in the Writings of the Apostles that concerns the Doctrine and ceconomy of the Christian Dispensation, whether it be further Explanations of what"
0056201700_000011,"An answer to fools; and a word to the wise. Addressed to the Reverend Maria de Fleury, John Ryland, and co. By William Huntington, S.S. Minister of the Gospel, at Providence Chapel; at Monkwell Street Meeting; and at Horsleydown.",William Huntington,114,0,2,3,0,5,1,0,1,10,3,0,1,1,12,0,2,2,0,0,0,3,15,2,0,0,0,8,6,0,0,0,4,0,0,4,4,2,2,6,0,1,0,0,0,0,0,1,0,0,2,0,1,0,0,4,0,1,2,1,2,1792,1,1,"London : printed for G. Terry, Bookseller, No 54, Paternoster Row ; J. Davidson, No 7, Postern Row, Tower Hill ; J. Baker, No 226, Oxford Street ; and T. James, No 53, Tooley Street, Southwark. Sold, also, at Providence Chapel; at Monkwell-Street Meeting, every Tuesday Evening ; and at Horsleydown, every Thursday Evening, MDCCXCII. [1792].",London,102,male,1745,1813,FALSE,"morning. Under the Mosaic dirpenfation, her appearance is compared to the fairness of the moon. Under the Gospel, the church is declared to be clear as the fun, having risen under the beams of the Sun of Righteousness, above that moon light dispensation; on which account the is represented as"
0746000800_000005,"The substance of a sermon, preached at Baltimore, in the state of Maryland, before the general conference of the Methodist Episcopal Church, on the 27th of December, 1784, at the ordination of the Rev. Francis Asbury, to the Office of a Superintendent. By Thomas Coke, L. L. D. Superintendent of the said Church. Published at the Desire of the Conference.",Thomas Coke,78,0,0,0,0,1,0,1,0,2,4,1,1,1,2,0,4,1,0,0,0,2,12,4,0,0,1,3,1,1,0,2,2,2,0,0,0,1,3,3,1,1,1,0,0,1,0,2,1,0,2,0,0,1,0,5,0,2,0,1,5,1785,1,1,"London : printed by J. Paramore, for T. Scollick, Bookseller, in the City-Road, and sold by all other booksellers in town and country, 1785.",London,20,male,1747,1814,FALSE,"demands the separation of a rotten member, however rich, however honourable, however powerful , he clothes hiinfclf with the dignity of his office, and executes the Will of GOD . 7 iiis ( 9) 7 His Zeat. In this he is eminent indeed. For though it is softened and corrected"
0391400600_000040,"Lectures on the art of reading. In two parts. Containing Part I. The art of reading prose. Part II. The art of reading verse. By Thomas Sheridan, A. M. Author of Lectures on Elocution, British Education, &c.",Thomas Sheridan,99,2,0,0,2,2,0,0,0,7,2,1,1,1,3,6,0,3,0,0,0,1,14,3,0,0,1,2,9,0,1,5,3,0,1,1,6,2,4,1,1,1,0,0,0,0,0,1,1,0,1,1,4,1,0,0,0,0,2,1,1,1781,1,1,"London : printed for C. Dilly, in the Poultry; J. Dodsley, Pall-Mall; and T. Evans, in the Strand, MDCCLXXXI. [1781].",London,413,male,1719,1788,TRUE,"of the Virgin Mary' and was made man"" and was crucified also for us under Pontius Pilate"" He suffered' and was buried' and the third day he rbfe again' according to the scriptures' and ascended into Heaven"" and sitteth on the right hand of the Father ""' And He shall"
1183600101_000127,"Historical collections the fourth and last part. In two volumes. ... Containing the principal matters which happened from the Beginning of the Year 1645, to the Death of King Charles the First 1648. Wherein is a Particular Account of the Progress of the Civil War to that Period, impartially related. Setting forth only Matter of Fact in Order of Time, without Observation or Reflection. By John Rushworth, late of Lincolns-Inn, Esq; Fitted for the Press in his Life-Time.",John Rushworth,103,4,1,3,0,2,0,1,0,4,2,5,1,0,6,1,0,0,0,0,0,0,18,3,0,8,1,0,4,2,0,0,1,0,0,0,4,0,2,2,1,0,1,0,0,0,1,3,6,0,3,0,3,0,2,2,0,0,2,2,2,1701,1,2,"London : printed for Richard Chiswell and Thomas Cockerill, at the Rose and Crown in St. Paul's Church-Yard, and at the Three Legs and Bible against Grocer's Hall in the Poultry, 1701.",London,627,male,1612,1690,FALSE,"God ion: oa sol in calling them to this great and difficult work of reforming and puris; cr meat ging his Church and People , his guidance and manifest protetion of them in it, do acknowledge that never any of his Servants since the foundation of the World , had"
0888700201_000085,"The Christian's magazine, or Gospel repository. ... Revd. T. Priestly, editor. ...","Priestley, T. (Timothy)",103,0,0,1,0,1,0,0,0,12,2,2,0,2,3,3,1,0,0,1,0,1,13,5,0,0,2,4,4,1,0,2,1,1,1,1,2,0,1,10,1,0,3,0,0,0,0,8,1,0,3,0,2,1,0,2,0,0,0,1,4,1790,1,3,"London [England] : printed and sold by T. Chapman. Sold also by J.S. Jordan, [1790-1792].",London,534,male,1734,1814,FALSE,"like considerations, may the Lord alarm your fears, challenge your love , and draw forth all the powers of your souls and from these considerations, and many others which their minds suggest, may the Saints be learning to live more like themselves, and less like the woold; for since such"
