PassageID,Title,Author,Total termFreq,termFreq(adam),termFreq(believ),termFreq(blood),termFreq(bodi),termFreq(christ),termFreq(church),termFreq(command),termFreq(commit),termFreq(confid),termFreq(corrupt),termFreq(death),termFreq(devil),termFreq(etern),termFreq(evil),termFreq(faith),termFreq(fall),termFreq(father),termFreq(forgiv),termFreq(god),termFreq(grace),termFreq(guilt),termFreq(guilti),termFreq(hand),termFreq(heart),termFreq(heaven),termFreq(hell),termFreq(holi),termFreq(know),termFreq(law),termFreq(life),termFreq(live),termFreq(love),termFreq(mean),termFreq(merci),termFreq(mind),termFreq(natur),termFreq(obedi),termFreq(offer),termFreq(pardon),termFreq(person),termFreq(power),termFreq(reason),termFreq(repent),termFreq(sacrif),termFreq(salvat),termFreq(save),termFreq(saviour),termFreq(scriptur),termFreq(sens),termFreq(sin),termFreq(sinner),termFreq(soul),termFreq(spirit),termFreq(state),termFreq(think),termFreq(true),termFreq(wick),termFreq(word),termFreq(work),termFreq(world),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpts
0264800800_000004,"An earnest address to his parishioners, by a minister of the Church of England, concerning the necessity, nature, means, and marks of true faith in Christ Jesus. Design'd principally for the poor.",,121,0,6,1,2,2,0,0,1,1,0,2,1,1,2,21,1,2,1,9,0,0,0,1,6,1,0,2,2,1,2,4,4,1,3,1,1,2,0,0,1,1,0,2,1,1,1,2,2,0,6,4,2,1,0,0,4,0,1,6,2,1754,1,1,"London : printed for W. Faden in Wine Office-Court, Fleet-Street, 1754.",London,28,unknown,,,FALSE,"your Belief will be of very little Consequence, and sand your Soul but in poor Stead. You can say your Creed; (though it is to be feared, I speak now to many who are not able to do even that, which yet I trust, they will make haste to learn"
0808500200_000081,"The afflicted man's companion: or, a directory for families and persons afflicted with sickness or any other distress. With directions to the Sick, both Under and After their Affliction. Also to the Friends of the Sick, and others who visit them; And likewise to All, how to prepare both for Sickness and Death, and how to be exercised at the Time of Dying. With a collection of the Dying Words of many Choice and Eminent Saints. Necessary for Families. By the Reverend Mr. John Willison, Minister of the Gospel at Dundee.",John Willison,108,1,6,1,1,6,0,1,0,2,1,3,0,2,0,3,1,1,1,13,1,2,1,1,2,3,0,3,0,3,3,3,2,0,1,0,1,0,1,3,4,0,0,2,0,2,1,1,0,0,6,6,2,0,2,1,0,0,2,2,4,1744,1,1,"Belfast : printed by and for Samuel Wilson and James Magee, M,DCC,XLIV. [1744].",Belfast,286,male,1680,1750,FALSE,"is a great Mercy to a Sinner , when God by his Rod gives him Warning and Space to repent , and flee to theblood of Sprinkling, and to cry to God for Pardons and doth not fiatch him out of the World by a sudden Death . Upon which"
0479700200_000092,"A new manual of devotions. In three parts. Part I. Containing prayers for families and private persons. Part II. Containing offices. I. Of Humiliation. II. For the Sick. III. For Women with Child. Part III. Consisting of an Office for the Holy Communion: To which are added some Occasional Prayers. The fifteenth edition, corrected.",,97,0,1,1,3,0,0,0,0,1,1,3,2,5,1,1,0,1,2,4,3,1,0,0,3,2,3,3,0,0,3,1,1,1,8,0,1,1,0,3,0,0,0,5,0,2,1,1,0,0,8,4,4,1,2,1,1,2,0,0,5,1771,1,1,"London : printed for W. Ginger, J. Beecroft, J. Hinton, J. and F. Rivington, L. Hawes and W. Clarke and R. Collins, W. Johnston, S. Crowder, T. Caslon, T. Longman, B. Law, E. Johnson, W. Nicoll, and R. Baldwin, M.DCC.LXXI. [1771].",London,522,unknown,,,FALSE,"of Sin , and plunged in, a Moment into those dreadful Torments, whicjh were preparedfor the Devil and his Angels, and are appointed for ungodly Men in the invisible World . Cause the to admire this divine Goodenefs, and to mourn that they have so helnouty abused it. May they"
0126501900_000049,"Evangelical discourses on several subjects. To which is added, An essay on the powers and contests of flesh and spirit. By Isaac Watts, D.D.",Isaac Watts,129,0,1,0,0,5,0,1,4,2,1,2,0,2,0,5,0,2,0,8,3,1,2,1,2,4,0,6,2,0,3,1,2,1,0,0,8,1,0,3,3,4,0,1,0,4,6,2,0,6,12,3,9,0,1,0,1,0,2,2,0,1747,1,1,"London : printed for J. Oswald, at the Rose and Crown near the Mansion-House; and J. Buckland, at the Buck in Pater-Noster Row, M.DCC.XLVII. [1747].",London,358,male,1674,1748,TRUE,"feeble Faith , but the divine Oratory of holy Confidence , Joy, and Triumph; yet the Nature of saving Faith is so fully comprised, and so plainly expressed in it, that I have often thought I know not any one single Verse in the whole Bible, that gives us so"
0585000400_000003,"A seasonable antidote against religious delusion: being an affectionate address to the members of the Church of England, on their being carried about with every wind of doctrine; ...",William Mason,115,0,1,0,1,2,5,0,1,2,3,2,0,1,3,2,2,0,1,9,0,1,2,0,4,1,1,4,1,2,3,3,0,0,1,0,6,1,0,0,0,1,0,7,0,1,1,2,1,1,10,4,4,2,1,0,7,0,1,5,2,1763,1,1,"London : printed and sold by M. Lewis; and J. Johnson, 1763.",London,24,male,1719,1791,TRUE,"spring. And the Holy Ghol, by St. P sures us, Without Holines, no Man hall see the lieb. XII 14 Indeed, inward Holiness of Heart , as well a ward Obedience of Life , is inculcated by the and is the Effect of TRUE Christianity taking P that Soul ,"
1557800300_000005,"The ungodly condemned in judgment. A sermon preached at Springfield, December 13th 1770. On occasion of the execution of William Shaw, for murder. By Moses Baldwin, A.M. Pastor of the church in Palmer.","Adams, Seth",118,0,2,4,0,7,0,0,1,2,0,0,0,3,2,4,3,0,1,17,3,3,4,1,3,0,1,2,1,3,2,0,4,0,3,0,4,0,1,1,0,0,0,5,0,1,2,3,0,1,9,4,2,0,2,0,2,0,0,3,2,1771,1,1,"Boston : Printed and sold by Kneeland and Adams, next to the treasurer's office in Milk-Street, MDCCLXXI. [1771].",Boston,24,male,1740,1782,FALSE,"my transgressions, and my sin is ever before "" me."" With penitential brokennefs, .and sub mifflion to God , say, "" Against thee, and thee only, "" have I sinned , and done this evil in thy sight : "" That thou nmighteft be juffified when thou "" fpeakeft, and."
0634401300_000009,"Wicked Christians practical atheists: or, free thoughts of a plain man on the doctrines and duties of religion in general, and of Christianity in particular; compared and contrasted with the faith and practice of protestants of every denomination; so far as either have com under the observation or to the Knowledge of the author, Anthony Fothergill, A Husbandman in the County of Westmorland. With a supplement; wherein Some Arguments are further illustrated, especially those relating to the Depravation of human Nature, and the Punishment of Adam's Sin upon his Posterity.",Anthony Fothergill,117,0,4,0,0,2,0,3,1,1,0,0,2,0,1,10,1,2,0,7,0,1,1,0,2,2,1,1,0,1,5,4,4,1,4,1,3,2,1,3,1,2,0,10,0,1,4,1,0,2,10,0,1,1,0,1,2,1,4,1,4,1755,1,1,"London : printed for J. Payne, at Pope's Head in Pater-Noster Row, M.DCC.LV. [1755].",London,303,male,1685,1761,FALSE,"we shall exercise ourselves continually in the most ardent returns of love for his prevailing intercession with his father and our father , in order to the acceptance of our persons and services, and to reinstate us in his favour; we fiall then, from a grateful sense of his unparalleled"
0437700200_000062,"Sermons on various divine subjects; viz. I. Salvation by grace. II. The Spirit, the Sanctitifier and Comforter of the Redeemed. III. The Doubts of dejected Christians answered. IV. The Robe of Righteousness. V. On Elijah's Translation. VI. The tempted Saviour. Vii. The tempted Believer. Viii. All Things working together for the Good of Believers. IX. The Thief on the Cross. X. The Strength of Christ's Love to weak Believers. XI. The Sanctified Rod. XII. The suffering Jesus; or, A View of Christ in his dying Love. XIII. On Christ's Transfiguration. XIV. Persevering Grace. XV. A Door of Hope opened for the greatest Sinners. XVI. God the Christian's Refuge in the greatest Afflictions. XVII. On the Conversion of the Apostle Paul. XVIII. Balaam's Request. XIX. The Support of aged Christians. XX. The sin and mischief of bad company. By John Farmer, M.A.","Farmer, John, M.A.",133,0,1,1,2,6,0,0,0,0,1,7,0,3,0,4,0,0,0,12,5,4,0,0,2,4,1,4,0,0,1,4,0,0,3,0,1,0,0,6,6,1,2,5,0,2,4,1,2,1,10,9,7,2,2,0,2,2,0,0,3,1744,1,1,"London : printed for John Oswald, at the Rose and Crown in the Poultry, near the Mansion-House, M.DCC.XLIV. [1744].",London,428,unknown,,,FALSE,"hbo' late Repentance is el(iom TRUE , yct TRUE Repentance is nev: r too late. All Sinners , whether young or old, who believe in in Christ , and repent of their Iniquities, thall he pardoned , and at Death be admitted into the Kingdom of Heaven . Have any"
0963200200_000003,"The poor man's help, and young man's guide: containing I. Doctrinal instructions for the right Informing of his Judgment. II. Practical directions for the General Course of his Life. III. Particular advices for the Well-Managing of every Day. With Reference to his, I. Natural Actions. II. Civil Imployments. III. Necessary Recreations. IV. Religious Duties. Unto which is added principles of religion; useful to be Known, Believed, and Practised, by such as desire to receive the Holy Communion with Benefit and Comfort; with Forms of prayer for Families, and single Persons: also, divine hymns on several Occasions. By W. Burkitt, M. A. of Pembrook-Hall in Cambridge, late Vicar of Dedham in Essex.",William Burkitt,132,3,2,1,4,10,1,0,0,0,1,3,1,4,1,3,3,2,0,20,1,0,0,1,0,6,2,3,2,1,3,1,1,3,2,0,8,2,1,0,2,3,1,1,0,5,4,2,0,0,10,2,1,0,3,0,1,0,0,0,1,1712,1,1,"London : printed for J. Laurence at the Angel in the Poultry; J. Nickolson at the King's Arms; J. and B. Sprint at the Bell in Little Britain; and N. Clift and D. Jackson at the Bible and Three Crowns in Cheap-Side, near Mercer's, Chapel, 1712.",London,202,male,1650,1703,FALSE,"Being; and doth likewise govern and dispose of all Things to his own Glory: Nehem. 9 V 6 Thou art Lord alone who hast made the Heavens , and the Heaven of Heavens , with all their Host, the Earth and all Things that are therein, and thou prefervejf them"
1278400100_000092,A new manual of devotions. In Three parts. Part I. Containing prayers for families and private persons. Part II. Containing offices. I. Of Humiliation. II. For the Sick. III. For Women with Child. Part III. Consisting of an office for the holy communion: to which are added some occasional prayers.,,95,0,1,1,3,1,0,0,0,2,1,3,1,2,2,1,0,1,2,5,3,1,0,0,3,1,2,2,0,1,3,2,0,0,7,1,0,0,0,3,0,0,0,7,0,1,2,1,0,1,9,3,4,1,2,1,2,2,0,0,4,1751,1,1,"London : printed for S. Birt; T. Longman; C. Hitch and L. Hawes; E. Wicksteed; B. Barker; and B. Dod, M.DCC.LI. [1751].",London,525,unknown,,,FALSE,"there poor Creatures, whose Sins have brought them to Shame, and their Transgression of thine and their Country's Laws has produced the Sentence of Death to be passed upon them. Righteous art thou in all thy Ways, and just are all thy Judgements; who hast appointed that Shame and Punishment"
0532100400_000035,"Four sermons, preached in London at the third general meeting of the Missionary society, May 10, 11, 12, 1797, by Rev. W. Moorhouse, Huddersfield, Rev. A. Waugh, London, Rev. I. Nicholson, Cheshunt, and Rev. M. Horne, Olney. To which are prefixed, the proceedings of the meeting, and the report of the directors. by order of the directors. Published for the Benefit of the Society.","Missionary Society (London, England)",126,0,2,4,0,6,0,0,0,1,1,1,1,5,1,4,0,5,0,15,3,2,0,1,3,5,2,6,4,1,4,2,9,0,5,2,1,1,1,4,0,2,0,0,0,3,0,4,0,0,4,2,1,4,0,0,1,0,0,2,1,1797,1,1,"London : sold by T. Chapman, Fleet Street, 1797.",London,155,unknown,,,FALSE,"salvation . I would obviate all thy objections. I know thy sins are without number, and all thy crimes of a crimion dye. Upon thine own testimony I will believe that thy guilt is uncommon among the children of disobedience. But thy Father who is in heaven is such a"
0329600600_000003,"The poor man's help, and young man's guide: containing I. Doctrinal instructions for the Right Informing of his Judgment. II. Practical directions for the General Course of his Life. III. Particular advices for the Well-Managing of every Day. With Reference to his I. Natural Actions. II. Civil Imployments. III. Necessary Recreations. IV. Religious Duties. Unto which is added principles of religion, useful to be Known, Believed and Practised, by such as desire to receive the Holy Communion with Benefit and Comfort; with Forms of prayer for Families, and single Persons: also Divine hymns on several Occasions. By W. Burkitt,",William Burkitt,133,1,2,0,4,12,1,0,0,0,1,4,1,6,1,3,3,2,0,17,2,0,0,2,1,3,2,2,1,0,4,2,1,3,1,0,7,1,0,1,2,2,1,2,0,5,3,2,0,0,14,2,1,1,3,0,2,0,1,0,1,1715,1,1,"London : printed for J. Laurence at the Angel in the Poultry; J. Nicholson at the King's Arms; J. and B. Sprint at the Bell in Little Britain; and; S. Clift at the Bible and Three Crowns in Cheap-Side, near Mercer's-Chapel; and D. Jackson, 1715.",London,190,male,1650,1703,FALSE,"State , yet in a mutable Condition, and under Possibility of falling , being tempted by Satan, and left to the Freedom of hisown Will, did actually fall from his Estate of Innocence and Integrity, into a State of Sin and Misery; Gen. 3 6 And when the Woman fapn"
0444900500_000070,"The gospel-Mystery of sanctification, opened in sundry practical directions, Suited especially to the Case of those who labour under the Guilt and Power of Indwelling Sin. To which is added, a sermon on justification. By Mr Walter Marshall, Late Preacher of the Gospel.","Marshall, Walter",122,0,4,3,0,14,0,0,0,0,3,1,2,1,1,0,0,0,0,7,6,1,1,0,5,0,0,3,1,1,2,1,0,1,4,1,2,0,1,3,1,1,2,2,0,2,5,0,3,0,13,2,2,3,0,5,2,4,1,2,3,1784,1,1,"Glasgow : printed by Robert and Thomas Duncan, M,DCC,LXXXIV. [1784].",Glasgow,351,male,1628,1680,FALSE,"be they ever so strong. We find in scripture , that abominable wicked persons have been saved by him, idolaters, adulterers, effeminate, covetous, drunkards, extortioners, ci Cor. VI 9, to. such as C have sinned against the light of nature , as the heathens, and the light of scripture ,"
0448900302_000009,"Sixty-Four practical sermons by the late Reverend Mr. Daniel Wilcox, Preacher of the Gospel in Monks-Well-Street, London. Printed at the earnest Desire of the Congregation, and others that were his Occasional Hearers. To which are added, the confession of faith delivered at his ordination to the ministry; and a discourse on the duty of holding fast the form of sound words. In Three Volumes. ...","Wilcox, Daniel",97,0,2,3,1,4,0,1,0,1,1,4,0,4,1,1,1,1,0,8,2,3,0,2,2,5,2,1,1,0,3,2,1,1,2,0,2,0,1,1,1,1,0,2,0,3,0,4,0,0,5,3,5,2,3,0,0,0,0,1,3,1757,2,3,"London : printed for Edward Dilly, at the Rose and Crown, in the Poultry, near the Mansion-House, MDCCLVII. [1757].",London,436,male,,,FALSE,"make provision for death , judgement and eternity , it must be whilst this life lafis, it being no more to be restored. 2 Sinners that are removed unchanged, shall not again, in an after ftate, be favoured with the like means and advantages which they enjoyed here. Death transmits"
1284600102_000111,"Sermons on various subjects, divine and moral: with a sacred hymn suited to each subject. In two volumes. Design'd for the Use of Christian Families, as well as for the Hours of Devout Retirement. By I. Watts, D.D. ...",Isaac Watts,98,1,1,3,1,2,0,0,0,0,0,3,0,3,0,1,0,0,2,7,6,1,2,0,1,3,2,1,0,0,8,3,4,0,1,2,4,0,1,4,0,0,0,3,0,2,2,2,0,1,4,5,2,1,2,0,0,1,0,3,3,1734,2,2,"London : printed for E. Matthews, at the Bible in Pater-Noster-Row; R. Ford, at the Angel, and R. Hett, at the Bible and Crown, both in the Poultry, M.DCC.XXXIV. [1734].",London,508,male,1674,1748,TRUE,"lime that was given you for your Reconciliation to God , and securing your everlasting Interest, All the Elet of God are born into this World sinful and miserable, by their Relation to the firm Adam ; therefore St. Paul seems to include himself, as well as the Heathen Infidels,"
1603700800_000003,"The poor man's help, and young man's guide. Containing I. Doctrinal instructions for the right informing of his judgment. II. Practical directions for the general course of his life. III. Particular advice for the well managing of every day. With reference to his I. Natural actions. II. Civil employments. III. Necessary recreations. IV. Religious duties. Unto which is added, principles of religion, useful to be known, believ'd and practis'd, by such as desire to receive the Holy Communion with benefit and comfort. With forms of prayer for families and single persons. Also divine hymns on several occasions. By William Burkitt, M.A. of Pembroke-Hall in Cambridge, late vicar of Dedham in Essex.",William Burkitt,128,0,2,1,4,7,1,0,0,0,1,4,1,6,1,3,0,2,0,17,2,0,0,2,1,3,2,2,2,0,5,3,1,3,1,0,8,1,0,1,2,1,0,4,0,5,2,2,0,0,12,2,2,1,1,0,2,1,2,1,1,1736,1,1,"London : Printed for D. Midwinter, A. Bettesworth and C. Hitch, M. Downing, A. Ward, R. Ford, J. Clarke, R. Hett, and J. Oswald, 1736.",London,190,male,1650,1703,FALSE,"Nature is wholly corrupted with Original Sin , which is the Seed and Root of all other si ns, derived' upon us by Natural Generation, whereby we. are disabled to that which is spiritually Good, and inclined to that which is Evil and Sinful . gent. 4 And Adnam begat"
1148901002_000078,"Twenty discourses on the following important subjects, viz. I. The woman of Samaria. II. The first Principles of Christianity. III. The Sufferings and Satisfaction of Christ. IV. The Beetitudes. V. The Dasmoniac. VI. Dives and Lazarus. Vii. The hidden Treasure. Viii. The Offices of the Messiah. IX. The great Sacrifice. X. Lot's Flight. XI. Deliverance from Death. XII. The Privilege of Believers. XIII. The Patterns of Mercy. XIV. The Vision of dry Bones. XV. The Safety of a true Christian. XVI. The Assurance of Faith; or, the Experience of a true Christian. XVII. The linsey-woolsey Garment. XVIII. The Reproach of the Cross. XIX. The Widow of Nain. XX. The beatific vision; or, beholding Jesus crucified. By John Cennick. vol.II.",John Cennick,101,0,2,2,1,2,0,0,0,0,1,3,1,3,0,1,0,2,1,5,2,1,0,1,3,1,2,1,1,0,3,1,1,1,5,0,2,0,2,1,0,0,0,0,0,3,5,5,0,1,8,6,6,4,0,3,1,1,2,1,3,1762,2,2,"London : printed and sold by M. Lewis, in Paternoster-Row, near Cheapside, MDCCLXII. [1762] [1765?].",London,404,male,1718,1755,TRUE,"wants to be saved , but trembles at the Word of God , has many Fears about his Condition, che hears that God our Saviour came from Heaven , out of mere Pity and Compassion to save undone Souls , to help poor People, and to undertake for them and"
1190801700_000012,"The two great comprehensive dutys of Christianity, faith and repentance, briefly explain'd and urg'd, as seasonable, in these Times of Great Infidelity and Impenitency. By a lover of truth and godliness.","Farington, Richard, Sir",127,0,15,1,1,5,0,0,1,0,1,0,1,0,1,12,2,0,2,10,1,1,1,1,1,1,1,4,4,0,3,4,0,0,3,1,0,1,0,8,1,0,0,4,0,0,1,2,1,1,13,1,1,7,2,1,1,0,2,0,2,1708,1,1,"London : printed by R. Tookey, for J. Lawrence at the Angel in the Poultrey, 1708.",London,63,male,1650,1719,FALSE,"but a deceitful Thing, the Content therein being but imaginary, the Expecation of it nothing but Disappointment, and the Pieafure in the Fruition of it, always falling below the Expeta tion, and perishing in a Moment. 6 As to the Judgement day, and the dreadful Punishment in Hell which will"
