PassageID,Title,Author,Total termFreq,termFreq(asleep),termFreq(awak),termFreq(bed),termFreq(bodi),termFreq(brain),termFreq(consciou),termFreq(dai),termFreq(dream),termFreq(excit),termFreq(experi),termFreq(fanci),termFreq(idea),termFreq(imag),termFreq(imagin),termFreq(impress),termFreq(memori),termFreq(mind),termFreq(night),termFreq(percept),termFreq(phantasm),termFreq(real),termFreq(reason),termFreq(rise),termFreq(sens),termFreq(sleep),termFreq(soul),termFreq(state),termFreq(thought),termFreq(vision),termFreq(wake),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpts
1183400601_000082,An enquiry into the nature of the human soul; wherein the immateriality of the soul is evinced from the principles of reason and philosophy. ...,Andrew Baxter,80,2,5,0,1,0,0,1,5,0,3,0,6,1,0,3,7,5,1,3,0,1,2,0,0,9,8,4,6,1,6,1737,1,2,"London : printed [by James Bettenham] for the author: and sold by A. Millar over-against St. Clement's Church in the Strand, MDCCXXXVII. [1737].",London,439,male,1686,1750,FALSE,"last idea he hath in his mind when he falls asleep ; the most he can do here, is to recall the last idea he hath any memory of: but this doth not prove it the lafn. We have rather memory and experience of our sliding gradually from a state"
0262201201_000053,The contemplative philosopher: or short essays on the various objects of nature throughout the year; with poetical illustrations and moral reflections on each subject. In two volumes. ...,"Lobb, Richard",78,1,1,1,2,2,0,3,21,1,1,3,3,0,8,1,0,6,3,0,4,0,0,2,0,8,0,2,0,0,5,1800,1,2,"London : printed for G. G. and J. Robinson, F. and C. Rivington, W. Bent, Longman and Rees, and J. Mawman. 1800. M. Brown, printer, 1800.",London,354,unknown,,,FALSE,"is a death; oh! make me'try By sleeping what it is to die; And as gently lay my head In my grave as on my bed . However I reit, great God, let me Awake again, at least with thee; And thus affur'd, behold I lie Securely or to wake"
0161902500_000062,"Observations on the zoonomia of Erasmus Darwin, M.D. By Thomas Brown, Esq.","Brown, Thomas",89,0,2,0,4,0,3,2,7,7,0,0,9,0,4,3,1,12,2,7,0,0,2,0,2,10,0,6,2,1,3,1798,1,1,"Edinburgh : printed for Mundell & Son; for J. Mundell, Glasgow; J. Johnson, St. Paul's Church Yard, and J. Wright, Piccadilly, London, 1798.",Edinburgh,588,male,1778,1820,FALSE,"around the nerve. A fat is mentioned, "" which almost every one must at "" ome time or other have experienced; "" yet this, so general, has not undeceived Dr. Darwin. "" If we leep in the daylight, ""and endeavour to see some object in our "" dream , the"
0508100600_000110,An enquiry into the nature of the human soul; wherein the immateriality of the soul is evinced from the principles of reason and philosophy.,Andrew Baxter,55,2,3,0,1,1,2,1,1,0,3,2,0,0,0,4,1,2,1,2,0,3,2,0,0,5,14,0,1,2,2,1733,1,1,"London : printed by James Bettenham, for the author; and sold by G. Strahan, over-against the Royal-Exchange in Cornhil; J. Gray, at the Cross-Keys in the Poultry; A. Millar, at Buchanan's Head in the Strand; A. Lyon, in Russel-Street, Covent-Garden; O. Payne, in Round-Court, in the Strand; and G. Hamilton, opposite to the Parliament-Close, Edinburgh: at whose Shops Subscribers may call for their Books, [1733].",London,388,male,1686,1750,FALSE,"appearal; C I shall firrl endeavour to show that it is not produced by the soul itfe', however some may insinuate, rather than seem quite ignorant, that iti the sport of the sleeping fancy , the extravagance of imnagination, or j.c i: general thing, which hath no meaning, will not"
0539901100_000033,"Philosophical essays on various subjects; viz. Space, substance, body, spirit, the Operations of the Soul in Union with the Body, Innate Ideas, Perpetual Consciousness, Place and Motion of Spirits, the Departing Soul, the Resurrection of the Body, the Production and Operations of Plants and Animals. With some remarks on Mr. Locke's Essay on the human understanding. To which is subjoined A brief scheme of ontology, or the Science of Being in General, with its Affections. By Isaac Watts, D.D.",Isaac Watts,85,1,5,0,1,9,2,0,17,1,0,0,7,6,1,8,2,3,1,1,0,0,2,0,0,3,5,0,9,0,1,1793,1,1,"London : printed for J. Murgatroyd, Chiswel-Street; sold also by Guthrie, Elder, and Dixon, Edinburgh; Miller, Glasgow, Binns, Leeds: and all other Booksellers in Town and Country, MDCCXCIII. [1793].",London,425,male,1674,1748,TRUE,"the Soul's thinking in sleep , may be answered by an explication of what we mean by dreams , of which dreams the body by the animal spirits (whatever they be) is the occasion, and of which the Soul is conscious . Note, by animal spirits, I mean those subtle"
0586600200_000065,Dialogues concerning education. Vol. II.,David Fordyce,70,1,3,0,0,0,3,1,4,0,1,4,3,2,7,3,0,9,1,0,0,2,2,0,1,4,2,1,9,1,6,1748,1,1,"London : [s.n.], Printed in the Year M.DCC.XLVIII. [1748].",London,470,male,1711,1751,FALSE,"Mind by any immediate Aft of Volition, were to suppose that we already know theideas we havea Mind to recall, before we actually remember them. For my Part, I am conscious of no such efficacious and unaccountable Volition; yet, still, I take it upontruft, that it is I who remember,"
0283200802_000093,"Antient metaphysics: or, the science of universals. Containing a further examination of the principles of Sir Isaac Newton's astronomy. Volume second.","James Burnett, Lord Monboddo",89,5,7,0,2,0,0,0,20,0,2,0,0,0,1,0,2,4,0,4,6,3,9,0,7,15,0,0,0,1,1,1782,2,2,"London : printed for T. Cadell, in the Strand ; and J. Balfour and Co. Edinburgh, M,DCC,LXXXII. [1782].",London,495,male,1714,1799,FALSE,"seep; that is, at some time or another, they must have the use and exercise of one Sense at least *. Thus, one should think that Sleeping was sufficiently distinguished from Waking : But it is not o; for, as Arifotle has observed, there are temporary incapacities of perception by"
1016000601_000045,"An essay concerning human understanding. In four books. Written by John Locke, gent. ...",John Locke,93,1,1,0,12,1,5,2,6,0,1,0,3,1,1,1,4,1,1,3,0,0,3,0,0,12,21,1,8,0,4,1777,1,2,"Dublin : printed by and for H. Saunders, W. Sleater, D. Chamberlaine, and J. Potts, M,DCC,LXXVII. [1777].",Dublin,403,male,1632,1704,TRUE,"it has all this apart: The sleeping aching Man. Man, tis plain, is conscious of nothing of all are toper this. Let us suppose then the Soul of ca/for, fr,,, s whiles he is sleeping , retired from his Body ; which is no impossible Supposition for the Men I"
0508100600_000085,An enquiry into the nature of the human soul; wherein the immateriality of the soul is evinced from the principles of reason and philosophy.,Andrew Baxter,71,1,1,0,0,0,2,2,2,0,3,0,7,1,0,3,8,6,1,3,0,1,2,0,0,6,6,1,8,1,6,1733,1,1,"London : printed by James Bettenham, for the author; and sold by G. Strahan, over-against the Royal-Exchange in Cornhil; J. Gray, at the Cross-Keys in the Poultry; A. Millar, at Buchanan's Head in the Strand; A. Lyon, in Russel-Street, Covent-Garden; O. Payne, in Round-Court, in the Strand; and G. Hamilton, opposite to the Parliament-Close, Edinburgh: at whose Shops Subscribers may call for their Books, [1733].",London,388,male,1686,1750,FALSE,"minute about twelve a clock of the day , because now perhaps he hath no memory what particular thought he had at that minute. And it is no better argument, considered in itself, that a man was not conscious at such a minute, in his sleep , because next morning"
0029400900_000103,"First lines of physiology, by the celebrated Baron Albertus Haller, M.D. &c. Translated from the correct Latin edition printed under the inspection of William Cullen, M.D. To which is added, a translation of the laborious index composed for that edition.",Albrecht von Haller,80,1,2,0,3,9,1,0,4,5,1,1,8,2,3,3,6,18,0,6,0,1,1,0,1,0,0,0,4,0,0,1779,1,1,"Edinburgh : printed [by Macfarquhar and Elliot] for Charles Elliot, Parliament Square, M,DCC,LXXIX. [1779].",Edinburgh,538,male,1708,1777,FALSE,"are joined together: the body which we perceive; the affection of the organ of the sensory by that body ; the affection of the brain , arising from the percussion of that sensory; the change produced in the mind ; and, lastly, the mind's conscious . ness and perception of"
1075000400_000034,"Philosophical essays on various subjects, viz. Space, substance, body, spirit, the Operations of the Soul in Union with the Body, innate Ideas, perpetual Consciousness, Place and Motion of Spirits, the departing Soul, the Resurrection of the Body, the Production and Operations of Plants and Animals: with some remarks on Mr. Locke's Essay on the human understanding. To which is subjoined A brief scheme of ontology, or the Science of Being in general, with its Affections. By I. Watts, D.D.",Isaac Watts,92,5,6,0,8,5,1,0,12,0,0,0,5,4,0,1,0,5,1,1,0,0,4,0,1,7,10,1,9,0,6,1742,1,1,"London : printed for James Brackstone, at the Globe in Cornhill, MDCCXLII. [1742].",London,430,male,1674,1748,TRUE,"Mind , and so far confound one another, that before such diftemper'd Persons can give an Answer to any Question asked them, they have twenty other Images which confound the Ideas of that Quetion; and therefore the Answer is absurd and nothing to the Purpose: Now in this kind of"
0630401500_000138,"Theological dissertations, by Capel Berrow, A. M. Rector of Rossington, Nottinghamshire; Lecturer of St. Bennet's and St. Peter's, Paul's Wharf; and Chaplain to the Honourable Society of Judges and Serjeants, in Serjeants-Inn.",Capel Berrow,64,0,2,1,2,2,1,0,4,0,2,0,2,2,5,2,0,9,1,1,0,6,2,0,5,5,4,1,2,0,3,1772,1,1,"London : printed for J. Dodsley in Pall-Mall, M.DCC.LXXII. [1772].",London,427,male,1716,1782,FALSE,"and reposed in him with the utmost confidence. nor can he, in that situation,. be even faithful to. himself. In the sudden gusts of passion,. too naturally issuing from a distempered brain , stifled enmities, and lurking malevolences, all the inward emotions. of envy, hatred,. malice, and. a multitude of"
0865500102_000263,"Cyclopædia: or, an universal dictionary of arts and sciences. ... By E. Chambers, F.R.S. With the supplement and modern improvements, incorporated in one alphabet. By Abraham Rees, ... In four volumes. ...",Abraham Rees,77,0,0,0,5,2,0,2,22,2,2,0,5,1,8,0,0,2,1,0,2,0,1,2,1,5,5,2,2,2,3,1786,2,1,"London : printed for J. F. and C. Rivington, A. Hamilton, T. Payne and Son, W. Owen, B. White and Son [and 24 others in London], 1786-88.",London,615,male,1743,1825,FALSE,"hence neither can a dream arise without rome previous sensation. He observes farther, that though it be certain  priori, from the nature of the imagination , that dreams mull begin by some sensation, yet that it is not easy to confirm this by experience ; it being often difficult"
0323100101_000045,"An essay concerning human understanding. In four books. Written by John Locke, Gent. ...",John Locke,80,1,1,0,11,1,5,2,3,0,1,0,2,1,1,1,3,1,1,3,0,0,3,0,0,6,21,1,7,0,4,1760,1,2,"London : printed for D. Browne, C. Hitch and L. Hawes, J. Shuckburgh, A. Millar, J. Beecroft, J. Rivington, J. Whiston, S. Baker, T. Payne, J. Ward, R. Baldwin, W. Johnston, W. Owen, J. Richardson, S. Crowder, P. Davey and B. Law, T. Longman, L. Davis, E. Dilly, R. Withy, and M. Cooper, M.DCC.LX. [1760].",London,409,male,1632,1704,TRUE,"tis plain, is conscious of nothing of all are to Pcr this. Let us suppose then that the Soul of c/for, sins. whilst he is leeping, retired from his Body , which is no impossible Supposition for the Men I have here to do with, who so liberally allow Life"
1075000400_000035,"Philosophical essays on various subjects, viz. Space, substance, body, spirit, the Operations of the Soul in Union with the Body, innate Ideas, perpetual Consciousness, Place and Motion of Spirits, the departing Soul, the Resurrection of the Body, the Production and Operations of Plants and Animals: with some remarks on Mr. Locke's Essay on the human understanding. To which is subjoined A brief scheme of ontology, or the Science of Being in general, with its Affections. By I. Watts, D.D.",Isaac Watts,81,0,2,0,4,8,1,1,1,2,3,0,9,0,3,2,2,2,2,1,0,0,9,0,3,6,13,2,4,0,1,1742,1,1,"London : printed for James Brackstone, at the Globe in Cornhill, MDCCXLII. [1742].",London,430,male,1674,1748,TRUE,"and are for ever lost as soon as they are formed; yet this is not e fteem'd to reflect upon the Wisdom of our Creator, who (at least in this present State ) hath thus constituted us. Let a Man who has been awake seventeen Hours, or a whole Day"
0031801500_000034,"Philosophical essays on various subjects, viz. Space, substance, body, spirit, the Operations of the Soul in Union with the Body, Innate Ideas, perpetual Consciousness, Place and Motion of Spirits, the departing Soul, the Resurrection of the Body, the Production and Operations of Plants and Animals; with some remarks on Mr. Locke's Essay on the human understanding. To which is subjoined A brief scheme of ontology, or the Science of Being in general with its Affections. By I. W.",Isaac Watts,74,1,2,0,5,5,1,1,1,2,2,0,5,1,3,2,0,2,2,0,0,0,5,0,2,7,13,2,7,0,3,1733,1,1,"London : printed for Richard Ford at the Angel, and Richard Hett at the Bible and Crown in the Poultry., MDCCXXXIII. [1733].",London,418,male,1674,1748,TRUE,"III §. i6. Mr. Locke would insinuate that if the Soul thinks while the Body is asleep , and unaetive, those Thoughts should be more purely the Soul's own Operations, and consequently more rational. But it appears from what has been said that the sleeping Thoughts of a Man being"
0209600100_000032,"An essay on the materia medica. in which The Theories of the late Dr. Cullen are considered; together with Some Opinions of Mr. Hunter, and other celebrated Writers. By James Moore, Member of the Surgeons Company.",James Carrick Moore,71,2,8,0,1,4,0,1,3,3,0,1,7,0,5,3,0,5,1,0,0,5,0,0,4,13,0,1,0,2,2,1792,1,1,"London : printed for T. Cadell in the Strand, MDCCXCII. [1792].",London,347,male,1763,1834,FALSE,"to what is pasing through his head, even when awake , he will perceive a train of ideas very fmi lar to a dream . Ideal representations are however far less lively than real impressions . The colours, red, blue, or white, as fancied by the imagination , are fainter"
0658602401_000046,A philosophical essay on man. Being an attempt to investigate the principles and laws of the reciprocal influence of the soul on the body. ...,Jean-Paul Marat,61,0,2,1,0,0,0,0,3,0,1,2,6,5,2,3,8,4,1,0,1,3,1,1,4,1,9,0,1,2,0,1773,1,2,"London : printed for J. Ridley, in St. James's Street; and T. Payne, at the Mews Gate, MDCCLXXIII. [1773].",London,279,male,1743,1793,TRUE,"the, organ of sight, it successively takes all the modifications, representative of ob', , by which it has formerly been as"" "" I would willingly know on what they built this strange opinion. By what means are they assured that the fluid of the nerves communicates to the soul the"
0202100500_000052,"Essays on the progress of the vital principle from the vegetable to the animal kingdoms and the soul of man, introductory to contemplations on deity. By John Collier, ...","Collier, John, of High Wycombe",72,4,5,1,5,2,0,0,9,0,0,3,3,2,0,4,0,2,2,1,0,0,3,0,3,6,8,0,6,0,3,1800,1,1,"London : printed for the author, by T. Gillet ; and sold by Nathaniel Scarlett, 1800.",London,386,unknown,,,FALSE,"thus, as it were, eclipsed by sleep , the senses are no longer our inlets to thought ; for, silently sealing from the Body , the Soul has now entered the shadowy vale, and wildly sports her visionary ideas . Although monsters are often seen to jum * _- ""for"
0035300101_000045,"An essay concerning human understanding. In four books. Written by John Locke, Gent. ...",John Locke,84,2,1,0,12,1,5,1,5,0,0,0,3,1,1,1,4,1,1,5,0,0,2,0,0,7,21,0,6,0,4,1715,1,2,"London : printed for J. Churchill, at the Black-Swan in Pater-Noster-Row; and Samuel Manship, at the Ship in Cornhill, 1715-16.",London,405,male,1632,1704,TRUE,"be hard to know wherein to place personal Identity. §. 12 The Soul , during sound Sleep , thinks, say there Men. Whilst it thinks and perceives, it as lejiping is capable certainly of those of Delight or Trouble, MA in aswell as any other Perceptions ; and it mruf"
0399200701_000042,"The contemplation of nature. Translated from the French of C. Bonnet, of the Imperial Academies of Germany and Russia, The Royal Academies of England, Sweden, and Lyons, The Electoral Academy of Bavaria, Of that of the Institution of Bologna, Correspondent of the Royal Academy of Sciences, and of the Royal Societies of Montpellier and Gottingen. In Two Volumes. ...",Charles Bonnet,67,1,2,0,1,7,0,1,7,1,2,0,2,2,3,3,1,1,0,13,0,0,0,0,5,3,10,1,0,1,0,1766,1,2,"London : printed for T. Longman in Pater-Noster-Row; and T. Becket and P. A. de Hondt in the Strand, MDCCLXVI. [1766].",London,325,male,1720,1793,FALSE,"the soul , and perception is instantly precent to her. Experience proves, that if any series of perceptions whatever affects the brain for a certain time, it thereby contraets an habit of re producing it in the same order. It is likewise certain from experience , that this habit appertains"
0343700201_000046,"An essay concerning human understanding; with thoughts on the conduct of the understanding. By John Locke, Esq. Collated with Desmaizeaux's edition. To which is prefixed, the life of the author. In three volumes. ...",John Locke,74,1,1,0,6,1,4,2,6,0,0,0,2,1,1,2,6,1,1,1,0,0,3,0,0,6,16,1,8,0,4,1798,1,3,"Edinburgh : printed for Mundell & Son; and J. Mundell, College, Glasgow, 1798.",Edinburgh,322,male,1632,1704,TRUE,"body of another man, V g. Pollux, who is sleeping without a foul: For if Castor's soul can think, whilt .Castor is asleep , what Castor is never conscious of, it is no matter what place it chooses to think in. We have here then the bodies of two men"
0297300105_000335,"The works of the late reverend and learned Isaac Watts, D.D. published by himself, and now collected into six volumes. In which are also inserted the second part of the Improvement of the mind, An essay on education, and some additions to his Miscellaneous thoughts in prose and verse. Now first published from his manuscripts, and, the Direction of his Will, revised and corrected by D. Jennings, D.D. and the late P. Doddridge, D.D. ...",Isaac Watts,77,0,2,0,4,8,1,1,1,2,3,0,9,0,3,2,2,2,2,1,0,0,8,0,2,6,12,1,4,0,1,1753,5,6,"London : printed for T. and T. Longman at the Ship, and J. Buckland at the Buck, in Pater-Noster-Row; J. Oswald at the Rose and Crown in the Poultry; J. Waugh at the Turk's-Head in Lombard-Street; and J. Ward at the King's-Arms in Cornhill, MDCCLIII. [1753].",London,682,male,1674,1748,TRUE,"multitudes and millions which vanish and are for ever lull as soon as they are formed; yet this is not eleemced to reflrt upon the wifdoom of our creator, who, at leal in this prefient state , hath thus conflitutcd us. Let a man who has been awake seventeen hours,"
1120900100_000035,"Philosophical essays on various subjects, viz. space, substance, body, spirit, the Operations of the Soul in Union with the Body, innate Ideas, perpetual Consciousness, Place and Motion of Spirits, the departing Soul, the Resurrection of the Body, the Production and Operations of Plants and Animals: with some remarks on Mr. Locke's Essay on the human understanding. To which is subjoined a brief scheme of ontology, or the Science of Being in general, with its Affections. By I. Watts, D.D.",Isaac Watts,70,0,2,0,4,6,1,1,1,2,3,0,7,0,3,2,2,2,2,1,0,0,6,0,2,5,10,2,5,0,1,1755,1,1,"London : printed for T. Longman and J. Buckland, J. Oswald, J. Waugh, and J. Ward, [1755?].",London,421,male,1674,1748,TRUE,"tis no Inconvenience to us, nor Dishonour to our Nature, that we are so made, as to forget such roving and irregular Exercises so easily and so foot. IV Another Objection of Mr. Locke's is this; §. i5. that tis not agreeable to the Wisdom of our Creator to make"
0211200404_000011,"The philosophical dictionary: or, the opinions of modern philosophers on metaphysical, moral, and political subjects. In Four Volumes. ...","Swediauer, F. (Franz)",78,2,0,0,8,1,6,2,1,0,1,0,3,1,1,2,4,1,1,4,0,0,3,0,0,7,17,0,8,0,5,1786,4,4,"London : printed for G. G. J. and J. Robinson; and for C. Elliot, Edinburgh, M,DCC,LXXXVI. [1786].",London,388,male,1748,1824,FALSE,"two persons; since waking Socrates has no knowledge of, or concernment for, that happiness or misery of his soul which it enjoys alone by itself whilst he sleeps , without perceiving anything of it, no more than he has for the happiness or misery of a man in the Indies"
0336400301_000045,"An essay concerning human understanding. In four books. Written by John Locke, Gent. ...",John Locke,87,1,0,0,11,1,4,2,6,0,1,0,3,1,1,2,4,1,1,3,0,0,3,0,0,9,20,1,8,0,4,1748,1,2,"London : printed for S. Birt, D. Browne, C. Hitch, J. Hodges, J. Oswald, J. Shuckburgh, A. Millar, J. Beecroft, J. Ward, M. Cooper, and the Executors of H. Pemberton, MDCCXLVIII. [1748].",London,406,male,1632,1704,TRUE,"with, who so liberally allow Life without a thinking Soul to all other Animals. These Men cannot then judge it impossible, or a Contradiacion, That the Body should live without the Soul ; nor that the Soul should subsist and think, or have Perception , even Perception of Happiness or"
0741200200_000059,"An essay on the nature and immutability of truth, in opposition to sophistry and scepticism. By James Beattie. LL. D. Professor of Moral Philosophy and Logic in the Marischal College and University of Aberdeen.",James Beattie,79,2,9,0,3,0,2,1,18,0,1,1,3,0,0,0,3,1,0,6,0,4,6,0,3,4,0,1,4,0,7,1773,1,1,"London : printed for Edward and Charles Dilly, in the Poultry; and A. Kincaid and W. Creech, Edinburgh, MDCCLXXIII. [1773].",London,518,male,1735,1803,FALSE,"that if this be allowed a sufficient ground for suspecting, that our waking perceptions are equally delusive, there is at once an end of all truth, reasoning , and common- sense . That I am at present awake , and not asleep , I certainly know; but I cannot prove"
1564800201_000045,"An essay concerning human understanding. In four books. Written by John Locke, gent.",John Locke,80,1,0,0,7,1,4,2,6,0,1,0,3,1,1,2,5,1,1,1,0,0,3,0,0,8,18,1,8,0,5,1741,1,2,"London : Printed for John Beecroft, at the Bible and Crown, over-against the New Church in Lombard-Street, MDCCXLI. [1741].",London,405,male,1632,1704,TRUE,"who is sleeping without a Soul : For if Cafor's Soul can think whilit .caf/or is asleep , what Castor is never conscious of, tis no matter what Place it chooses to think in. We have here then, the Bodies of two Men with only one Soul between them, which"
