PassageID,Title,Author,Total termFreq,termFreq(appear),termFreq(arm),termFreq(bed),termFreq(birth),termFreq(blood),termFreq(bodi),termFreq(born),termFreq(bring),termFreq(brought),termFreq(cafe),termFreq(care),termFreq(caus),termFreq(child),termFreq(children),termFreq(continu),termFreq(dead),termFreq(death),termFreq(deliv),termFreq(deliveri),termFreq(father),termFreq(feet),termFreq(follow),termFreq(forc),termFreq(gener),termFreq(god),termFreq(hand),termFreq(happen),termFreq(head),termFreq(hous),termFreq(infant),termFreq(know),termFreq(labour),termFreq(ladi),termFreq(left),termFreq(life),termFreq(littl),termFreq(live),termFreq(mean),termFreq(month),termFreq(mother),termFreq(natur),termFreq(observ),termFreq(open),termFreq(oper),termFreq(order),termFreq(pain),termFreq(parent),termFreq(person),termFreq(present),termFreq(reason),termFreq(taken),termFreq(turn),termFreq(uteru),termFreq(water),termFreq(wife),termFreq(woman),termFreq(womb),termFreq(women),termFreq(young),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpts
0824600300_000333,"Culpeper's English physician; and complete herbal. To which are now first added, upwards of one hundred additional herbs, with a display of their medicinal and occult properties, physically applied to the cure of all disorders incident to mankind. To which are annexed, rules for compounding medicine according to the True System of Nature: forming a complete family dispensatory, And Natural System of Physic. Beautified and enriched with engravings of upwards of four hundred and fifty different plants, And a Set of Anatomical Figures. Illustrated With Notes And Observations, Critical And Explanatory. By E. Sibly, Fellow of the Harmonic Philosophical Society at Paris; and Author of the Complete Illustration of Astrology.",Nicholas Culpeper,91,1,0,2,3,3,0,1,0,1,5,2,0,4,1,1,0,0,3,3,0,3,2,1,4,0,4,1,0,0,5,1,2,0,2,0,0,0,1,0,4,1,0,1,0,2,2,0,0,0,0,3,0,7,4,0,4,6,1,0,1789,1,1,"London : printed for the proprietors, and sold by Green and Co. 176, Strand, MDCCLXXXIX. [1789].",London,783,male,1616,1654,FALSE,"by the feet . When the placenta pretnts itffelf, which it known by its spongy, fdft, texture, and the great quantity of blood flowing at the same time, it requiresfpeedy aflifance. If the membranes are entire, they should be broke; the placenta and membranes fiould be reduced into the uterus"
0257500300_000121,"Culpeper's English physician; and complete herbal. To which are now first added, upwards of one hundred additional herbs, with a display of their medicinal and occult properties, ... Forming a complete family dispensatory, ... Beautified and enriched with engravings ... Th medical part. By E. Sibly, ...",Nicholas Culpeper,111,5,0,1,4,3,1,1,0,2,4,0,0,8,0,1,2,0,2,2,0,7,2,1,3,0,6,0,5,0,11,0,2,0,2,1,0,0,0,0,3,2,0,1,0,3,2,0,0,3,0,1,3,6,1,0,6,4,0,0,1795,1,1,"London : printed for the author, and sold at the British Directory-Office; and by Champante and Whitrow, [1795?].",London,264,male,1616,1654,FALSE,"if the nose be towards the os pubis, it Should be turned towards the coccyx, to prevent an obstacle. Then, the orifice muss be dilated with the fingers, and the woman's throws hold aflit the midwife's efforts to educe the child . If the chin is embarrassed, the midwife must"
0353200302_000071,"Synopsis medicin?: or, a summary view of the whole practice of physick. Being the sentiments of the most celebrated authors in all ages, relating to diseases, their causes and cures. With most cases in surgery and midwifery. To which are added, Some Observations very Rare and Uncommon; and a curious Treatise on all Sorts of Poisons. In two volumes. ... . By John Allen, M. D. and F.R.S. Translated by himself, from the last edition of his Latin Synopsis, with very large improvements.","Allen, John",106,0,0,0,12,4,1,0,4,1,4,3,1,5,2,1,4,4,0,5,0,3,1,0,1,0,5,1,3,0,2,1,4,0,1,0,1,2,1,0,0,1,1,2,0,0,6,0,0,1,0,0,0,4,2,0,1,6,5,0,1749,2,2,"London : printed for W. Innys, W. Meadows, R. Manby and H. S. Cox, and the assigns of J. Pemberton, MDCCXLIX. [1749].",London,402,male,1660,1741,FALSE,"a diffcult Labour must be expelled. If the after birth does not soon follow the Fotus, but adheres still to the Bottom of the vwomb, the Womb is presently so contraced, that unless some clotted Blood remains behind, and the After birth be ex traaed in very few Hours, it"
0758900400_000315,"Culpeper's English physician; and complete herbal. To which are now first added, upwards of one hundred additional herbs, with a Display of their Medicinal and Occult Properties, Physically Applied to The Cure of all Disorders incident to Mankind. To which are Annexed, Rules for Compounding Medicine according to the True System of Nature: Forming a complete family dispensatory, and natural system of physic. Beautified and enriched with engravings of upwards of Four Hundred and Fifty different Plants, And a Set of Anatomical Figures. Illustrated with notes and observations, Critical and Explanatory. By E. Sibly, M. D. Fellow of the Harmonic Philosophical Society at Paris; and Author of the Complete Illustration of Astrology.",Nicholas Culpeper,88,1,0,1,3,2,0,1,0,1,5,2,0,3,1,1,0,0,3,4,0,2,2,1,4,0,4,1,0,0,5,1,2,0,2,0,0,0,1,0,4,1,0,1,0,2,2,0,0,0,0,3,0,6,4,0,5,6,1,0,1794,1,1,"London : printed for the author, and sold at the British Directory Office, Ave-Maria-Lane; and by Champante and Whitrow, Jewry-Street, Aldgate, [1794?].",London,711,male,1616,1654,FALSE,"the feet ; which is more easily performed in the membranes than in the uterus , and put into a proper situation: but, if the placenta is disengaged from its membranes, and there are broke, and the placenta, or both, appear before the infant , they may be brought away"
1125300301_000004,"A treatise on the theory and practice of midwifery. By W. Smellie, M.D. Vol.I.",William Smellie,135,1,3,3,4,0,3,0,4,2,4,2,0,15,0,0,5,0,8,1,0,3,6,1,1,0,2,0,12,0,0,0,5,0,2,0,2,0,0,1,1,3,1,1,5,4,3,0,0,11,0,2,2,2,3,0,6,0,1,0,1762,1,1,"London : printed for D. Wilson, near Round Court; and T. Durham, near Norfolk Street; both in the Strand, MDCCLXII. [1762].",London,462,male,1697,1763,FALSE,"his theory of conception, and his opinions about the birth in the seventh or eighth month of gestation, they were actually espoused by all medical writers, till the last century. In his first book of the diseases of wo. men he treats of difficult labours ; observing , that if"
0649200100_000003,"A treatise on the theory and practice of midwifery, to which is now added, a set of anatomical plates, exhibiting the various cases that occur in practice, accurately engraved, with explanations. By W. Smellie, M.D. in three parts. part I.",William Smellie,128,1,3,3,3,0,4,0,3,2,5,2,0,14,0,0,5,0,7,1,0,3,6,1,1,0,2,0,12,0,0,0,5,0,2,0,2,0,0,1,1,1,1,1,5,4,3,0,0,9,0,1,2,3,3,0,5,0,1,0,1790,1,1,"London : printed for Alexander Cleugh, No. 14, Ratcliff-Highway; and M. Watson, Hermitage-Bridge. Five Shillings in Boards, 1790.",London,506,male,1697,1763,FALSE,"a fluor aibus, he says the urine is like that of an ass; the patient labours under a pain in the lower' part of the abdomen, loins, and ilia, together with a fwdling in the hands and legs; her eyes water , her com piexicn becomes wan and yellow, and"
0888800102_000036,"The new Royal cyclopædia, and encyclopædia; or, complete, modern and universal dictionary of arts and sciences. ... Illustrated with ... copper-plates, ... In three ... volumes. ... By George Selby Howard, ... Assisted by many gentlemen ... John Bettesworth, ... Henry Boswell, ... Felix Stonehouse, D.D. and others.",,83,0,0,1,1,2,1,0,2,1,1,0,2,7,1,0,1,1,3,9,0,3,1,2,1,0,0,1,4,0,3,1,2,0,1,0,0,1,1,2,2,5,0,0,1,2,1,0,1,2,1,0,1,3,3,0,1,4,0,0,1788,2,3,"London : printed for Alex. Hogg; and sold by the booksellers of Bath, Bristol, Birmingham, Canterbury, Cambridge [and 25 other towns in England] and likewise sold by all other booksellers and newscarriers in England, Scotland, and Ireland, [1788?].",London,661,unknown,,,FALSE,"If the child's head presents fairly, it asphyxia. tops the discharge of the waters . Sometimes the same ctfort DELIQUIUM, in chemilfry, thie dilfolntion or melting of salt, which burlts the membranes, expels the infant , and teriniictcs or calx, by suspending it in a nloilt cellar, labour . At"
0649200100_000238,"A treatise on the theory and practice of midwifery, to which is now added, a set of anatomical plates, exhibiting the various cases that occur in practice, accurately engraved, with explanations. By W. Smellie, M.D. in three parts. part I.",William Smellie,111,1,4,2,0,3,2,1,1,3,3,0,0,11,0,0,3,0,4,3,0,3,1,2,0,0,9,0,2,0,0,0,4,0,8,0,3,1,2,0,1,0,2,1,4,2,3,0,0,4,0,0,3,5,1,0,6,2,1,0,1790,1,1,"London : printed for Alexander Cleugh, No. 14, Ratcliff-Highway; and M. Watson, Hermitage-Bridge. Five Shillings in Boards, 1790.",London,506,male,1697,1763,FALSE,"taking hold of the feet , I turned her from that position to her left fide, and on introducing my hand reached the feet , which were easily brought down, and the child was delivered . The woman lad been two days in labour before I was called. She recovered,"
0202701300_000067,"Outlines of the theory and practice of midwifery. By Alexander Hamilton, M.D. F. R. S. Edin. Professor of Midwifery in the University, and member of the Royal College of Surgeons, Edinburgh. Arte non VI.",Alexander Hamilton,128,1,0,0,4,0,1,3,0,5,5,0,0,22,4,1,1,1,1,6,0,7,0,2,0,0,5,0,4,0,1,0,4,0,0,1,1,0,0,1,2,5,1,0,3,0,9,0,0,8,1,2,4,6,1,0,4,0,1,0,1784,1,1,"Edinburgh : printed for C. Elliot, Edinburgh; and G. Robinson, London, M.DCC.LXXXIV. [1784].",Edinburgh,432,male,1739,1802,TRUE,"interrupting the circulation, will be sus ficient to destroy the life of the child . A coldness and want of pulsation in the cord, is the mot infallible sign of the child's death ; therefore, if any portion of the former be protruded before any bulky part of the child"
0307200103_000111,"A medicinal dictionary; including physic, surgery, anatomy, chymistry, and botany, in all their branches relative to medicine. Together with a history of drugs; ... With copper plates. By R. James, M.D. ...","James, Robert",114,0,7,0,1,1,4,1,1,0,7,1,1,10,0,0,0,1,1,3,0,5,2,0,2,0,7,2,9,0,3,0,6,0,1,0,0,0,0,0,6,7,0,0,3,0,1,0,0,6,1,0,1,6,1,0,1,4,1,0,1743,3,3,"London : printed for T. Osborne; and sold by J. Roberts, 1743-45.",London,1055,male,1703,1776,FALSE,"used, first, in all Cafes where any other Part of the Body than the Head , and especially its Crown, present themfrcles at the Mouth of the Womb . See Tab. LIV Fig. 5 6 7 8 9 Io. Ir. 12 Secondly, In all Cafes , where any other Parts"
0491900800_000004,"A course of lectures on the theory and practice of midwifery: in which, Every Thing essentially necessary to the true Knowledge of that Art will be fully explain'd, and clearly demonstrated; particularly, those Operations which are conformable to the Principles of mechanical Motion. Of the Form, Structure and constituent Parts of the Female Pelvis. Of the Organs of Generation, and the Doctrine of Conception;-The Nutrition and Situation of the Foetus in Utero, and its gradual Increase from its Rudiments to the Time of Birth. The Pathology, Treatment and Cure of the various Diseases incident to Child-Bearing Women and Infants, with the Regimen necessary to be observed, respecting the Non-Naturals, viz. Air, Diet, Motion and Rest, Sleep and Watching, Retention, Excretion and the Passions of the Mind. The Antient and Modern Manner of delivering Women in laborious and preternatural Cases compared; with a View of the Advantages and Defects of the Means proposed for that End. - For the clearer Demonstration of Operative Midwisry (whether simply by the Hand or the Application of Instruments) the several Methods of assisting both in natural and preternatural Labours, will not only be described according to the most approved modern Practice, but likewise distinctly shewn, by an artificial Representation of each difficult Case, upon Machines for that Purpose; constructed upon new Principles, and made to the most exact Imitation of real Women and Children. The Whole will be illustrated by such anatomical Preparations as are applicable to each Lecture; together with various practical Observations, extraordinary Cases, and necessary Cautions; but particularly, by real Labours. By John Leake, M. D. Member of the Royal College of Physicians, London, And Physician Man-Midwife to the Westminster New Lying-in Hospital, At his House in Craven-Street, in the Strand.",John Leake,110,0,2,0,5,1,1,1,0,2,8,0,3,17,1,0,0,0,3,5,0,3,0,0,2,0,0,0,10,0,2,1,4,0,1,1,0,0,0,2,3,1,1,1,4,0,3,0,0,7,0,1,5,6,0,0,1,1,1,0,1767,1,1,"London : A.D., 1767.",London,18,male,1729,1792,FALSE,"of the natural Child ; and to give the most clear Idea how the Magnitude of its Head is leffen'd by the Effect of the Labour Pains , and how the Birth is thereby rendered more easy and expeditious. Of Tying and Cutting the navel firing, and extracing the Placenta"
0650701600_000026,"A treatise on the improvement of midwifery, chiefly with regard to the operation. To which are added fifty-seven cases, selected from upwards of twenty-seven years practice. The second edition, with large additions and improvements. By Edmund Chapman, Surgeon.","Chapman, Edmund",80,0,1,0,1,0,2,2,0,1,1,1,0,6,1,2,4,1,4,1,1,1,0,0,0,0,2,2,0,0,2,0,3,3,1,1,2,2,0,1,2,0,0,1,0,1,4,0,3,1,0,2,1,2,0,2,7,1,3,1,1735,1,1,"London : printed for John Brindley, at the King's Arms in New Bond-Street; John Clarke, under the Royal Exchange; and Charles Corbett, at Addison's Head against St. Dunstan's Church in Fleetstreet, 1735.",London,254,male,1680,1756,FALSE,"CA SOUTHEAST XXIX A Woman killed by an Inversion of thg Uterus . iwas, in the greatest Haste, sent for to! Woman Six Miles distant from me; to whom 4 went with all fib Speed, but'found on my Arrival, that - the had been dead near half an Hour. I"
0780200300_000041,"The diseases of women with child, and in child-bed: as also, the best means of helping them in natural and unnatural labours. With fit Remedies for the several Indispositions of New-Born Babes. To which is prefix'd, an exact description of the parts of generation in women. A Work much more perfect than any now extant, and very necessary for all, especially Midwives and Men practising that Art. The seventh edition corrected, and augmented with several new Figures, and with the Description of an excellent Instrument to bring a Child that comes right; all correctly Engraven in Copper. Written in French by Francis Mauriceau, and translated by Hugh Chamberlen, M.D.",François Mauriceau,95,0,1,2,1,6,1,0,1,1,3,1,2,5,2,3,0,1,5,4,0,4,3,1,0,0,2,2,2,0,1,0,2,0,1,1,4,0,0,0,1,1,1,4,2,0,2,0,0,3,2,0,1,0,1,0,6,7,2,0,1736,1,1,"London : printed for T. Cox, at the Lamb, and J. Clarke, at the Bible, under the Royal Exchange in Cornhill, MDCCXXXVI. [1736].",London,433,male,1637,1709,FALSE,"its Capacity; and the hotter and subtiler the Blood is then, the more abundantly it flows. But when this Flooding happens to a Woman truly conceived, at whatsoever time it be, proceeds likewise from the opening of theveffels of the Fund of the Womb , caused by some Blow, Slip,"
0951900402_000072,"Synopsis medicin?: or, a summary view of the whole practice of physick. Being the sentiments of the most celebrated authors in all ages, relating to diseases, their causes and cures. With most cases in surgery and midwifery. To which are added, Some Observations very Rare and Uncommon; and a curious Treatise on all Sorts of Poisons. In two volumes. ... . By John Allen, M.D. and F.R.S. Translated by himself, from the last edition of his Latin Synopsis, with very large improvements.","Allen, John",102,0,0,0,8,2,1,0,3,0,3,2,0,6,2,0,2,1,0,6,0,3,1,0,1,0,6,2,2,0,2,1,3,0,0,0,1,2,1,0,1,2,1,2,0,0,7,0,0,2,0,0,1,5,4,0,2,12,2,0,1740,2,2,"London : printed for W. Innys and R. Manby, W. Meadows, and J. Pemberton, M.DCC.XL. [1740].",London,405,male,1660,1741,FALSE,"the middle of the Pelvis, but either turned too much forward towards the Pubes, or backwards towards the Os Sacrum, or in one Side towards the Coxendix, a great deal of Danger is like to ensue, which increases in proportion to the ill Situation of the Uterus : In this"
0306700400_000067,"Outlines of the theory and practice of midwifery. By Alexander Hamilton, M. D. F. R. S. Edin. Professor of Midwifery in the University, and Member of the Royal College of Surgeons, Edinburgh. Arte non VI.",Alexander Hamilton,130,1,0,0,5,0,1,3,0,6,5,0,1,19,5,1,1,0,1,7,0,7,0,2,0,0,5,0,4,0,1,0,4,0,0,0,1,0,0,1,2,6,1,0,3,0,10,0,0,7,1,2,4,7,1,0,4,0,1,0,1787,1,1,"Edinburgh : printed [by Macfarquhar and Elliot] for Charles Elliot, Edinburgh; and G. G. J. & J. Robinson, London, M,DCC,LXXXVII. [1787].",Edinburgh,422,male,1739,1802,TRUE,"the nature and Treatment of Uterine Hz morrhniges before and i: : cr delivery . practical Ob. -- r_2tlon; on the child bcd Fever, c. 5th Edition p. 2-5 the pain , as to prevent the return of the cord; or, the child must be turned and delivered by the"
0202501100_000047,"A treatise of midwifery, comprehending the management of female complaints, and the treatment of children in early infancy. To which are added prescriptions for women and children, and directions for preparing a variety of food and drinks, adapted to the circumstances of lying-in women. Divested of technical terms and abstruse theories. By Alexander Hamilton, professor of midwifery in the University of Edinburgh, and member of the Royal College of Surgeons.",Alexander Hamilton,101,1,0,0,2,3,2,1,1,2,4,0,0,16,0,1,0,1,4,5,0,4,0,1,0,0,5,0,1,0,1,0,2,0,1,1,2,0,0,1,4,0,0,2,4,1,3,0,0,2,0,1,3,2,1,0,6,10,0,0,1781,1,1,"London : printed for J.Murray, No. 32, opposite St. Dunstan's Church, Fleet Street; J. Dickson, W. Creech, and C. Elliot, at Edinburgh, MDCCLXXXI. [1781].",London,486,male,1739,1802,TRUE,"are seldom dangerous before the 7th month of pregnancy; after which period, however, there is always considerable hazard. But, as it is sometimes northeast celfary to deliver , even in these cafes , the constant attendance of the pratitioner is requisite, and the utmost judgement to catch the proper time"
0952000100_000042,"The diseases of women with child, and in child-bed: as also, the best means of helping them in natural and unnatural labours. With fit Remedies for the several Indispositions of New-Born Babes. To which is prefix'd, an exact description of the parts of generation in women. A Work much more perfect than any now extant, and very necessary for all, especially Midwives and Men practising that Art. Written in French by Francis Mauriceau, and translated by Hugh Chamberlen, M.D.",François Mauriceau,92,0,1,2,1,5,1,0,1,1,3,1,2,5,2,3,0,1,4,4,0,4,3,1,0,0,2,1,2,0,1,0,2,0,1,1,4,0,0,0,1,1,1,4,2,0,2,0,0,2,2,0,1,0,1,0,5,9,2,0,1727,1,1,"London : printed for T. Cox at the Lamb, and J. Clarke at the Bible under the Royal-Exchange in Cornhill ; and T. Combes at the Bible and Dove in Pater-Noster Row, M.DCC.XXVII. [1727].",London,439,male,1637,1709,FALSE,"conceived, at whatsoever time it be, proceeds likewise from the opening of thevefiels of the Fund of the Womb , caused by some Blow, Slip, or other Hurt, and chiefly because the Secundine, in such Cafes , and fometimesin others, is Separated in part, if not totally, fi-om the Inside"
