PassageID,Title,Author,Total termFreq,termFreq(),termFreq(adventur),termFreq(ag),termFreq(apper),termFreq(author),termFreq(book),termFreq(charact),termFreq(design),termFreq(educ),termFreq(entertain),termFreq(event),termFreq(fabl),termFreq(fiction),termFreq(geniu),termFreq(happen),termFreq(heart),termFreq(hero),termFreq(histori),termFreq(human),termFreq(ill),termFreq(imagin),termFreq(interest),termFreq(judgement),termFreq(knowledg),termFreq(ladi),termFreq(languag),termFreq(life),termFreq(long),termFreq(love),termFreq(mankind),termFreq(manner),termFreq(mind),termFreq(modern),termFreq(moral),termFreq(natur),termFreq(novel),termFreq(origin),termFreq(passag),termFreq(piec),termFreq(pleasur),termFreq(poetri),termFreq(probabl),termFreq(prose),termFreq(public),termFreq(read),termFreq(reason),termFreq(romanc),termFreq(romant),termFreq(scene),termFreq(sentiment),termFreq(speci),termFreq(stori),termFreq(tast),termFreq(think),termFreq(thought),termFreq(verac),termFreq(virtu),termFreq(work),termFreq(write),termFreq(writer),termFreq(young),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpts
0374300701_000001,The adventures of Roderick Random. In two volumes. ...,Tobias Smollett,54,0,3,1,0,3,0,0,0,1,3,1,1,1,2,0,1,1,0,1,0,1,1,1,0,0,0,4,0,0,2,0,1,0,0,1,0,1,0,1,0,1,2,1,1,0,0,5,0,3,1,0,1,2,0,1,0,4,0,0,0,0,1773,1,2,"Dublin : printed for James Williams, at No. 5. in Skinner-Row, M,DCC,LXXIII. [1773].",Dublin,275,male,1721,1771,TRUE,"Weftmonafterienfes; such were many in the Mufce Etonenfes, and such are thousands that have never yet been offered to the public view. It is a known truth, that many of the boys, who were engaged in these useful sports of a fertile genius , afterwards became distinguished members of the"
0220801501_000001,The adventures of Roderick Random. In two volumes. ...,Tobias Smollett,52,0,3,1,0,3,0,1,0,1,2,1,1,1,2,0,1,1,0,1,0,1,1,0,0,0,0,4,0,0,2,0,1,0,0,1,0,1,0,1,0,1,2,1,1,0,0,5,0,3,1,0,1,1,0,1,0,4,0,0,0,0,1748,1,2,"London : printed for J. Osborn in Pater-Noster-Row, MDCCXLVIII. [1748].",London,352,male,1721,1771,TRUE,"performances which diicover the strength of the British genius . No fiction , in any language , was ever better supported than the Adventures of Robinson Crusoe. avthile it is carried on with that appearance of truth and simplicity, which takes a stronghold of the imagination of all Readers, it"
0029300401_000001,The adventures of Roderick Random. |...,Tobias Smollett,55,0,3,1,0,3,0,2,0,2,1,1,1,0,2,0,1,1,0,1,0,1,1,1,0,0,0,5,0,0,2,0,1,0,0,1,0,1,0,1,0,1,2,1,1,0,0,5,0,3,1,0,2,2,0,1,0,3,0,0,0,0,1791,1,2,"Edinburgh : printed by W. Darling and Son, for W. Coke, Leith, and W. Anderson, Stirling, M,DCC,XCI. [1791].",Edinburgh,307,male,1721,1771,TRUE,"hand, are dressed out with too much ornament and finery. Among the ancients, philosophical writing assumed often the form of dialogue. Plato is eminent for the beauty of his dialogues. In richness of imagination , no philosophic writer , either ancient or modern , is equal to him. His only"
1262700300_000001,Letters of an Italian nun and an English gentleman. Translated from the French of J. J. Rousseau.,Jean-Jacques Rousseau,61,0,0,2,0,0,0,0,1,0,1,1,0,0,0,2,2,0,1,1,0,1,2,0,0,0,1,1,1,2,0,1,2,0,2,2,1,2,0,1,0,1,0,0,2,1,0,1,2,0,2,3,3,0,2,1,0,2,7,2,1,1,1789,1,1,"London : printed for J. Bew, Paternoster-Row, MDCCLXXXIX. [1789].",London,199,male,1712,1778,TRUE,"any affetation, that they are justly inticled to high praise. The Letters of Lady Mary Wortley Montague are not unworthy of being named after those of Mad. de Sevigne. They have much of the French ease and vivacity; and retain more the charia&er of agreeable Epistolary Style, than perhaps any"
0017500300_000001,The champion of virtue. A Gothic story. By the editor of The Phonix. A translation of Barclay's Argenis.,Clara Reeve,64,0,1,1,0,2,5,0,2,0,1,0,1,0,1,0,2,0,1,2,0,1,1,1,0,0,1,1,0,0,2,3,1,4,1,2,3,0,1,0,0,1,2,0,0,5,1,5,0,0,0,0,2,0,0,0,0,1,5,0,1,0,1777,1,1,"Colchester : printed for the author, by W. Kfymer [sic], and sold by him; sold also by G. Robinson, London, 1777.",Colchester,200,female,1729,1807,TRUE,"if THE TRIUMVIRATE, OR, THE Authentic Memoirs OF A. B. and C In qibus suit propositi, fjmper a Nugis Ad bona tran/ire feria. Unde Nescio. IN TWO VOLUMES. VOLUME I. LONDON: Printed for W. JOHNSTON, in ludgate jireet, M DCCLXIV. TO HIS G RACE THE Duke of Bedford. X.M L"
1007400201_000001,The adventures of Roderick Random. In two volumes. ...,Tobias Smollett,48,0,2,1,0,3,0,2,0,1,1,1,1,1,2,0,1,1,0,1,0,1,1,1,0,0,0,4,0,0,2,0,1,0,0,1,0,1,0,1,0,1,2,1,1,0,0,5,0,1,1,0,1,1,0,1,0,2,0,0,0,0,1748,1,2,"London : printed for J. Osborn, in Pater-Noster-Row, MDCCXLVIII. [1748].",London,346,male,1721,1771,TRUE,"sentiment , for ardour of passion, entitled to rank among the highest productions of fictitious history . In this kind of writing we are, it muss be confessed, in Great Britain, inferior to the French. We neither relate so agreeably, nor draw characters with bo mtuch delicacy; yet we are"
0744801800_000001,The old English baron: a Gothic story. By Clara Reeve.,Clara Reeve,64,0,0,0,0,0,3,1,3,0,2,0,0,0,0,1,2,0,1,2,0,1,1,2,0,0,0,2,0,0,2,4,1,2,1,2,2,0,1,0,0,1,2,1,1,1,1,5,0,0,0,1,6,0,0,1,0,0,6,1,1,0,1778,1,1,"London : printed for Edward and Charles Dilly In The Poultry, MDCCLXXVIII. [1778].",London,240,female,1729,1807,TRUE,"of his corrcipondence with others, we arc introduced into acquaintance with several of the principal peifoniagcs of Rome; and it is rem; arkable that nioft of Cicero's correspondents, as well as himfcif, are elegant and polite polite Writers ; which serves to heighten our idea of the taste and manners"
0013600401_000001,The adventures of Roderick Random. In two volumes. ...,Tobias Smollett,51,0,2,1,0,3,0,2,0,1,2,1,1,1,2,0,1,1,0,1,0,1,1,1,0,0,0,4,0,0,2,0,1,0,0,1,0,1,0,1,0,1,2,1,1,0,0,5,0,2,1,0,0,1,0,1,0,4,0,0,0,0,1770,1,2,"London : printed for W. Strahan, J. Rivington, R. Baldwin, Hawes, Clarke and Collins , W. Johnston, T. Caslon, B. Law, J. Johnson and Co. W. and J. Richardson, T. Becket and P. A. De Hondt, T. Lowndes, E. and C. Dilly, T. Cadell, J. Knox, W. Nicoll, and T. Durham, MDCCLXX. [1770].",London,296,male,1721,1771,TRUE,"nymph his master had accidentally picked up on the road, and afterwards introduced into company as a fine lady , is culpably obscene, though the story is well told, and the character well imagined . The behaviour of Pickle to Hornbeck is also highly unjustifiable; not satisfied with injuring the"
1220200700_000001,The old English baron: a Gothic story. By Clara Reeve.,Clara Reeve,64,0,0,0,0,0,3,1,3,0,2,0,0,0,0,1,2,0,1,2,0,1,1,3,0,0,0,2,0,0,1,4,1,2,1,2,2,0,1,0,0,1,2,1,1,1,1,5,0,0,0,1,6,0,0,1,0,0,6,1,1,0,1778,1,1,"Dublin : printed by John Exshaw, No. 86, Dame-Street, MDCCLXXVIII. [1778].",Dublin,246,female,1729,1807,TRUE,"of religion, of injured beauty or opprcffcd innocence, he was further confirmed in this enthusiastic opinion, by his own heated imagrnarien. Strongly persuaded that the decision must be in his favour, he sought as if under the influence of divine infiiratio; i, rather than of military ardour. Thus the system"
0375800401_000001,The adventures of Roderick Random. In two volumes. By Dr. Smollet.,Tobias Smollett,54,0,2,1,0,3,0,1,0,1,3,1,1,0,2,0,1,1,0,1,0,1,1,1,0,0,0,4,0,0,2,0,1,0,0,2,0,1,0,1,0,1,2,1,1,0,0,5,0,3,1,0,2,1,0,1,0,4,0,0,0,0,1780,1,2,"London : printed for Harrison and Co. No. 18, Paternoster-Row, MDCCLXXX. [1780].",London,129,male,1721,1771,TRUE,"the excursions of fancy at a distance, than to be continually checking all its little irregularities. Too much restraint and pruning is of more fatal consequence here than a little wildness and luxuri ancy. The * beauties of every work of Mufaum, vol. I. Taste [ 211 ] Taste are"
0531700700_000001,The old English baron: a gothic story.,Clara Reeve,63,0,0,0,0,1,2,2,3,0,1,0,0,0,0,0,3,0,1,2,0,1,1,1,0,0,0,2,1,0,3,4,1,2,1,2,2,0,1,0,0,1,2,1,1,0,2,5,0,0,0,1,6,0,0,1,0,0,4,1,1,0,1794,1,1,"London : printed for Charles Dilly, 1794.",London,275,female,1729,1807,TRUE,"may atually occur in life ; by means of which, what is laudable or defecive in cha racer and conduct, may be pointed out, and placed in an useful light. Upon this plan, the French have produced some compositions of considerable merit. Gil Blas, by Le Sage, is a book"
0220901101_000001,The adventures of Roderick Random. In two volumes. ...,Tobias Smollett,53,0,3,1,0,3,0,2,0,1,2,1,1,0,2,0,1,1,0,1,0,1,1,1,0,0,0,4,0,0,2,0,1,0,0,1,0,1,0,1,0,1,2,1,1,0,0,5,0,3,1,0,1,1,0,1,0,4,0,0,0,0,1780,1,2,"London : printed for W. Strahan, J. Rivington & Sons, T. Caslon, B. Law, C. Dilly , G. Robinson, T. Cadell, T. Lowndes, R. Baldwin, J. Murray, and J. Bowen, M.DCC.LXXX. [1780].",London,296,male,1721,1771,TRUE,"are highly dist inguished for their humour, a humour which, if not of the most refined and delicate kind, is original , and peculiar to himself. The characters which he draws are lively and natural , and marked with the strokes of a bold pencil. The general scope of his"
0951200301_000022,"The progress of romance, through times, countries, and manners; with Remarks on the Good and Bad Effects of it, on them Respectively; in a course of evening conversations. By C. R. author of the English Baron, the Two mentors, &c. In two volumes. ...",Clara Reeve,74,0,1,0,0,3,0,0,0,0,1,0,1,0,2,3,1,0,0,0,0,2,0,1,0,3,2,1,0,1,0,3,1,0,0,2,14,2,0,1,0,0,2,0,0,3,1,7,0,1,0,1,1,0,2,1,0,1,4,3,1,1,1785,1,2,"Dublin : printed for Messrs. Price, Exshaw, White, Cash Colbert, Marchbank and Porter, M,DCC,LXXXV. [1785].",Dublin,163,female,1729,1807,TRUE,"Plato is eminent for the beauty of his dialogues. In richness of imagination , no philosophic writer , either ancient or modern , is equal to him. His only fault is the excessive fertility of his imagination , which carries him into allegory, ficeion, enthusiasm, and the airy regions of"
1282600201_000001,The adventures of Roderick Random. In two volumes. ...,Tobias Smollett,50,0,3,1,0,3,0,3,0,0,2,1,1,1,2,0,1,1,0,1,0,1,0,1,0,0,0,4,0,0,2,0,1,0,0,1,0,1,0,1,0,1,2,1,1,0,0,3,0,2,1,0,1,1,0,1,0,4,0,0,0,0,1768,1,2,"Dublin : printed and sold by T. Dyton, at Newton's Head, in Dame-Street, M,DCC,LXVIII. [1768].",Dublin,336,male,1721,1771,TRUE,"me in'his each to chat, And qufejion me of thirzand that; As "" frhat o'clock ?"" and "" How's the wind?"" - r Whose chariot'. that we left behind? Or gravely try to read the. lines; Writ undrneath. ihe: country igns; ort "" Have you nothing new today"" "" Pope,"
0656700100_000001,Letters of an Italian nun and an English gentleman: translated from the French of J. J. Rousseau.,Jean-Jacques Rousseau,57,0,0,2,0,0,0,0,1,0,1,1,0,0,0,2,1,0,1,1,0,1,1,0,0,0,1,1,1,3,0,1,2,0,2,2,1,2,0,1,0,1,0,0,2,1,0,1,2,0,2,2,1,0,2,1,0,2,7,2,1,1,1782,1,1,"Dublin : printed for C. Jackson, Bookseller, No. 26, Anglesea-Street, M.DCC.LXXXII. [1782].",Dublin,263,male,1712,1778,TRUE,"in one refpea, an advantage over those lookss of Voyages and Travels which axe written on the spur of the occasion; for it abounds with matured reflections, and contains the travels of the writer's mind , together with his bodily peregrinations. We cannot take leave without expressing our admiration of"
0107600201_000018,"The works of Tobias Smollett, M.D. with memoirs of his life; to which is prefixed A view of the commencement and progress of romance, by John Moore, M.D. In eight volumes. ...",Tobias Smollett,79,0,3,4,0,1,0,0,0,0,2,0,1,1,1,0,0,1,2,0,0,2,0,0,1,0,0,5,2,1,0,4,4,0,0,3,0,2,0,0,0,2,2,1,1,4,1,11,0,0,0,1,0,0,0,3,0,0,7,3,3,0,1797,1,8,"London : printed for B. Law, J. Johnson, C. Dilly, G. G. and J. Robinson, R. Baldwin, T. Becket, F. and C. Rivington, A. Strahan, R. Faulder, W. Richardson, W. Lane, W. Lowndes, S. Hayes, G. and T. Wilkie, Ogilvy and Son, T. N. Longman, and Cadell jun. and Davies, 1797.",London,452,male,1721,1771,TRUE,"ground of argument, I am so ambitious to merit. Having gone through the painful Fart of my dcuty for there is nothing so painful as that which is unavailing, arid there is nothing so unavailing ag giving advice to the incorrigible a few words will bring me to the end"
1234600700_000001,Letters of an Italian nun and an English gentleman. Translated from the French of J. J. Rousseau.,Jean-Jacques Rousseau,59,0,0,2,0,0,0,0,0,0,1,1,0,0,0,2,1,0,1,1,0,1,1,0,0,0,1,1,1,2,0,1,3,0,2,2,1,2,0,1,0,1,0,0,2,1,0,1,2,0,2,3,2,0,2,1,0,2,8,2,1,1,1781,1,1,"London : printed for J. Bew, Pater-Noster-Row, MDCCLXXXI. [1781].",London,188,male,1712,1778,TRUE,"every Post filled up with Men of Probity and Parts. And were the Ladies educated upon the same Plan, with proper Allowance for the Diflincions of Character , we flould find the Britiij Fair as much dig tinguifhed by their Discretion, as natural Modesty,. and surpassing the Rest of the"
1189600101_000035,"The miscellaneous works of Tobias Smollett, M. D. with memoirs of his life and writings. By Robert Anderson, M. D. in six volumes. ... . Containing the life of Smollett. The adventures of Roderick Random.",Tobias Smollett,75,0,0,0,0,0,0,9,0,1,3,0,2,0,2,0,2,0,1,1,0,1,2,0,2,0,0,7,1,0,3,6,1,1,6,6,3,2,2,0,1,0,0,0,1,1,0,1,0,3,0,0,0,0,0,0,0,2,1,1,0,0,1800,1,6,"Edinburgh : printed by and for Mundell & Son; and sold in London by Otridge & Son, Vernor & Hood, J. Cuthell, J. Walker & Lackington, Allen & Co., 1800.",Edinburgh,624,male,1721,1771,TRUE,"perfecdion is aimed at; but it can only he found in those of the Creator. The conten'plation of perfeion must produce ii!: t, and every natural object around you you would offer this delight, if it could attrat your attention: if you survey the earth, every leaf that trembles in"
0440000300_000002,"The castle of Otranto, a gothic story. Translated by William Marshal, gent. from the original Italian of Onuphrio Muralto, Canon Of The Church Of ST. Nicholas At Otranto.",Horace Walpole,59,0,0,0,0,8,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,2,3,2,0,2,2,1,0,0,0,1,0,1,2,3,0,1,1,1,0,0,1,0,3,0,1,3,1,1,2,1,3,0,1,1,0,1,3,1,1,0,1791,1,1,"Parma : printed by Bodoni, for J. Edwards, Bookseller Of London, MDCCXCI [1791].",Parma,283,male,1717,1797,TRUE,"1 1 i .i J ·- /, 22/ S / THE WORKS or OF TOBIAS SMOLLETT, M.D.. WITH MEMOIRS OF HIS LIFE ; TO WHICII IS PREFIXED, A VIEW OF THE COMMENCEMENT AND PROGRESS OF ROMANCE , By JOHN MOORE, M.D.. IN EIGHT VOLUMES. VOL. II L O N D"
0221100301_000001,The adventures of Roderick Random. ...,Tobias Smollett,53,0,2,1,0,3,0,3,0,1,2,1,1,0,2,0,1,1,0,1,0,1,1,1,0,0,0,4,0,0,2,0,1,0,0,1,0,1,0,1,0,1,2,1,1,0,0,5,0,3,0,0,1,2,0,1,0,4,0,0,0,0,1792,1,2,"London : printed for B. Law, C. Dilly, G. G. J. and J. Robinson, T. Cadell, F. and C. Rivington, W. Goldsmith, W. Richardson, S. Hayes, W. Lane, R. Baldwin, J. Murray, G. and T. Wilkie, and W. Lowndes, M,DCC,XCII. [1792].",London,300,male,1721,1771,TRUE,"nature , without the appearance oflmoral tend / s r excy, or useful infirution. Since that time, however, some D - better has been attempted, and a degree of reformation introduced into the spirit of Novel Writig. Imitations of life and charaaer have been made their principal object. Relations have"
0201700701_000001,The young philosopher: a novel. In four volumes. By Charlotte Smith. ...,Charlotte Turner Smith,48,0,0,0,0,1,4,3,1,0,0,1,1,0,0,2,0,1,1,0,1,1,1,0,1,1,0,1,0,0,0,0,1,1,1,3,3,1,0,1,0,1,0,0,1,1,1,1,0,1,1,0,1,1,1,0,0,0,2,0,2,2,1798,1,4,"London : printed for T. Cadell, jun. and W. Davies, in the Strand, 1798.",London,283,female,1749,1806,TRUE,"Poetry one part may be confiruned according to the laws of unity and truth, whilst another directly contradidts them. The French, by their great attention to the general economy and unity of their sable, and the confirudion of their scenes , have universally obtained the character of superior corrednefs to"
0656300602_000007,"The progress of romance, through times, countries and manners; ... in a course of evening conversations. By C. R. author of the English Baron, The two mentors, &c. In two volumes. ...",Clara Reeve,72,0,1,0,0,1,5,3,0,1,2,0,1,0,4,0,2,0,0,0,0,0,0,1,0,3,0,1,0,1,0,1,2,0,3,1,6,1,0,0,3,0,1,0,0,4,0,0,0,0,1,0,2,2,2,0,0,5,6,2,1,3,1785,2,2,"[Colchester] : printed for the author, by W. Keymer, Colchester, and sold by him; sold also by G. G. J. and J. Robinson, London, 1785.",Colchester,134,female,1729,1807,TRUE,it is to do good. LETTER V BUT so exalted and refined a turn offentiment is never the production of ignorance. It is only in cultivated minds we must look for it; for the prime fruits of virtue grow not in the soil that has never been broken up by
0268600201_000021,"The miscellaneous works of Tobias Smollett, M. D. With memoirs of his life and writings. By Robert Anderson, M. D. In six volumes. ... . Containing the adventures of Roderick Random.",Tobias Smollett,64,0,1,0,0,0,0,6,1,1,3,1,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,6,2,0,2,5,1,1,3,4,3,2,0,0,1,0,0,0,3,2,0,1,0,2,2,1,0,0,0,1,0,1,0,2,1,0,1796,1,6,"London : printed for J. Mundell & Co. Edinburgh; and for J. Mundell, College, Glasgow, 1796.",London,570,male,1721,1771,TRUE,"station and character As she conquered all nations with her arms, it matters not what were the triumphs of her eyes. Of what conee quence was the complexion of the Smiftrefs of the world? Not less vain of her person than her. politics, trs stately coquet, the guardian of the"
1282900101_000001,The adventures of Roderick Random. In two volumes. ...,Tobias Smollett,48,0,1,1,0,3,0,2,0,1,2,1,1,1,2,0,1,1,0,1,0,1,0,1,0,0,0,4,0,0,2,0,1,0,0,1,0,1,0,1,0,1,2,1,1,0,0,4,0,2,1,0,1,0,0,1,0,4,0,0,0,0,1775,1,2,"London : printed for Bernard Lintot, in the Strand, M.DCC.LXXV. [1775].",London,298,male,1721,1771,TRUE,"appears to me to be quite in its proper place in romance . M. Crebiilon, in his Wanderings of the Heart and Mind , takes the mid way between these two; but in his other works he is altogether satirical, and sometimes not free from obscenity. The German romances (at"
