item,title,author,pubdate,volume,ecco_vol,num_matches_top_1000,first_match
22,"The principles of natural law. In which the true systems of morality and civil government are established; and the different sentiments of Grotius, Hobbes, Puffendorf, Barbeyrac, Locke, Clark, and Hutchinson, occasionally considered / By J. J. Burlamaqui. Tr. into English by Mr. Nugent","Burlamaqui, J. J. 1694-1748",1752,NA,0340501500,1,509
23,Preliminary lecture to the course of lectures on the Institutions of Justinian : together with an introductory discourse / by John Wilde,"Wilde, John",1794,NA,0967700100,2,504
24,"The Necessitarian; or, The Question concerning Liberty and Necessity stated, pam.vol.","Dawson, Benjamin, 1729-1814",1783,NA,0280600300,0,NA
25,"The nature and obligation of virtue : a sermon preached in the Parish-Church of St. Chad, Salop, at the primary visitation of the Lord Bishop of Lichfield, and published at his Lordship's request : with an appendix, containing notes on the same subject / by William Adams ...","Adams, William, 1706-1789.",1754,NA,0135504600,0,NA
26,"A review of the principal questions in morals. Particularly those respecting the origin of our ideas of virtue, its nature, relation to the deity, obligation, subject matter, and sanctions / By Richard Price","Price, Richard, 1723-1791",1787,NA,0763400400,1,682
27,"A letter to the lay-expositor concerning his Exposition of the orthodox system of civil rights and church power, &c. : in which the merits of his system are examined and stated ... / by the Author of the Comment on Mr. Warburton's Alliance between church and state","Fleming, Caleb, 1698-1779",1749,NA,1171201400,0,NA
28,"The cure of deism or, the mediatorial scheme by Jesus Christ the only true religion ... with an application to Papists, Quakers, Socinians, and scepticks. And an appendix, in answer to a book entitled The moral philosopher, or a dialogue between a Chris, 1737","Smith, Elisha, 1683?-1740",1737,NA,0813000601,0,NA
29,"Twelve sermons on the following seasonable and important subjects ... : with interspersed notes, in defence of the truth, especially in the points treated on, in the above discourses / by Charles Chauncy ...","Chauncy, Charles, 1705-1787",1765,NA,n,,
30,"A general and introductory view of Professor Kant's principles concerning man, the world and the deity, submitted to the consideration of the learned. / By F.A. Nitsch ...","Nitsch, F. A.",1796,NA,0368100400,2,55
31,"The select works of William Penn, v. 5","Penn, William, 1644-1718",1782,5,0178500105,0,2857
32,"The principles of natural and politic law. By J. J. Burlamaqui. Tr. into English by Mr. Nugent, vol. 1","Burlamaqui, J. J. 1694-1748",1763,1,0530201601,2,151
