item,,title,author,pubdate,volume,ecco_vol,num_matches_top_1000,first_match
13,,"The new universal etymological English dictionary: Containing An Additional Collection of Words, with their Explications and Etymologies from the Ancient British, Teutonick, Dutch,",Nathan Bailey,1776,NA,1185700200,0,1830
14,,"Biographia Britannica: or, the lives of the most eminent persons who have flourished in Great Britain and Ireland, from the earliest ages, down",NA,1747,5,1117300105,0,NA
15,,"The new royal encyclopædia; or, complete modern dictionary of arts and sciences, on an improved plan. Containing a new, universal, accurate, and copious display of the whole",William Henry Hall,1788,2,0619300102,0,NA
16,,"A critical pronouncing dictionary and expositor of the English language. in which Not only the Meaning of every Word is clearly explained, and",John Walker,1794,NA,1234300300,0,NA
17,,"Cyclopædia: or, an universal dictionary of arts and sciences; Containing The Definitions of the Terms, And Accounts of The Things signify'd",Ephraim Chambers,1728,2,0489500102,0,NA
18,,"The new universal etymological English dictionary: Containing An Additional Collection of Words, with their Explications and Etymologies",Nathan Bailey,1775,NA,1185600200,1,918
19,,"The royal English dictionary: or, a treasury of the English language. Containing, I. A Full Explanation of all the Terms made Use of In Algebra, Anatomy, Architecture, Arithmetic,",Daniel Fenning,1763,NA,0191500300,0,NA
20,,"A dictionary of the English language: in which the words are deduced from their originals, and illustrated in their different significations by",Samuel Johnson,1777,1,1021400101,0,NA
21,,"Cyclopædia: or, an universal dictionary of arts and sciences. ... By E. Chambers, F.R.S. With the supplement, and modern improvements, incorporated in one alphabet. By Abraham Rees,",Ephraim Chambers and Abraham Rees,1778-1788,2,0993700102,0,NA
22,,"A dictionary of the English language: in which the words are deduced from their originals, and illustrated in their different significations by examples from the best writers. ... By S",Samuel Johnson,1785,2,0254900101,0,NA
23,,A complete and universal English dictionary on a new plan : including not only I. A full explanation of difficult words and technical terms ... II. A,James Barclay,1782,NA,0857200100,0,NA
24,,"A dictionary of the English language: in which the words are deduced from their originals, and illustrated in their different significations by",Samuel Johnson,1755-56,1,0289500101,0,NA
25,,"Thesaurus linguæ latinæ compendiarius: or, a compendious dictionary of the Latin tongue: designed for the use of the British nations: in three parts. Containing, I. The English",Robert Ainsworth,1746,1,0438700102,0,NA
