item,title,author,pubdate,volume,ecco_vol,num_matches_top_1000,first_match
15,"The annual register, or a view of the history, politics, and literature for the year 1798",NA,1800,NA,1137400100,0,1308
16,"The kentish register, and monthly miscellany. From January to December, 1794. Volume II",NA,1794,2,0885500502,0,NA
17,"The annual register, or a view of the history, politics, and literature, for the year 1773",NA,1774,NA,0533900116,0,NA
18,"The new complete dictionary of arts and sciences; or, an universal system of useful knowledge. Containing A full Explanation of every Art and Science, whether liberal or mechanical, in which the Difficulties attending a thorough Knowledge of them are clearly pointed out, and such Directions given as cannot fail of making their Acquisition easy and familiar to every Capacity Exhibiting, among the various other Branches of Literature, a copious Elucidation of the following, viz. Agriculture, Algebra, Anatomy, Architecture, Arithmetick, Astronomy, Book-Keeping, Botany, Carving, Catoptricks, Chemistry, Chronology, Commerce, Conicks, Cosmography, Dialing, Dioptricks, Ethicks, Farriery, Fluxions, Fortification, Gardening, Guaging, Geography, Geometry, Grammar, Gunnery, Handicrafts, Heraldry, History, Horsemanship, Husbandry, Hydraulicks, Hydrography, Hydrostaticks, Law, Levelling, Logick, Maritime and Military Affairs, Mathematicks, Mechanicks, Medicine, Merchandize, Metaphysicks, Meteorology, Musick, Navigation, Opticks, Oratory, Painting, Perspective, Pharmacy, Philology, Philosophy, Physick, Pneumaticks, Rhetorick, Sculpture, Series and Staticks, Statuary, Surgery, Surveying, Theology, Trigonometry, &c. The Whole upon an improved Plan, the Marrow and Quintessence of every other Dictionary and Work of the Kind being preserved, and their Superfluities and Obscurities entirely omitted. Particular Attention has been given to every Thing valuable in Chambers, The Encyclopedie, printed at Paris; The Encyclopediae Britannica, and other Publications of later Date. Including not only all the valuable modern Improvements which have been made by several eminent Members of the Royal Society, the Royal Academy, and the Society for the Encouragement of Arts, Manufactures and Commerce, but also a great Variety of other important Discoveries; which have been made and communicated to the Authors of this Work, by some of the most distinguished Characters of this and other Nations. Eminent Engravers and Designers in the several Departments have been engaged at a very great Expence to unite their Abilities in producing the most masterly and superb Set of Copper-Plates, representing upwards of One Thousand exact Figures, such as Machines, Instruments, Implements, Tools, Plans, Schemes, Animals, Vegetables, Minerals, Fossils, and other Articles relative to the Subjects treated of in a Work of the utmost Consequence to Mankind. The Theological, Philosophical, Critical, and Poetical Branches, By the Rev. Erasmus Middleton, Lecturer of St. Bennet's, Grace-Church-Street, and of St. Helen's, Bishopsgate-Street; The Medicinal, Chemical, and Anatomical, By William Turnbull, M. D. Of Wellclose-Square, London; The Gardening and Botanical, By Thomas Ellis, Gardener to the Lord Bishop of Lincoln, and Author of The Gardener's Pocket Calendar; The Mathematical, &c. By John Davidson, Author of A Complete Course of Mathematicks; And the other Parts by Gentlemen of approved Abilities in the respective Branches which they have engaged to illustrate",Erasmus Middleton,1778,1,0513600201,0,NA
19,An historical account of the rise and progress of the colonies of South Carolina and Georgia. In two volumes. ...,Alexander Hewat,1779,1,0181400501,2,21
20,"A new naval history: or, compleat view of the British marine. In which the Royal Navy and the merchant's service are traced through all their periods and different branches: with The Lives of the Admirals and Navigators, who have Honour'd this Nation, and Distinguish'd Themselves by their Conduct, Courage, Victories, and Discoveries. including The most considerable Naval Expeditions, and Sea-Fights: our right to The Dominion of the Sea, and the Dignity of the British Flag: the Laws and Regulations for The Government and Oeconomy of His Majesty's Navy; and The Business and Management of the several Royal Yards and Docks in this Kingdom. to which are added Our Right and Title to the British Colonies in North-America: and An Abstract of the Laws now in Force for regulating our Trade and Commerce. Illustrated with copper plates. By John Entick, M.A.",John Entick,1757,NA,0145901400,0,2149
21,"A general dictionary, historical and critical: in which a new and accurate translation of that of the Celebrated Mr. Bayle, with the corrections and observations printed in the late edition at Paris, is included; and interspersed with several thousand lives never before published. The whole containing the History of the most illustrious Persons of all Ages and Nations, particularly those of Great Britain and Ireland, distinguished by their Rank, Actions, Learning and other Accomplishments. With reflections on such passages of Mr. Bayle, as seem to favour scepticism and the Manichee System. By the Reverend Mr. John Peter Bernard; the Reverend Mr. Thomas Birch; Mr. John Lockman; and other hands. And the articles relating to Oriental history by George Sale, Gent. Volume I",Pierre Bayle,1734,5,0825100105,0,NA
22,"The new annual register, or general repository of history, politics, and literature, for the year 1794. To which is prefixed, the history of knowledge, learning, and taste, in Great Britain, during the reign of King James the First, part the second",NA,1795,NA,0654300300,0,1968
23,"Encyclopædia Britannica; or, a dictionary of arts, sciences, &c. On a plan entirely new: By Which, the different sciences and arts Are digested into the Form of Distinct treatises or systems, comprehending The History, Theory, and Practice, of each, according to the Latest Discoveries and Improvements; and full explanations given of the various detached parts of knowledge, whether Relating to Natural and Artificial Objects, or to Matters Ecclesiastical, Civil, Military, Commercial, &c. Together with a description of all the Countries, Cities, Principal Mountains, Seas, Rivers, &c. throughout the World; a General History, Ancient and Modern, of the different Empires, Kingdoms, and States; and An Account of the lives of the most Eminent Persons in every Nation, from the earliest ages down to the present times. The whole compiled from the writings of the best authors, in several languages; the most approved dictionaries, as well of General Science as of particular branches; the transactions, journals, and memoirs, of learned societies, both at home and abroad; the Ms. Lectures of eminent professors on different sciences; and a variety of original materials, furnished by an extensive correspondence. The second edition; greatly improved and enlarged. Illustrated with above two hundred copperplates. Vol. I. Indocti discant, et ament meminisse periti",NA,1778,9,0689400109,0,NA
24,"A philosophical and political history of the settlements and trade of the Europeans in the East and West Indies. Revised, augmented, and published, in ten volumes, by the Abbé Raynal. Newly translated from the French, by J. O. Justamond, F.R.S. With a new set of maps Adapted to the Work, an a copious index. In Eight Volumes. ...","Raynal, abbé",1783,4,0519600104,0,2675
25,"A new universal collection of authentic and entertaining voyages and travels, from the earliest accounts to the present time. Judiciously selected from the best writers in the English, French, Spanish, Italian, Dutch, German, and other Languages. Comprehending an Account of whatever is Curious in the Government, Commerce, Natural History, Customs, Marriages, Funerals, And other Ceremonies of most Nations in the known World. Including an Account of the most remarkable Discoveries, Conquests, Settlements, Battles, Sea Fights, Hurricanes, Shipwrecks, Sieges, Tortures, Wonderful Escapes, Massacres, and Strange Deliverances, Both by Sea and Land. Aslo A Description of the Buildings, Mountains, Rivers, Harbours, Lakes, Islands, Peninsulas, Creeks, &c. of various Countries. The Whole forming a History of whatever is most worthy of Notice in Europe, Asia, Africa and America. Illustrated with maps from the latest Improvements, and beautiful plates, by Grignion, and other celebrated Masters. By Edward Cavendish Drake, Esq;",Edward Cavendish Drake,1768,NA,0288500200,0,NA
