PassageID,Title,Author,Total termFreq,termFreq(),termFreq(author),termFreq(axiom),termFreq(book),termFreq(breviti),termFreq(celebr),termFreq(comprehens),termFreq(contain),termFreq(contract),termFreq(curios),termFreq(digest),termFreq(discern),termFreq(discov),termFreq(discoveri),termFreq(doctrin),termFreq(establish),termFreq(fact),termFreq(fame),termFreq(few),termFreq(foundat),termFreq(gener),termFreq(geniu),termFreq(grandeur),termFreq(human),termFreq(idea),termFreq(infinit),termFreq(intellig),termFreq(judgment),termFreq(know),termFreq(knowledg),termFreq(law),termFreq(learn),termFreq(littl),termFreq(magnific),termFreq(mankind),termFreq(maxim),termFreq(multitud),termFreq(natur),termFreq(notion),termFreq(number),termFreq(opinion),termFreq(order),termFreq(perceiv),termFreq(philosophi),termFreq(precept),termFreq(principl),termFreq(read),termFreq(reason),termFreq(receiv),termFreq(reduc),termFreq(refin),termFreq(sentenc),termFreq(set),termFreq(short),termFreq(simpl),termFreq(small),termFreq(specul),termFreq(studi),termFreq(subject),termFreq(sublim),termFreq(suprem),termFreq(system),termFreq(tenet),termFreq(theorem),termFreq(truth),termFreq(univers),termFreq(varieti),termFreq(variou),termFreq(view),termFreq(volum),termFreq(wonder),termFreq(word),termFreq(work),termFreq(world),termFreq(writer),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpts
0144600101_000003,The history of England from the accession of James I. to that of the Brunswick line. ... By Catherine Macaulay.,Catharine Macaulay,43,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4,2,0,1,0,1,0,0,0,3,2,0,2,0,1,1,0,2,0,0,2,0,0,0,1,4,0,2,0,0,0,0,1,0,0,0,0,2,2,0,0,1,1,0,2,2,0,0,0,0,0,0,0,0,1,1763,1,8,"London : printed for J. Nourse; R. and J. Dodsley; and W. Johnston, 1763-83.",London,457,female,1731,1791,TRUE,"they have eonverfed, as if these prejudices were the produce of their own imaginations. Hence proceed those opposite opinions among the peculative part of mankind in regard to popular and monarchical privileges. All men can acquire the jargon of terms, but the depth of science is only to be attained"
0343200202_000047,"Religion considered as the only basis of happiness and of true philosophy. A work written for the instruction of the children of his most serene highness the Duke of Orleans; ... By Madame the Marchioness of Sillery, ... In two volumes.",Stéphanie Félicité du Crest de Saint-Aubin,45,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,4,1,3,3,0,2,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,3,0,2,1,1,0,0,1,2,1,1,1,0,0,1,2,3,1,1787,2,2,"Dublin : printed by William Porter, for H. Chamberlaine, White, Byrne, Colbert, W. Porter, and Moore, 1787.",Dublin,151,female,1746,1830,TRUE,"he wholly indebted to the fecundity of his brilliant imagination, for that vigour, pomp, and, above all, that august character of a dignity and wisdom in which even the rays of the Divinity seem to hine? Let us declare this one truth , which can escape those only who will"
0357400100_000053,Dialogues of the dead.,Elizabeth Montagu,49,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,2,1,0,1,0,0,1,0,1,0,0,0,1,2,2,2,0,4,0,0,4,0,0,0,0,0,1,1,0,2,0,1,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,2,1,2,5,1,1760,1,1,"London : printed [by Samuel Richardson] for W. Sandby, in Fleet-Street, M.DCC.LX. [1760].",London,332,female,1720,1800,FALSE,"The genuine glory, the proper ditinction of the rational Species, arises from the perfecion of the mental powers. Courage is apt to be fierce, and Strength is often exerted in afts of Oppression. But Wisdom is the Associate of Justice; It assisis her to form equal Laws , to pursue"
0420902800_000005,"Rudiments of taste. In a series of letters, from a mother to her daughters. By the author of The life of Jacob.","Peddle, , Mrs",51,0,0,0,0,0,2,1,0,0,1,0,2,2,0,0,0,0,1,3,0,1,0,0,6,1,0,0,0,4,2,0,1,0,0,2,0,1,2,0,0,0,0,0,0,0,2,4,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,2,3,1789,1,1,"[London] : Printed for C. Dilly, in the Poultry, 1789.",London,172,female,,,FALSE,"emits, to vitiate the tafe, and corrupt the principles of the age. There There is a certain mental vigour necessary to virtue as well as to happi. nets, but modern, novels, under the specious mafkl of refined sentiments, introduce a dangerous foftneis that has often destroyed both. TRUE refinement is"
0164301100_000007,"Reflections upon the education of children in charity schools; with the outlines of a plan of appropriate instruction for the children of the poor; submitted to the consideration of the patrons of schools of every denomination, supported by charity. By Mrs. Trimmer.",Sarah Trimmer,48,0,1,0,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,4,0,0,0,1,0,2,0,0,2,0,4,1,0,0,0,0,0,1,1,0,0,0,0,0,2,3,1,1,0,0,1,0,0,2,1,0,2,0,0,1,1,0,0,2,1,0,0,1,0,0,1,2,0,1,1792,1,1,"London : printed for T. Longman, Paternoster-Row; and J. and F. Rivington, St. Paul's Church-Yard, M.DCC.XCII. [1792].",London,57,female,1741,1810,TRUE,"educated under these advantages, and those who have them not; yet I hope I may be allowed to say, without giving offence, that there is room for improvement upon the original plan, even when con duaed with the greatest zeal and attention; and that where these are wanting, and the"
0343200102_000001,"Religion considered as the only basis of happiness, and of true philosophy. A work written for the instruction of the children of his Most Serene Highness the Duke of Orleans; And in which the Principles of modern pretended Philosophers are laid open and refuted. By Madame the Marchioness of Sillery, heretofore countess of genlis. In two volumes. ...",Stéphanie Félicité du Crest de Saint-Aubin,42,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,1,0,0,3,2,0,0,1,2,1,0,3,0,4,0,1,0,0,1,0,1,0,0,2,0,0,0,1,0,1,0,0,2,1,0,0,0,2,0,0,4,1,0,1787,2,2,"London : printed for T. Payne and Son, at the Mews Gate; T. Cadell, and P. Elmsly, in the Strand, M.DCC.LXXXVII. [1787].",London,295,female,1746,1830,TRUE,"RELIGIO N Considered as the only BASIS of H A P P I N E S S, AND OF TRUE PHILOSOPHY . VOL. II R E L I G I O N Considered as the only BASIS of HA P P I N E S S AND OF TRUE PHILOSOPHY"
0290000100_000017,"The sequel to Mentoria; or, the young ladies instructor: in familiar conversations, on a variety of interesting subjects, in which are Introduced, Lectures on Astronomy and Natural Philosophy, Expressed in Terms suited to the Comprehension of Juvenile Readers; Being principally intended to enlarge the Ideas, and inspire just Conceptions of the Deity, from the Contemplation of the general System of the Universe. By Ann Murry.","Murry, Ann",52,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,2,2,2,0,4,2,0,1,1,0,0,0,0,3,3,0,0,0,0,0,0,6,0,0,1,0,2,1,0,2,1,2,1,0,0,0,0,0,0,1,0,2,0,0,1,1,0,0,0,2,1,3,1,0,0,0,1,0,0,1799,1,1,"London : printed for C. Dilly, in the Poultry, 1799.",London,342,female,,,FALSE,"for the Supreme Being, whole works which fiine with fiperior glory in the Heavens, he traced with accuracy, and defined with a degree of precision which have rendered his fame immortal. It is to the labours of this renowned Philosopher we are indebted for obtaining just conceptions of the various"
0710500500_000014,"Maxims, characters, and reflections, critical, satyrical, and moral.",Frances Greville,61,0,1,0,4,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,3,2,0,1,1,1,0,0,0,5,0,3,2,0,1,0,0,2,0,0,5,0,0,1,1,4,2,3,1,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,2,0,0,0,0,1,1,1,2,1,1,1757,1,1,"London : printed for J. and R. Tonson in the Strand, MDCCLVII. [1757].",London,261,female,1730,1789,FALSE,"think we have discovered a new truth that lay very deep, when perhaps we have only a lively sense of something which others feel in a less degree. CVIIT. SCHOLARSHIP, or, if you will, learning , is perpetually rung in my ears as the um; numn bonum, the one thing"
0152701300_000014,"Letters on the works and character of J. J. Rousseau. To which are Added A Letter from the Countess Alexandre de Vassy to the Baroness de Stael, with the Baroness's Answer, and an Account of the last Moments of Rousseau. By Mademoiselle Necker, Baroness de Stael. Translated from the French.",Germaine de Staël,60,0,2,0,5,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,4,0,2,2,0,0,0,3,4,3,1,1,0,2,0,0,3,0,0,1,0,0,1,0,2,0,5,0,1,0,0,0,0,0,0,0,0,1,2,1,0,0,0,1,2,0,0,0,0,1,1,4,2,0,1789,1,1,"London : printed for G. G. J. and J. Robinson, Paternoster-Row, MDCCLXXXIX. [1789].",London,145,female,1766,1817,FALSE,"follow the intention of Providence, who has commanded the observance of nothing which tends not to his felicity, even upon earth, and whose only motive of giving him virtue as a law , was to insure his happiness in not letting him depend upon the extent of his own knowledge"
0343200102_000027,"Religion considered as the only basis of happiness, and of true philosophy. A work written for the instruction of the children of his Most Serene Highness the Duke of Orleans; And in which the Principles of modern pretended Philosophers are laid open and refuted. By Madame the Marchioness of Sillery, heretofore countess of genlis. In two volumes. ...",Stéphanie Félicité du Crest de Saint-Aubin,62,0,7,0,2,0,2,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,4,1,0,0,2,2,0,4,0,0,0,0,0,2,0,2,3,0,0,4,0,2,1,3,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,2,0,0,0,3,0,0,7,0,0,1787,2,2,"London : printed for T. Payne and Son, at the Mews Gate; T. Cadell, and P. Elmsly, in the Strand, M.DCC.LXXXVII. [1787].",London,295,female,1746,1830,TRUE,"ridiculous and prophetic tone which then appeared so sub; limte and philosophical. He must have had. taste and wisdom, to despise this extravagant jargon and puerile. assec tation : he. is, however, frigid and tiresome; but he is, at least, reasonable , and lever emphatical. I mean in the preliminary"
0919300702_000026,Dialogues of the dead. In two volumes. ...,Elizabeth Montagu,48,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,2,1,0,1,0,0,1,0,1,0,0,0,1,1,2,2,0,4,0,0,4,0,0,0,1,0,1,1,0,2,0,1,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1,2,1,2,5,1,1775,2,2,"London : printed for T. Pridden, Fleet Street, M.DCC.LXXV. [1775].",London,167,female,1720,1800,FALSE,"and general welfare. Heros may kill tyrants; but it is wisdom and laws that prevent tyranny and oppression. The operations of policy far lurpafs the labours of Hercules, preventing many evils which valour and might cannot even re drces. You heros confider nothing but glory, and hardly regard whether the"
0343200201_000034,"Religion considered as the only basis of happiness and of true philosophy. A work written for the instruction of the children of his most serene highness the Duke of Orleans; ... By Madame the Marchioness of Sillery, ... In two volumes.",Stéphanie Félicité du Crest de Saint-Aubin,48,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,3,0,1,2,0,1,0,1,2,1,0,0,0,0,0,0,3,1,0,3,1,4,0,1,0,0,4,0,0,0,0,0,0,0,0,1,1,0,1,2,1,0,0,6,1,0,0,0,0,0,0,1,0,1,1787,1,2,"Dublin : printed by William Porter, for H. Chamberlaine, White, Byrne, Colbert, W. Porter, and Moore, 1787.",Dublin,160,female,1746,1830,TRUE,".... Truth seemed concentered, in a corner of M ofts livel three hundred years before the taking of Trcy. . the ( 9')  the earth, with the people of Israel .... Christ appeared; as the light coming from darkness dissipates the obscurity of the night, so did the Gospel"
0343200201_000033,"Religion considered as the only basis of happiness and of true philosophy. A work written for the instruction of the children of his most serene highness the Duke of Orleans; ... By Madame the Marchioness of Sillery, ... In two volumes.",Stéphanie Félicité du Crest de Saint-Aubin,48,0,4,0,8,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,2,0,5,2,0,0,0,1,0,0,0,0,1,1,1,0,2,0,1,0,0,1,1,1,3,0,0,1,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,1,1,0,1,1787,1,2,"Dublin : printed by William Porter, for H. Chamberlaine, White, Byrne, Colbert, W. Porter, and Moore, 1787.",Dublin,160,female,1746,1830,TRUE,"age as light is to darkness: - finally, instead of making us love virtue for itself only, or from motives of reputation which the practice of it gives, here are docors, who, aspiring higher, make us love virtue for the love of God; a remarkable character, which distinguishes them from"
1128800300_000002,"Maxims, characters, and reflections, critical, satirical, and moral.",Frances Greville,57,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,3,1,0,0,2,0,1,0,3,0,0,1,0,0,0,7,0,1,1,2,3,0,0,0,0,1,1,2,3,0,1,0,0,3,0,1,0,0,1,0,0,0,0,0,2,1,0,2,2,0,0,5,1,1,0,1768,1,1,"London : printed for T. Cadell (successor to Mr. Millar) in the Strand, MDCCLXVIII. [1768].",London,260,female,1730,1789,FALSE,"with refpet to objects of taste, to the delicacies of manner and conversation, the nice distinctions of modes of behaviour, and all the numberless refinements of society, it is comparatively poor. Upon this occasion, perhaps, I may be permitted to observe, that our language is copious and expressive not only"
1128800300_000014,"Maxims, characters, and reflections, critical, satirical, and moral.",Frances Greville,62,0,1,0,4,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,4,2,0,1,1,1,0,0,1,5,0,3,2,0,1,0,0,3,0,0,5,0,0,1,1,4,2,3,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,1,1,1,2,1,1,1768,1,1,"London : printed for T. Cadell (successor to Mr. Millar) in the Strand, MDCCLXVIII. [1768].",London,260,female,1730,1789,FALSE,"EVEN affetation is natural , if I may so express myself, to some men, and therefore pleasing. E 2 CVI [ 38 ] CVI A person asserts a thing is good or bad, TRUE or falie, saying he knows it to be fio; but how proper would it generally be"
0737200600_000002,"Poems, on several occasions. By Ann Yearsley, a Milkwoman of Bristol.",Ann Yearsley,36,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,4,0,4,1,0,0,0,3,2,1,1,2,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1785,1,1,"London : printed for T. Cadell, in the Strand, MDCCLXXXV. [1785].",London,148,female,1756,1806,TRUE,"Vlb She abounds in FALSE concords, and inaccuracies of various kinds; the grossest of which have been corrected. You will find her often diffuse from redundancy, and oftener obscure from brevity ; but you will seldom find in her those inexpiable poetic sins, the FALSE thought, the puerile conceit, the"
0392000800_000056,"Dialogues of the dead. The fourth edition, corrected. To which are added four new dialogues.",Elizabeth Montagu,45,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,2,0,1,0,0,0,1,4,1,2,0,4,0,0,2,0,0,0,0,0,1,1,0,2,0,1,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,1,2,1,2,4,1,1765,1,1,"London : printed for W. Sandby, in Fleet-Street, M.DCC.LXV. [1765].",London,421,female,1720,1800,FALSE,"whole race of Lions, Bears, and Serpents, and what is more, to bind in Laws and wxholefome regulations the ferocious Violence and dangerous Treachery of the human disposition. Had Lions been de ftroved only in single combat, men had had but a bad time of it; and what but Laws"
0343200202_000018,"Religion considered as the only basis of happiness and of true philosophy. A work written for the instruction of the children of his most serene highness the Duke of Orleans; ... By Madame the Marchioness of Sillery, ... In two volumes.",Stéphanie Félicité du Crest de Saint-Aubin,48,0,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,0,0,0,1,1,0,0,3,2,0,2,0,0,3,2,2,3,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,1,1,0,1,0,0,0,1,1,0,1,1787,2,2,"Dublin : printed by William Porter, for H. Chamberlaine, White, Byrne, Colbert, W. Porter, and Moore, 1787.",Dublin,151,female,1746,1830,TRUE,"and their difciplcc. In those times, a clear and precise definition of philolophly could be given: it was,. as the word exprcffes it, a love of wufdoim. Men born in the dark ages of paganism, .and guided by their natural light only,. could not. but err; but they had'at least"
0343200101_000035,"Religion considered as the only basis of happiness, and of true philosophy. A work written for the instruction of the children of his Most Serene Highness the Duke of Orleans; And in which the Principles of modern pretended Philosophers are laid open and refuted. By Madame the Marchioness of Sillery, heretofore countess of genlis. In two volumes. ...",Stéphanie Félicité du Crest de Saint-Aubin,47,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,5,0,0,2,0,1,0,2,2,1,0,0,0,0,0,0,3,1,0,4,0,3,0,1,0,0,3,0,0,0,0,0,0,0,0,1,0,0,1,2,2,0,0,4,1,0,0,0,0,0,0,1,0,1,1787,1,2,"London : printed for T. Payne and Son, at the Mews Gate; T. Cadell, and P. Elmsly, in the Strand, M.DCC.LXXXVII. [1787].",London,312,female,1746,1830,TRUE,"of re ·! If they be more enlightened ""' than Epicurus or Aristotle with respect "" to morality, it is not that they have "" more genius and penetration, but because they live in different ages. Reli "" gion even, which they treat contumeli "" oufly, has given them inftru&tions*."""
