PassageID,Title,Author,Total termFreq,termFreq(),termFreq(adventur),termFreq(ag),termFreq(author),termFreq(book),termFreq(charact),termFreq(design),termFreq(educ),termFreq(entertain),termFreq(event),termFreq(fabl),termFreq(fiction),termFreq(geniu),termFreq(happen),termFreq(heart),termFreq(hero),termFreq(histori),termFreq(human),termFreq(ill),termFreq(imagin),termFreq(interest),termFreq(judgement),termFreq(knowledg),termFreq(ladi),termFreq(languag),termFreq(life),termFreq(long),termFreq(love),termFreq(mankind),termFreq(manner),termFreq(mind),termFreq(modern),termFreq(moral),termFreq(natur),termFreq(novel),termFreq(origin),termFreq(passag),termFreq(piec),termFreq(pleasur),termFreq(poetri),termFreq(probabl),termFreq(prose),termFreq(public),termFreq(read),termFreq(reason),termFreq(romanc),termFreq(romant),termFreq(scene),termFreq(sentiment),termFreq(speci),termFreq(stori),termFreq(tast),termFreq(think),termFreq(thought),termFreq(verac),termFreq(virtu),termFreq(work),termFreq(write),termFreq(writer),termFreq(young),Publication Year,Volume Number,Total Volumes,Imprint,Publication Place,Total Pages,Gender,Birth Year,Death Year,Popular Authors,short_excerpts
0325001302_000015,Letters on the improvement of the mind. Addressed to a young lady. In two volumes.,Hester Chapone,74,0,1,3,0,4,1,0,1,2,0,0,0,0,1,3,0,1,3,0,2,1,1,0,0,1,5,0,0,1,1,5,0,3,4,1,2,0,0,2,0,0,0,0,5,0,1,0,2,2,1,0,3,1,0,0,0,6,1,0,3,1773,2,2,"Dublin : printed for J. Exshaw, H. Saunders, W. Sleater, J. Potts, D. Chamberlaine, J. Williams, and R. Moncrieffe, MDCCLXXIII. [1773].",Dublin,139,female,1727,1801,TRUE,"this study are all the stupendous works of the Almighty Hand that lie within the reach I A of of our observation- -- the works of man perfection is aimed at, but it can only be found in those of the Creator. The contemplation of perfecion must produce delight -"
0951200301_000022,"The progress of romance, through times, countries, and manners; with Remarks on the Good and Bad Effects of it, on them Respectively; in a course of evening conversations. By C. R. author of the English Baron, the Two mentors, &c. In two volumes. ...",Clara Reeve,74,0,1,0,3,0,0,0,0,1,0,1,0,2,3,1,0,0,0,0,2,0,1,0,3,2,1,0,1,0,3,1,0,0,2,14,2,0,1,0,0,2,0,0,3,1,7,0,1,0,1,1,0,2,1,0,1,4,3,1,1,1785,1,2,"Dublin : printed for Messrs. Price, Exshaw, White, Cash Colbert, Marchbank and Porter, M,DCC,LXXXV. [1785].",Dublin,163,female,1729,1807,TRUE,"be followed, If not, you are but where you were before. before. The Romance is an heroic fable , which treats of fabulous persons and things. The Novel is a picure of real life and manners , and of the times in which it is written. The Romance in lofty"
0670002200_000036,"Letters on the improvement of the mind, addressed to a young lady. By Mrs. Chapone.",Hester Chapone,71,0,2,1,0,4,0,0,1,2,1,0,0,0,2,3,0,3,2,0,1,1,1,3,0,1,2,0,0,0,1,4,0,4,2,1,2,0,0,2,0,0,0,0,8,0,1,0,2,2,0,0,2,1,1,0,0,4,1,0,3,1793,1,1,"London : printed for J. Walter, at Homer's Head, Charing-Cross ; and C. Dilly, in the Poultry, MDCCXCIII. [1793].",London,255,female,1727,1801,TRUE,"inhabitants invifible to the naked eye, but as perfea in all their parts, and enjoying life as indisputably, as the elephant or the whale. But, if from the earth, and from these mi,, wonders, the philosophic eye is raised towards the Heavens, what a stupendous scene there opens to its"
0857400402_000016,"Letters on the improvement of the mind, addressed to a young lady. In two volumes. By Mrs. Chapone.",Hester Chapone,68,0,1,1,0,4,1,0,1,2,1,0,0,0,1,3,0,3,1,1,2,0,1,2,0,1,4,0,0,1,1,5,0,3,3,1,2,0,0,1,0,0,0,0,7,0,1,0,2,1,0,0,1,1,1,0,0,3,1,0,3,1773,2,2,"London : printed by H. Hughs, for J. Walter, 1773.",London,231,female,1727,1801,TRUE,"yet of which no two individuals are ever perfectly alike afford such a range for observation and inquiry a; might engrols the whole term of our short life if followed minutely. Besides all the animal creation obvious to our unassisted senses, the eye, aided by philosophical inventions, sees kes myriads"
0325001402_000015,"Letters on the improvement of the mind, addressed to a young lady. In two volumes. By Mrs. Chapone. The Fourth Edition. ...",Hester Chapone,64,0,1,3,0,3,1,0,1,1,1,0,0,0,1,1,0,2,2,0,1,0,0,0,0,1,4,0,0,1,1,4,0,3,6,1,2,0,0,2,1,0,0,0,4,0,1,0,2,1,1,0,2,1,0,0,0,4,1,0,3,1774,2,2,"London : printed by H. Hughs, for J. Walter, at Homer's Head, Charing-Cross, MDCCLXXIV. [1774].",London,231,female,1727,1801,TRUE,"go through the same course of infiru&ion, are very apt .to forget what little they read .or K 4 hear hear on the fubje&t: I advise you therefore never to lose an opportunity of inquiring into the meaning of anything you meet with in poetry , or in painting, alluding"
1436700900_000037,"Letters on the improvement of the mind, addressed to a young lady. By Mrs. Chapone.",Hester Chapone,67,0,2,1,0,4,1,0,1,2,1,0,0,0,2,3,0,1,1,0,2,1,1,1,0,1,2,0,0,1,1,5,0,3,2,1,2,0,0,2,0,0,0,0,8,0,1,0,2,2,0,0,0,1,1,0,0,4,1,0,3,1778,1,1,"London : Printed for J. Walter, at Homer's Head, Charing Cross; and E. and C. Dilly, in the Poultry, MDCCLXXVIII. [1778].",London,247,female,1727,1801,TRUE,"its peculiar inhabitants invifible to the naked eye, but as perfect in all their parts, and enjoying life as indisputably, as the elephant or the whale. But, if from the earth, and from there minute wonders, the philolophic eye is railed towards the Heavens, what a stupendous scene there opens"
0201700701_000001,The young philosopher: a novel. In four volumes. By Charlotte Smith. ...,Charlotte Turner Smith,48,0,0,0,1,4,3,1,0,0,1,1,0,0,2,0,1,1,0,1,1,1,0,1,1,0,1,0,0,0,0,1,1,1,3,3,1,0,1,0,1,0,0,1,1,1,1,0,1,1,0,1,1,1,0,0,0,2,0,2,2,1798,1,4,"London : printed for T. Cadell, jun. and W. Davies, in the Strand, 1798.",London,283,female,1749,1806,TRUE,"T H E THE YOUNG PHILOSOPHER: A NOVEL . IN FOUR VOLUMES. By CH.RLOT'TE SMITH.  Of MAN, when warmed by Reason's purest ray,. No flie of Avarice, no tool of Pride; When no vain Science led his mind astray, But NATURE was his law, and GOD his guide. VOL."
0656300602_000007,"The progress of romance, through times, countries and manners; ... in a course of evening conversations. By C. R. author of the English Baron, The two mentors, &c. In two volumes. ...",Clara Reeve,72,0,1,0,1,5,3,0,1,2,0,1,0,4,0,2,0,0,0,0,0,0,1,0,3,0,1,0,1,0,1,2,0,3,1,6,1,0,0,3,0,1,0,0,4,0,0,0,0,1,0,2,2,2,0,0,5,6,2,1,3,1785,2,2,"[Colchester] : printed for the author, by W. Keymer, Colchester, and sold by him; sold also by G. G. J. and J. Robinson, London, 1785.",Colchester,134,female,1729,1807,TRUE,"is the Marquis de Rofelle, by Madaine Elie de Beauront.' I have'a partiality for this book , I never read one of the kind that afforded me greater pleafirei pleasure ; in it the noblest lessons of virtue and good conduct are conveyed to the reader's mind , through the"
1427400102_000016,"Letters on the improvement of the mind, addressed to a young lady. In two volumes. By Mrs. Chapone.",Hester Chapone,59,0,1,0,0,2,1,0,1,1,1,0,0,1,2,3,0,1,1,0,1,0,1,4,0,1,1,0,0,1,2,2,1,3,1,1,2,0,0,2,0,0,0,0,8,0,1,0,0,1,0,0,2,1,1,0,0,3,1,0,3,1787,2,2,"London : printed for J. Walter, Charing-Cross; and C. Dilly, in the Poultry, MDCCLXXXVII. [1787].",London,235,female,1727,1801,TRUE,"can read them in their original languages ; and such of them as are well trlnf"" lated will undoubtedly, some years hence, afford you great pleasure and improvement. You will also find many agreeable arid useful bookts, written originally in French, and in English, on morals and manners : for"
0656300601_000001,"The progress of romance, through times, countries and manners; ... in a course of evening conversations. By C. R. author of the English Baron, The two mentors, &c. In two volumes. ...",Clara Reeve,61,0,0,3,2,3,1,1,1,3,0,1,0,2,1,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,2,1,0,0,0,0,1,0,3,0,2,1,6,0,1,1,1,0,2,1,1,0,0,7,2,5,0,1785,1,2,"[Colchester] : printed for the author, by W. Keymer, Colchester, and sold by him; sold also by G. G. J. and J. Robinson, London, 1785.",Colchester,159,female,1729,1807,TRUE,"T 13 E THE PROGRESS of ROMANCE , THROUGH TIMES, COUNTRIES, AND MANNERS ; W I T H R E M A R K S WITH REMARKS ON THE GOOD AND BAD EFFECTS OF IT, ON THEM RESPECTIVELY; IN A COUR S o1 EVENING CONVERSATIONS. B C R. AU T"
0656300602_000006,"The progress of romance, through times, countries and manners; ... in a course of evening conversations. By C. R. author of the English Baron, The two mentors, &c. In two volumes. ...",Clara Reeve,78,0,0,1,2,2,1,0,0,3,0,0,0,0,0,3,0,1,1,1,0,2,0,0,3,2,0,1,2,0,2,1,0,4,3,7,2,0,0,0,0,0,0,0,2,0,5,0,0,2,1,2,0,2,0,0,3,9,2,3,3,1785,2,2,"[Colchester] : printed for the author, by W. Keymer, Colchester, and sold by him; sold also by G. G. J. and J. Robinson, London, 1785.",Colchester,134,female,1729,1807,TRUE,"in the pathetic style. -- His Maria and le Fevre, and his Monk, are charming pictures, and willfurvive, when all his other writings are forgot. Hort. Then I am friends with you again, which I could not be, if you had passed ovet his merits, as slightly as his absurdities."
1240500300_000037,"The works of Mrs. Chapone, containing letters on the improvement of the mind, addressed to a young lady: and Miscellanies in prose and verse. In two volumes. ...",Hester Chapone,66,0,1,3,0,4,0,0,1,2,1,0,0,0,1,3,0,2,2,1,2,1,1,2,0,1,3,0,0,1,1,5,0,3,2,1,2,0,0,1,0,0,0,0,6,0,1,0,1,2,0,0,0,1,1,0,0,3,1,0,3,1786,1,1,"Dublin : printed by Brett Smith, for W. Colles, No. 17, Dame-Street, MDCCLXXXVI. [1786].",Dublin,255,female,1727,1801,TRUE,"variety to be found in the composition of this globe, and its inhabitants. The fofil tlie vegetable and the animal world gradually rising in the scale of excellence the innumerable fpecieg of each, which preserve their specific differences fromr age to age , yet of which no two individuals are"
0326900500_000001,The old English baron: a gothic story.,Clara Reeve,59,0,0,0,1,1,1,3,0,1,0,0,0,0,0,3,0,1,2,0,0,1,1,0,0,0,2,1,0,2,4,1,2,1,2,2,0,1,0,0,1,2,1,1,0,1,5,0,0,0,1,7,0,0,1,0,0,4,1,1,0,1789,1,1,"London : printed for Charles Dilly in the Poultry, M,DCC,LXXXIX. [1789].",London,276,female,1729,1807,TRUE,"i c ~?11s OFL ·., ~ ~ C FR ONTI'PIE C E. v me an cderaesd' mle, northeast n'~ ar. and (d lr c J, at'e' /tlazta~ as k It' -- -. Aaye 93 THE OLD ENGLISH BARON: A GOTHIC STORY . THE FOURTH EDITION. ^.^ L 7 \. LONDON:."
0772700401_000036,"Letters on the improvement of the mind. Addressed to a young lady. To which are added, miscellanies in prose and verse. By Mrs. Chapone. The third edition. ...",Hester Chapone,66,0,1,3,0,4,1,0,1,2,1,0,0,0,1,3,0,0,3,0,2,1,1,0,0,1,3,0,0,1,1,5,0,4,2,1,2,0,0,2,0,0,0,0,5,0,1,0,2,2,0,0,1,1,0,0,0,4,1,0,3,1777,1,2,"Dublin : printed for the United Company of Booksellers, M.DCC.LXXVII. [1777].",Dublin,129,female,1727,1801,TRUE,"objects of this itudy ard all the ftipendous : orks' of te Allmiglhty ld!id' that lie within the reach of our observation. In the works of man perfection is aimed at, but it can only be found in thoe of the Creator.. The cont: inplatiori of perfection smult p'rocdce dclight"
0363400700_000001,"The old English baron: a gothic story. Embellished with eight elegant engravings, from new designs.",Clara Reeve,58,0,0,0,1,1,1,4,0,1,0,0,0,0,0,3,0,1,2,0,1,1,1,0,0,0,2,1,0,2,4,1,2,1,2,2,0,0,0,0,1,2,1,1,0,1,5,0,0,0,1,5,0,0,1,0,0,4,1,1,0,1799,1,1,"London : printed for C. Dilly, In The Poultry, MDCCXCIX. [1799].",London,286,female,1729,1807,TRUE,"Frontiipiecc . < ab Iy - = -- - -- - - - - - --, -, 1/ THB OLD ENGLISH BARON: A GOTHIC STORY . EMBELLISHED WITH EIGHT ELEGANT ENGRAVINGS, FROMI NEW DESIGNS . THE SIXTH EDITION. : ~lonbon: PRINTED FOR. C DILLY, IN THE POULTRY. M DCC XCIS."
0534400102_000056,The history of Ophelia. Published by the author of David Simple. In two volumes. ...,Sarah Fielding,62,0,5,1,5,1,0,0,0,4,0,0,0,1,0,1,4,1,1,0,0,1,0,1,1,3,2,0,0,1,4,1,0,2,1,4,0,0,1,0,0,0,0,1,2,1,1,0,1,1,1,0,0,2,1,0,1,2,0,0,2,1763,2,2,"Dublin : printed by James Hoey, Junior, 1763.",Dublin,183,female,1710,1768,TRUE,"deta:!. Pein'; eca l'v i, - volved in his mother's disgraces, he met ise: r., who, in the first irpuife of tender: efs, were .ca dy to harbour and relieve him; but every repeated solicitation diminifling their sensibility, they all at lall abandoned him, and charged upon his  insolence"
1073100105_000004,"Letters from the Duchess de Crui and others, on subjects moral and entertaining, wherein the character of the female sex, with their rank, importance, and consequence, is stated, and their relative duties in life are enforced. By Lady Mary Walker. ...",Mary Walker,60,0,1,3,3,0,1,0,2,1,0,0,0,0,0,4,0,0,1,2,1,1,1,1,4,0,4,0,4,0,1,3,1,0,3,1,0,0,0,2,0,0,0,1,2,0,3,1,1,1,1,0,1,0,0,0,0,1,0,0,3,1777,5,5,"London : printed for Robson, New Bond-Street; Walter, Charing-Cross; and Robinson, Pater-Noster-Row, MDCCLXXVII. [1777].",London,193,female,1736,,FALSE,"man of faflion first introduced that species of nufic into this country, and the merit of his own comipofition, and his own spirited performance of them fecduced the public car. afhion, or the reigning mode, is too cften prevalent with regard to nufical tafli, when supported by that authority authority"
0451201401_000001,"Shakespear illustrated: or the novels and histories, on which the plays of Shakespear are founded, collected and translated from the original authors. With critical remarks. In two volumes. By the author of The female Quixote.",Charlotte Lennox,59,0,1,2,5,2,2,0,0,1,2,1,0,1,0,0,1,1,5,0,2,0,1,2,0,0,4,0,1,0,0,3,0,0,3,2,1,0,0,0,0,2,0,0,2,0,1,0,1,0,1,5,0,1,0,0,0,2,0,1,0,1753,1,2,"London : printed for A. Millar in the Strand, MDCCLIII. [1753].",London,303,female,1729,1804,TRUE,"Shakespeare Illufrated: OR THE NOVELS and HISTORIES , On which the PLAYS of SHAKESPEARE Are Founded, COLLECTED and TRANSLATED from the ORIGINAL AUTHORS . W I T i1 CRITICAL REMARKS. In TWO VOLUMES. BY THE Author of the FEMALE QUIXOTE. LONDON: Printed for A, M I L A R in"
0454100900_000088,"The histories of Lady Frances S--, and Lady Caroline S-. Written by the Miss Minifies, Of Fairwater, in Somersetshire.",Susannah Gunning,59,0,4,1,5,1,0,1,0,5,0,0,0,1,0,0,4,1,1,0,0,0,0,0,0,3,2,0,0,1,3,1,2,1,1,3,1,0,1,0,0,0,0,1,1,1,1,0,3,2,1,0,1,1,1,0,0,3,0,0,0,1763,1,1,"Dublin : printed for James Hoey, junior; and James Potts, MDCCLXIII. [1763].",Dublin,291,female,1740,1800,TRUE,"be regarded as a modern IRISH ATLAN  TIS, in which several curious Anecdotes are prc.  served.' Our author's narrative is enlivened, and receives consequence by the introdution of a variety of anecdotes and little episodical frories of the abovermen  tioned persons. The first volume is chiefly taken"
0326900902_000016,"Letters on the improvement of the mind, addressed to a young lady. In two volumes. By Mrs. Chapone.",Hester Chapone,61,0,0,0,0,2,0,0,1,1,1,0,0,1,2,3,0,4,1,0,1,1,1,6,0,0,1,0,0,1,1,4,4,1,1,1,0,0,0,1,0,0,0,0,7,0,1,0,0,2,0,1,2,2,1,0,0,2,1,0,2,1775,2,2,"London : printed for J. Walter; and E. and C. Dilly, 1775.",London,234,female,1727,1801,TRUE,"observations that are new to them and lead to a habit of re flecing on the chara&ters and events that come before them in real life , which I confider as the best exercise of the understanding. Books on taste and criticism will hereafter be more proper for you than"
0325100102_000015,"Letters on the improvement of the mind, addressed to a young lady. In two volumes. By Mrs. Chapone. ...",Hester Chapone,64,0,1,3,0,4,1,0,1,2,1,0,0,0,0,0,0,2,2,0,1,0,1,1,0,1,4,0,0,0,1,5,0,4,6,1,2,0,0,2,1,0,0,0,3,0,0,0,2,1,1,0,2,1,0,0,0,4,1,0,2,1778,2,2,"London : printed for J. Walter, at Homer's Head, Charing Cross; and E. and C. Dilly, in the Poultry, MDCCLXXVIII. [1778].",London,231,female,1727,1801,TRUE,"by judgement . This, and many other instances that might be produced, will show you how much of the beauty of the poet's art must be los to you, without some notion of these allegorical personages. Boys, in their fchool learning, have this kind of knowledge impressed on their minds"
0277700301_000036,"The works of Mrs. Chapone, containing letters on the improvement of the mind, addressed to a young lady. And miscellanies in prose and verse. In two volumes. ...",Hester Chapone,62,0,0,3,0,4,1,0,1,2,1,0,0,0,0,0,0,2,2,0,0,0,0,1,0,1,4,0,0,0,1,5,0,4,6,1,2,0,0,2,1,0,0,0,3,0,1,0,2,1,1,0,2,1,0,0,0,4,1,0,2,1775,1,2,"Dublin : printed for J. Williams, 1775.",Dublin,156,female,1727,1801,TRUE,"knowledge impressed on their minds by a F 2 variety variety of books ; but women, who do not ao through the same course of inllrudion, are very apt to forget what little they read or hear on the subject- -- - advise you therefore never to lose an opportunity"
0272200801_000001,Louis de Boncour. A domestick tale. By Catherine Lara. In two volumes. ...,"Lara, Catherine",69,0,1,3,1,0,0,0,0,0,2,0,1,1,0,0,1,0,1,0,3,2,1,1,0,0,5,1,2,0,2,1,0,2,5,7,0,0,0,2,0,1,0,4,4,2,0,0,0,0,1,0,2,2,1,0,2,3,1,1,0,1796,1,2,"London : printed for James Ridgway; and William Moore, 1796.",London,177,female,,,FALSE,"LOUIS DE BONCGEUR. A DOMESTIC TALE. BY CATHERINE LARA, IN TWO VOLUMES. VOL. I. .~isfortune does not aldi'ys wait on vice: Nor is success the confitat gueit of virtue . Perhaps the Gods more amiably detfign To show the hero , itruggling in the toils Of Unforeseen- -- diierrefs. The"
0663901800_000030,"Miscellaneous pieces, in prose, by J. and A. L. Aikin.",Anna Laetitia Barbauld,67,0,0,0,3,0,4,0,0,0,0,0,0,0,1,2,0,0,2,0,2,1,0,0,0,2,3,2,1,0,4,6,1,2,1,1,0,1,1,2,0,0,0,0,1,3,2,0,6,1,0,1,0,2,2,0,2,2,1,1,1,1773,1,1,"London : printed for J. Johnson, in St. Paul's Church-Yard, MDCCLXXIII. [1773].",London,224,female,1743,1825,TRUE,"of it mutt not in any view be disagreeable to the imagination . How admirably has the author author of Clarissa managed this point? Amidst scenes of suffering which rend the heart , in poverty, in a prison, under the most Ihocking outrages, the grace and delicacy of her character"
0917000201_000004,The brothers. In two volumes. By the author of The stage-coach and Lucy Wellers. ...,"Smythies, Miss",71,0,2,0,3,1,2,3,0,2,0,0,0,0,0,3,3,4,1,0,4,1,0,0,0,0,1,0,0,0,1,1,2,0,2,2,0,0,0,6,0,0,0,0,2,0,0,0,0,2,0,2,2,2,5,0,3,1,7,1,0,1759,1,2,"London : printed for R. and J. Dodsley; and by [sic] W. Reymer, in Colchester, 1759.",London,295,female,1753,1759,FALSE,"fools, yet men of wit will condescend to take a bit. Such works amuse an idle hour of the writer and of the reader;. and therefore it is little wonder there are so many of them. VOL. I. A There [ II They wear so easy and smiling a countenance,"
